,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X002241.SZ,X000100.SZ,X000338.SZ,X002236.SZ,X600118.SH,X600271.SH,X601877.SH,X002456.SZ,X600177.SH,X002085.SZ,X000157.SZ,X600372.SH,X002007.SZ,X300124.SZ,X600699.SH,X300003.SZ,X002294.SZ,X600867.SH,X000559.SZ,X002292.SZ,X600089.SH,X002180.SZ,X002426.SZ,X002074.SZ,X600522.SH,X002506.SZ,X002508.SZ,X000623.SZ,X600498.SH,X000536.SZ,X002465.SZ,X000547.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.149264228421632,0,0,0.0332835293556012,0.0338738581252673,0.0635332420319355,0,0,0,0,0.0975150954290632,0,0.0760570395325639,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0417287849783157,0,0,0,0,0,0,0,0.0923062847413997,0,0,0,0,0,0,0,0,0,0.0545139116070156,0,0,0,0.0714745135601653,0,0.00240193498491223,-0.00109735607585721,0,0,0,0,0,0
X600104.SH,0,0,-0.00733840195945601,0,0,0,0,0,0,0,-0.0879760021020311,0,1.03325653000746,0,0,0,0,0,0,0,0,0,0,0,0.0351334851607794,0,-0.0614822267038047,0,0,0,-0.155051369836211,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0349685929023963,0,0,-0.013218650647549,0,0,-0.0071854526217671,-3.66296933452088e-05,0.0423370253806192,0,0,0,0,0
X000651.SZ,0,0,0,0.1466869214978,0,0,0,0,0,0.519411104575197,1.0830274080648,0,0,0,0,0,0,0,0,0,0,0,0,-0.114945036694439,-0.0056327970265006,0,-0.00393921699872082,0.0645246058202752,0,-0.0258421438593456,-0.160518444616061,-0.194222540163334,0,-0.148359863773404,0,0,0,0,0.204400225583549,0,0,0,0,0,0.227047995541639,0,1.73472347597681e-18,0,0,-0.0748864585020682,0.0431141267073653,0,0,0,0,0,0,0
X002415.SZ,0,0,0.0828437141829641,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292722008785238,0,0,0,0,0,0,0,0,0,0,0.0926753114654087,0,0,0,0,0,0.0454613443796754,-0.0924870270745217,0,0,0.0445611265982789,0,0,0,0,0,0,0.252577077369504,0.0903680958332202,0,0,0,0,0,0,0.0019376829425612,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.121848453543594,0,0,0.165583782519071,0,0.0299314127646927,0.382699081140657,0,-0.00421213125644827,0,0,0,0,0,0,0.140959599087905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336957172495417,-0.0640545022373384,0,0,0,0,0,0,0,-0.0104967913914988,0.0209151835792672,0,0,0,0,0,0
X600276.SH,0,0,-0.0676781553679576,0,0,0,0,0,0,0,0,0,0,-0.0423239316333833,0.0841556783338663,0,0,-0.036581219560434,0,0,0,0,0,0,0,0,-0.0110021693142854,0,0.281444930367069,0,0.117177613568197,0,-0.141154670839576,0.128160878018009,0,0,-0.0635346607313384,0,0,0,0,0,0,0,0,-0.00131221338221791,-0.124484593578463,0,0,0,-0.0192201591931492,0.0205370484823282,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.287262286094568,0,0.243511631874464,0.130344643039905,0,0.0473919190922118,0,0.0697535105616472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104857473112424,-0.0134970440997253,0.0181552741608929,0,0,0,0,0,0
X000725.SZ,0,0,0.0766801109898236,0,0,0,0,0,0,0.11918897701876,0,0,0,0.0405671023189278,0,0,0,0.162782664309771,0,0.0607966245853728,0,-0.0197008670849306,0,-0.0185425807474517,-0.136790091975695,0,0.145761969479725,0,-0.0674751203653078,0,0,0,0,0,0,0,0,0,0,0,0.105708475962381,0,0.151496362294707,0,0.050852164767697,0,0,0.141997751435847,0,0,0,-0.00574456309941252,0.030684327151688,0,0,0,0,0
X000625.SZ,0,0.17603797306,0.12443010844724,0,0.205003323108795,0,0,0,0,0,0,-0.000921460731526345,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.113301655875848,-0.0490092173521859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216377928974339,0,0,0,0,0,0,-0.0077136171232645,0,-0.0158532149865452,0.120478770916579,0,0,0,0,0
X000063.SZ,0,0,0.0911479659412244,0,0,0,0,0,0,0,0,0,0,0.0792420200657351,0,0,0,0,0,0.0483353931755176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103164716878651,0,0,0,0,0,0,0.120514757696974,0,0,0,0.192339848797065,0,-0.0336590650311625,0,0,0,0,5.90995500564349e-05,0,0,0,0,0,0
