,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000568.SZ,X600809.SH,X002475.SZ,X600690.SH,X000625.SZ,X000651.SZ,X600104.SH,X002304.SZ,X300124.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X000338.SZ,X002371.SZ,X000063.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600089.SH,X600703.SH,X002129.SZ,X000661.SZ,X002236.SZ,X600372.SH,X002049.SZ,X002241.SZ,X600741.SH,X000157.SZ,X600584.SH,X000977.SZ,X000800.SZ,X601877.SH,X600522.SH,X002007.SZ,X601799.SH,X600183.SH,X002074.SZ,X002180.SZ,X600418.SH,X002463.SZ,X300142.SZ,X002028.SZ,X002294.SZ,X000733.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0.149558428286007,0,0,0,0,0.0234851649369193,0,0,0.0494242605300582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345049445356969,0,0,0,0,0,0.334130999378904,-0.101155454288366,0,0,0,0,0,0,0,0,0,0.0738514411429204,0,0,0,0,0,0,-0.073938987945655,-0.010411571676047,0.0373972901191958,0,0,0,-0.00947016630630347,0,0
X002304.SZ,0,0.0647737788914867,0,0,0,0.279199956807591,0,0,0.0536847542842488,0,0,0,0,0,-0.0556526327082618,0,0,0,0.0766079086580984,0,0.202602377910915,0,0,0,0,0,0,0,0,0.00291510094307839,0,0,0,-0.045740484671029,0.031193032043569,0,0,0,0,0,-0.0385935749521487,0,0,-0.0343581838227479,0,0,0,0,0,0,0,-0.00429105660807241,-0.0180543783938466,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.076048194457086,0,0,0,-0.0435394127461851,0,0,0,0,0,0,0,0.14627449836283,-0.169719653728248,0,0,0,0,0,0,0,0,0,0.170648063457236,0,0,0,0,0.0394482005664902,0,0,-0.0534439525166808,0,0,0,0,-0.0213500635125676,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0174206722437967,-0.0318777318657223,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0152327021871549,0,0,0,0,0,0,0,0.150797303543916,0,0.0731370021182657,0,0,0,0,0,0,0,0,0,0,0,-0.0724863725186565,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.012511456463393,0,0,0,0,-0.0616480310455948,0,0,0,0.0161567732947646,-0.014954571235649,0,0,0,0.0690154879826104,0,0
X000725.SZ,-0.165168140138871,0,0,0,0,0,0.00447306395550505,0,0.0747410679580006,0,0,0,0,0,0,0,0,0.090279423483486,0,0,0,0.327550883669325,0.307042485374655,0,0,0,0,0,0,0,0,0,0.202534618635556,0,0,0,0,0,0,0,0,0,0,0.0366718469162621,0.0660118157806254,0,0,0,0,0,0,-0.0118924274834161,0.0355166788853099,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0.334836227618112,0.0184164123984392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259224538987158,0.142641664843211,0,0,0,0,0,0,0,0.00746256576032037,0,0,0,0,-0.00951273029510167,0,0,0,-1.73472347597681e-18,-0.0459140601024981,0,0,0,0,0,0,0.0174895513377158,-0.03201849113219,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0.122384903142972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156219790205921,0.01618434681759,0,0,0.0592975157898827,0,0,-0.106133177577066,0,0,0.131636132779672,0,0,0,0,0,0,0,0,0,0.0641118765305273,0.0660002379859703,0,0.0369470531233752,0,0,-0.111067291465403,0,0,0,0.00605292355093512,0,0,0,-0.0148665388716758,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0.0247471507653617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219356076651999,0.166340335158737,0,0,0.349879067882798,0,0,0,0,0,0,0,0,0,0.0491897978190026,0.0193128835529145,0,0,0,0,0,0.191428770616778,-0.0269131631770558,0,-0.106335791462127,0,0,-0.0587558838696075,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00656906170927849,0,0,0,0,0,0,0,0,0.162432607736307,0,0,0,0,0,-0.356679487947096,0.201723376413974,0,0,0.189738404962352,0,0,0,0.348893239701842,0.331426657954926,0,0,0,0,0,0,0,-0.109851051354071,0,0,0,0,0,0,-0.0799687484074615,0.0137554035705125,-1.0842021724855e-19,0,0,0,0.0552539635461843,0,0
X600031.SH,0,0,0,0,0,0,0,0,-0.0848912756968181,0,0,0.0974991257677317,0,0,0,0,0,-0.0584339100951915,0,0,0.00932569543990927,0,0,0,0,0.0196038058084831,0,0,0,0,0,0,0.514974409999623,-0.0454230494881017,0,0.0481735739454156,0,0.15771067062741,0,0,0,0,0,0.10564843829597,0,0.0138203232447275,0,0,0,0,0,-0.00170262041716187,-0.0107107372310186,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0.186652612898707,0,0,0.0453935851545219,0,0,0.0325523398725311,0,0,0,0,0,0,0.0644211104440556,0,0,0,0,0,0,0.286950326505998,0,0.0335491619075806,0,0,0.013397950534978,0,0,0,0.0462720520132254,0,0,0,0,0.0417953171984201,0,0,0.170629360637989,0,0,0,0,0,0,0,0,0.00939945002330281,-0.0196446329218013,0,0,0,-0.0396287054938507,0,0
X002179.SZ,-0.0917974217445965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368652356531819,0,-0.0806512829361389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119771500120426,-0.0260107800206613,0,0,-0.0238288767359665,0,0,0,0,0,0.0178062329108802,-0.089799123230743,0,0,0,0.276398888041717,-0.022568076303312,0,-0.00486022966364356,4.33680868994202e-19,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524480167614424,0,0,0,0,0.188378591407905,0,0,0,0,0,0.0205048435019621,0,0,0,0,0.0395701608542243,0,0,0,2.16840434497101e-19,-8.67361737988404e-19,0,0.004047669812926,0,-0.0625385661227641,0,0,0,0,0.131181234518963,0,0,0.065665027770192,0,0,0.0426183074075718,-0.00573527920564939,0,0,0,0,0.0956177876575481,0,0
X600089.SH,0,0,-0.209145960619323,0,0,0,0,0,0.0757436045559763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293494493794695,0,0,0.0265580778817557,0,0,0,0.0221835993821313,-0.0220971241311921,0,0,0,0.169885151781451,0,0,0.0165158443871487,0,0,0,0.257050005211459,0,0,0,0,0,0,-0.0157346594275292,0,-0.0720491792200374,-0.0114690506551581,0.0195466889400146,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,-0.0794478148555703,0,0,0,0,0,0,0,0,0,0,0,-0.000401502902765805,0,0,0,0,0,0.00887466893300648,0,0,0,0.0274613915663942,0,0,0.368115545753474,0.262453736459598,0,-0.798753214483057,0,0,0,0,0,0,0.149185112875064,0.245708908174752,0.284331893899674,0,0.165294716294805,0,0.0787679578016738,0,-0.0209060876465347,0,-0.234931109768341,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567694873687349,0.031496777831479,0,0,0,0,0,0,0,0,0,0,0,0.0899286292198523,0,0,0,0.0528492393643145,0,0,0,0,0,0,0,0.309758847829703,0,-0.0117240276167375,0,0.243992771307668,0,0,0.0540975448855865,0,0,0,-0.00315745174611605,0,0,0,0.0305234992465244,0,0
X000661.SZ,0,0,0,0,0,0,0.0196041759036434,0,0,0,-0.122159067932249,0,0,0,0,0.137776327079795,0.0860194339685798,-0.0989622220497772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190377353346565,0.101095909338023,0,0,0,0,0,0.435063529224078,0,0,0,0,0.150202062696423,0,0,0,0.0109568131520383,-0.0946232426497082,0,0,0,0,0,-0.0866566256799506,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0.0855017025178607,0,0,0,0.330122231069633,0,0,0,0.0355152487767804,0,0.587995123943632,0,0,0,0,0,0,0,-0.151968088643447,0,0,0,0.0677675410983421,0,0,0,-0.0876796232343308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112135485720964,0.00325451792415458,0,-0.00467222828879153,0,0,0,0,0,0,0
X600372.SH,0.0574325446543908,0,0,0,0,0,0,0,-0.0249435708504673,0,0,0,0,0,0.113458637793542,0,0,0,0,0,0,0.143451663059576,0,0,0,0,0,0,0,0.113066020521916,0,0,0,0.0114873703851701,0.0820155925544571,-2.16840434497101e-19,0,0,0,0,0,0,0.0399457225399314,0,0,0.00414031434622341,0,0,0,0.11196409116856,0,0.007081588974124,0,0,0,0,0,0,0
