,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X002304.SZ,X600104.SH,X002475.SZ,X000725.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300124.SZ,X000100.SZ,X000063.SZ,X300014.SZ,X600703.SH,X000157.SZ,X000596.SZ,X002129.SZ,X002241.SZ,X600741.SH,X000625.SZ,X601877.SH,X002179.SZ,X300142.SZ,X002007.SZ,X002236.SZ,X002371.SZ,X002049.SZ,X002414.SZ,X600584.SH,X300003.SZ,X600183.SH,X601799.SH,X000800.SZ,X002074.SZ,X000799.SZ,X000066.SZ,X300146.SZ,X600707.SH,X002008.SZ,X600089.SH,X000977.SZ,X002294.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.217719390863807,0,0,0,0.0861546877565607,0.152637516731008,0.0163841716922738,0.0390495218330651,0.0730097554438373,0,0,0,0,0,0,0,0,0,0,0,0.00715588019996225,0,0,0,0,0,0,0,0,0,0,-0.177591210552229,0,0,0,0.0704312256787397,0,0.00292370802136838,0,0,0.118100116699152,0,0,0,0,0,0,0,0,0,0,-0.00498034624719044,0,0,0,0,0,0
X000858.SZ,0.00217491453363272,0,0,0,0,0.367025207808344,0,0.164691311504413,0,0.105747217198716,0,0,0,0,0,0,0,0,0,0,0,0.0415366882812068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902643635397074,0,0,0.00804912198231563,0,0,0,0,0,0,-0.00979332300430879,-0.0108105283761668,0,0,0,-0.0395758086352624,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.00267315755666993,0.159615260175841,0,0.158795357957093,0,0,0,0,0,0,0,0.00651737588638399,0,0,0,0,0,0,0,0,0.0613384238647181,0,0.131908820603947,0.405994015940434,0,0,0,0,0,0,0,0,0,0.0349660740552061,0,0,-0.0196320822560883,0,0,-0.0304540093216284,0,-0.0991079010258698,0,0.0184222047624327,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0370175300821667,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0228992357435516,0,0,0,0,0.0265582715881718,0,0,0,0,0.0221766476551574,0,0.179427638622608,0,0,0,-0.0227300576571592,0,0,0,0,0,0.128079102525632,0,0.00129039315151196,0,0,-0.16323619095354,0,0.00146956784414443,0,0,0.120989976772244,0,0,0,0.0201525574053366,0,0,0,-0.0428333212989458,0,0
X000651.SZ,0,0,0,0,0,0,-0.0405117994361195,0.0419663660611655,0.155535663636673,0.156175373425601,0,0,0,0,0,0,0.0551863330666752,0.0861416592666018,0,0,0,0,0,0.0550896471103618,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0459091789746537,-0.106071614846093,0,0,0,0,0,0.0131014580432277,0,0,0,-0.00527558013119759,0,-0.0164565346594468,-0.0492529519945467,0.0370425370348356,0,0,0,0,0,0
X000568.SZ,0.00817743747330462,0.686818638522154,0,0,0,0,0,0,0,0.0252809183336004,0,0,0,0,0,0,0,0,0,0,-0.00491722672902379,0,0,0,0,0,0,0,0,0.0179673940969958,0.0537739154502364,0,0,0,0,0,0,0,0,0,0,0.28483385674728,0,0,0,0,0,-0.0863070290602432,0,0,0,0,-0.0300244264358685,0,0,0,-0.0213646542723171,0,0
X600031.SH,0,0,0.083532144304875,0,0,0,0,0.235008472004053,0.105203723984606,0,0,0.0194198065128705,0,0,0,0,0.083671610089349,0,0,0,0.208676145906097,0.145389491713079,0,0,0,0,0,0,0,0,0,0,0,0.0761325394774447,0,0,0,0,0,0,0,0,0,0,0.0328137718667026,0,-0.0799382736753429,0,0,0,0,-0.0202802193800395,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.332268258719913,0,0,0,0,0,0,0.0825347443154012,0,0,0.0589454346922279,0,0,5.42101086242752e-20,0,0,0.262101452803449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356942498214568,0,0,0.16543668265963,0,-0.0183910857859859,0,0,0,0,0,0,0,0,-0.0598465312818099,0,0,0,0,0,0
X600690.SH,0,0,0.244617125975434,0,0,0.058366951388102,0,0.293061390375385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073306196436774,0,0.186982346465323,0,0,0.0462227773957101,0,0,0,0,-0.0179252513667397,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0435207845158448,0,0,0.00488215209911365,0,0,0,0,-0.0758915829342794,0,0
X002304.SZ,0,0.264196542543513,0,0,0,0,0,0,0.0297087285920182,0,0,0,0,0,-0.0233080395150214,0,0,0,0,0,1.73472347597681e-18,0,0.0817898576266562,0,0,0,0,0,0,0,0,0.0186395383338768,0,0,0,0,0,0,0.0638721808152468,-0.0837828392594827,0.176742998849817,0.120479371549804,0,0,0,0,0,0,0,0,0,-0.0343157179743275,0,0,0,0,-0.0795787933969227,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714033448248734,0,-0.0293460891401443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295102862351735,0.0707731049754383,0.203543156405638,-0.101972142448998,0,0,0.113646674143921,0,0.066221556453889,0,0,0,0,0.0247569794543173,-8.67361737988404e-19,0,0,0,-0.120604715106851,0,0
X002475.SZ,0,0,0.0179417544579377,0,0,0,0,0,0,0,0,0,0.0177678248119637,0,0,0,-1.73472347597681e-18,0,0,0,0,0.121897059280109,0,0,0.607064832261987,0,0,0,0,0,0.0292801679778175,0,0,0,0,0,0,0.0499291295113629,0,0,0,0,0,0,0.0131722812540366,0,0,0,0,0,0,0,0,0,0,0,0.0107879545451968,0,0
X000725.SZ,0,0,0.0442881515476855,0,0,0,0.0387360080670851,0,0.053403611296366,0,0,0,0,0,0,0,0,0.083431966379897,0,0,0.10530837690395,0,0,0.107145972917782,0.129256059939152,0,0,0,0,0,0,0.123595574336935,0,0,0,0.0374610705296419,0.142799455253299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963801295230508,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0.00667110284049542,0,0,0.0441445416390141,0.012546903156906,0,0,0,0,0,0,0,0,0.119240958920071,0,0,0.116391055595279,0,0,0,0,0,0.0110798984764795,0.0166475792242728,0,0,0,0,0,0,0,0,0,0.14133021705106,0,5.42101086242752e-20,-1.73472347597681e-18,0,0,-0.0321239083334087,0,0.160364859251274,0,0,0,0,-0.0304443488009744,0,0,0,0,0.0359421582882642,0,0
