,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X003816.SZ,X000568.SZ,X000725.SZ,X600031.SH,X600104.SH,X300124.SZ,X000063.SZ,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X600089.SH,X600584.SH,X600839.SH,X600703.SH,X000977.SZ,X000157.SZ,X600372.SH,X002028.SZ,X000066.SZ,X002049.SZ,X600522.SH,X002236.SZ,X002456.SZ,X600066.SH,X600183.SH,X601877.SH,X002085.SZ,X600741.SH,X002129.SZ,X600460.SH,X002156.SZ,X600487.SH,X000661.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.469318259052478,0,0,0.0242543647744287,0,0,0,0,0,0,0,0,0,0,0,0,0.129660875412879,0,0,0,0,0,0,0,0,0,0,-0.00410756447794753,0,0,0,0,0,0,0,0,0,0,-0.0350875658570393,0.00339435252811487,0,0,0,0,0,0,0,-0.00242592568338859,0,0,0.0119345351842449,-0.125078118389591,-0.0625147674911768,0,0,-0.0767200585901862,0,0
X000858.SZ,0.547279549200269,0,0,0,0,0,0.348118714816322,0,0,0,0,0,0,0,0,0,0,0,0.00655753647307911,0.106141083666363,0,0,0.0317989911077419,-0.0713422985828106,0,0,0,0,0.0362046170927102,0,0,0,0,0.121922791750939,0,0,0,0,0,0,0,0,-0.0326968120537532,0,0.0178296625604789,0,0,0,0,0,0,0,0.00698220781413364,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,-0.0323943386076712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652299636685685,0.145866287080281,0,0.108046512182952,-0.018572793623754,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0699466353567397,0,0.0101548186889068,0,0,0,0,0,-0.0918111638741998,0,0.143036986179032,0,0,0,0,-0.047492513253624,0.0314638586030138,0,0,0,0,0
X600276.SH,0,0.384285247608098,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0854687072019027,0,0,0,0.0209002657619101,-0.186586287587401,0,0,0.000590584599284204,-0.0339174669359894,0,0,-0.204569839651013,0,0,0,0.0670535438209141,0,0,0,0,0.144615940625844,0,0,0,0,0,0.211129702136764,0,0,0,0,0,0.291897067771545,0,0,0.115491232836249,-0.158943361119146,0,0,0,0,0,0
X002415.SZ,0.0422027695988453,0,0,0,0,0.170391233388044,0.100992802963603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126109619655122,0,0,0,0,0,0,-0.0422914044116443,0,0,0,0,0,0,0.0219900527347316,0,0,0.136786106667942,0.020558134732975,0.0909695371219024,0,0,0,0.0832633327932328,0.0349717694901937,0,0,0,0,0,-0.0530841399441912,0,0.0808369972213801,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.312869425343872,0,0,0,0,0,0,0,0,0.24843109739815,0,0,0,0,0,0,0.0650539088232889,0,0.0377319584425576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728939615331356,0,0,0,-0.00501999418565408,0,0,0.0466052843465107,0,0,0,-0.00631171398967567,0,0,0,0,0,0,0
X600809.SH,0,0.0908101562021345,0,0,0,0,0,0,0,0.141163916194041,0.448707616193084,0,0,0,0,0,0,0,0,0.291603378123996,0,0.0618474277421297,-0.051083689335062,0,0,0.0348679237785281,0,0,0,0,0,0,0.0593924378612797,0,-0.055815333991654,0,0,-0.0441467971964448,0,0,0,-0.0214192647521813,0.0485711951580335,0,0,0,0,-0.0692086438679155,0,0,0,0.0182100017518967,0,0,0,0,-0.0366651913881412,0,0
X000651.SZ,0,0,0,0,0.0809781508084931,0.414839430090646,0,0,0,0.130997011045335,0,0,0,0.00108783558329345,0,0,0,0.0301194226470754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377253878795847,0,0,0,0,0,0.0349582081077521,0.106814947363866,0,0,0,0.0352926783975513,0,-0.0606246826388845,-0.0686439578996989,0,0,0,0,0.000199644579526105,-0.0270159557181959,0,0,0,0.0881680676443006,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.00961984711111461,0,0,0,0,0.315884420809463,0,0,0,0,0,0,0,0,0,0,0.00390093795374746,0,0.151006688930363,0,0,0.223733638373375,0,0,0,0,0,0,0,0,0,0,0,0.00906898053756864,0,0,0.0725703717392571,0,0,0,0,0,0.118370009099005,-0.0528131766719069,0,0.0708691143924663,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.480418811581567,0,0,-0.0222412484600344,0,0,0,0,0,0,0,0,0,0.209796948288935,0,0,0,0,-0.0892934182577223,0.126421517080855,0,0,0,0,0,-0.0949980154779514,0.479392223437619,0,-0.29512038504516,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-0.124943718870918,-0.0870552860692417,0,0,0,0,0,0,-0.0955763085375873,-0.0303256049503684,0.253328675185664,0,0,-0.0092837186031657,0,0
X000568.SZ,0,0.24348652305372,0,0,0,0,0.5156682624,0,0,0,0,0,0,0,0,0,0,0.0236971807684836,0,0.0710768115953845,0,0,0,0,0,0,0,0,0.0103840017273109,0,0,0,0,0,0,0,0,0,0,0.064124543343431,0,0,0,0,0,-0.0242247930385189,0,-0.0461529606839595,0.0391906580765028,0,0,0,-0.0427575992169474,-0.0989113404002068,0,0,-0.00296531856907514,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0299637802430424,0,0,0,0,0,0,0.0869717280061169,0,0,0,0,0,0.479328465471341,0.0405152480199247,0.0352803553034103,0,0,0,0,0,0.0749875547472145,0.0252586925803233,0,0,0,0,-0.0192547872101661,0,0,0,0.00800765335313698,0,0,0,0.00682464267097444,0,0,0.0212095624000518,-0.0244388798522612,0,0,0,0.157825263286323,0.021527194170323,0,0,0,0,0.0495063598042609,0,0
X600031.SH,0,0,0,0,0,0.269368482852743,0,0.564693793222276,0,0,0,0,0,0,0,0,0,0,0.0627819603427389,0,0,0,0,0,0,0.0108768052979111,0,0,0,0,0,0,0,0.196997563584415,0,0,0,0,0.142549380653867,0,0,0,0,0,0,-0.0912855363855589,0,-0.0598299995404838,0,0,0,0,0,0,0,0,-0.0257222467377008,0,0
X600104.SH,0,0,0,0,0,0.0333231597220534,0,0.0171439293698104,0,0.160784895326804,0.260324954376894,0,0,0,0,0,0,0,0,0,0,0.123617523025865,0,0,0,-0.165572977124953,0,0,0,0,0,0,0,0,0,0,0,0,0.013909421613106,0.225479378866482,0,0,0,0,0,-6.93889390390723e-18,0,0.0445459008557102,0,0,0,0,0,0,0,0,0,0,0
