,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600276.SH,X600690.SH,X003816.SZ,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X600031.SH,X000063.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600372.SH,X600584.SH,X600703.SH,X000157.SZ,X000977.SZ,X600522.SH,X002028.SZ,X600066.SH,X002236.SZ,X600741.SH,X600183.SH,X002049.SZ,X600418.SH,X601877.SH,X000921.SZ,X000800.SZ,X600487.SH,X600460.SH,X002180.SZ,X000661.SZ,X002223.SZ,X002074.SZ,X601799.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.194422971622956,0,0,0,0,0,0,0.144369927954353,0.112225930623699,0,0,0,0,0,0,0,0,0.0557678415908133,0.0513735507763427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00459308074992573,0,0,0,0,0,-0.0958756840365933,-0.00794137412315286,0,0,-0.0490453364396789,0,0,0,0,0,-0.0703412609644973,0,0,0,0.0066404350802561,0,0
X000858.SZ,0.120182549240806,0,0,0,0,0,0,0,0.0730229040153663,0.343303038982658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010119606775311,0,-0.0443918118187893,0,0,0,0,0,0,0,0,0,0.115988755352022,0,0,0,0,0.000969189404541188,0,0,0,0,0,0.0678755621984791,0.0843287855599426,0,0,0,-0.0117674519976574,0,0,0,0,0.0259103433583401,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00309465977790831,0,0,0,0,0,0,-0.0374672074825957,0.136359552434689,0.468234797035658,0,0,3.46944695195361e-18,0,0,0,0,0.0701108992684654,0,0.0513105135805413,0.0156047674073367,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0763035979136687,0,0,0,0,0,0,0.0515831931473361,0.0803350350633616,0,0,0,-0.0342143145208067,0,0
X002415.SZ,0,0,-0.0904174416386971,0,0.0370286075006374,0.194474102480086,0,0,0,0,0,0,0,0,0,0,0,0.0329375338544175,0,0,0,0,0,0,0,0,0,0,0,0,-4.2351647362715e-22,0,0,0,0.068042062384085,0,0.0550138473095009,0.151514300532465,0.037965952053629,0,0,0,0,0,0,0,0,0,0,0.0269485964133847,0,0.0695395546116372,0,-0.078264936325841,0,0,0.0127093693735933,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.0344612069122862,0,0.0240120394231646,0,0,0,0.237017072152592,0,0.075891777456435,0,0.0436590645987525,0.0139782840831766,0,0,0,0,0,0,-0.086095085755605,-0.0735595133225635,0,0,0,0,0,0,0,0.109206194741344,1.73472347597681e-18,0.0404889660307377,0,0,0.0270935754504895,0,0,0,0,0,0,0,-0.00855288279899765,-0.018733514686323,-0.117770703340743,0,0,0.0211783111627693,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,-0.0561440633333247,0,0,0.0742522059862046,0,0,0,0,0,0.22493035190174,0,0,-0.130605174742961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356331445172506,0,0,-0.00330958332512126,0.304114474386655,0,0,0,0,-0.111782305901745,0,0,0,0.0731518206233223,0,0,-0.00829286465905559,-0.106755198706228,0,0,-0.0327411049021494,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.0926907775248817,0,0,0,0,0,0,0,-0.0720636826467289,0,-0.0287550275770618,0,0,0,0,0,0,-0.0805648322619396,0,0,0,0,-0.0311988803452552,0.056614415283032,0,0,-0.0505028507220942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.320484557079446,-0.121204046961767,0.0331768356336233,-0.0794288945916774,0,0,0,-0.0162834397129334,0,0
X000651.SZ,0,0,0,0,0,0.198762001698681,0,0,0.0883190925945778,0,0,0,0,0,0.105810595711872,0,0,0,0.0160509227627931,0,-0.0192116014409931,0,0,0,0,0,0,0,0,0.165829946364285,-0.0102653526347976,0,0,0.0251849919192706,0,0,0,0,0,0,0.15842423758642,0,0,0,0,0,0,0,0,0.0207781369662919,0,0,0,0.0363490691676083,0,0,-0.032703327149167,0,0
X600809.SH,0.377819609973152,0,0,0,0,0.0710417287199872,0.135815048451528,0,0,0,0,0,0,0,0,0,0,0.00803844062378691,0.0431337817494784,0.316494899072938,0,0,0,0,0,0,0,0,0,0,0,0,0.0380600828890632,0,0,0,0,0.0680158833145186,0,0,0,0,0,0.0213397041967357,0,0,0.152323737773362,0,0,0,0,0,0,0.122982416422648,0,0,-0.0144018209423595,0,0
X000568.SZ,0.521732347523372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283356418403057,0,0,0,-0.0337718777810449,0,0,0,0,0,0,0.0295091289215861,0,0,0.0674577507494228,0,0,-0.033471384718569,0,0,0,0,0,-0.0294531035989188,-0.0328769432118918,0,0.089037855496414,0,0,0,-0.0244125992592226,0,0,-0.00546324537257719,-0.0210399420149846,0,0,-0.00933773598365673,0,0
