,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600703.SH,X600809.SH,X600690.SH,X002371.SZ,X000596.SZ,X600183.SH,X300003.SZ,X000100.SZ,X002241.SZ,X002007.SZ,X300142.SZ,X300014.SZ,X600741.SH,X000977.SZ,X300124.SZ,X000157.SZ,X002129.SZ,X601877.SH,X002236.SZ,X000625.SZ,X600584.SH,X000800.SZ,X002463.SZ,X002456.SZ,X300136.SZ,X002049.SZ,X002414.SZ,X600498.SH,X600118.SH,X002185.SZ,X002179.SZ,X000066.SZ,X600522.SH,X000021.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.100602420531733,0,0,0,0,0,0,0.00347533494291321,0,0.159296833280936,0,0,0,0,0,0,0,0,0.268770651123439,0,0,0,0,0,0,0,0,0,0,0,0,0.04662194611579,0,0.00559628616689501,0,0.0839835493010637,0,0,0,-0.0147889993588211,0,0.0497438554883279,0,0,0,0,0,0,0,0.059781480603346,0.00346909383586958,0.00750878108251972,0,0,0,0,0,0
X000858.SZ,0.170136937986755,0,0,0,0,0.0214452755648867,0.14382078646009,0,0,0,0,0,0,0.280709928408744,0,0,0.206069917689629,0,0,0.0861567111160796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280364790315484,0,0,0,-0.0346436955795564,0,0,0.00326218597798283,0.0184991192882592,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0949871467136369,0,0,0,0,0,0,0,0,0,0.146999805331542,0,0,0,0.0149791617927327,0.00992110289070204,0,0,0,0,0,0,0.0395713764488549,0.030149485654363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0642988510563282,0.0467826882460043,0,-0.0575275065553259,-0.00581873043439386,0,0,0,0,0,0,0
X000651.SZ,0,0.0724933612099987,0.0222156788574091,0,0,0,0.0328233640718064,0,0,0,0,0,0,0,0.0117163981013864,0,0.0950326346121993,0.484006202473143,0,0,0,0,0,0,0.0289262770991719,0,0,0,0.015176447860913,0,0,0,0.0276783065890667,0,0,0,0,0,-0.0637351038960731,0,0.0651620225026817,0,0,0,0,0,0,0,-0.00927904476271072,0,0.0204145043856472,0.004757781807846,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0102630956882212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685393387942634,0.136961300520713,0,0,0,0,0,0,0.0454002850265452,0,0,0,0,0,0.113533809575239,0,0,0,0.0506296827832635,0,0,0,0,0,0,0.0305916412672533,0.0331734990388036,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0515059699466344,0.289280410264783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056066531804602,0.0485839545440852,0.219702957418373,0,0,0.0934528338586035,0,0,0.0388074097874266,0,0,0,0,0.102581038615749,0,0,0,0,0,0,0,0.034206265451478,0.0988589353935057,0,0,0.0714739369133031,0,0,0,0,0.00767229681524922,0,0,0.00169736448302606,0,0,0,0,0,0,0
X600104.SH,0,0.0195840437937129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987386589635771,0,0.115969674789356,0,0,0,0,0,0.345599888609879,0.141342167100196,0,0,0.00747266916552478,0,0,0.0909922559605808,0,0,0,0,0,0,0,-0.100536476482414,0,0,0,0,0,0,0,0,0.0209874572044457,0.0377575238468517,0,0,0,0,0,0
X000063.SZ,0,0.0240505766182536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149453571830066,0,0.0804252934085412,0.282545376341943,0,0,0,-0.123469663924344,0,0,0,0,0,0,0,0,0,0.179630690354719,0,0,0,0,0.379775617343054,-0.0193407667278229,-1.35525271560688e-20,0.295274337493149,0,-0.0360050007671158,0,0,-0.219820325195042,0,0,0,0.00140168410210965,0.0098578408407679,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0941923015217967,0,0,0,0,0,0,0,0,0.174814568852654,0,0.0453362210567085,0,0,0.027775375887334,0.00957881740659474,0,0,0,0,0,0,0.0767963571989502,0,0,0.487658617374333,-0.0577127352833246,0,0,0.0327944485269196,-0.0510535210074757,0,0.0492101077896561,0,0,0,0,0,0,0,0,0,0,-0.0291416525221751,0.0154287817136426,0,-0.00396485250357717,0.0257696456517903,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.0257861539484655,0,0,0.0213600725944858,0,0,0,0.0268899381794041,-0.00404228039649901,0,-0.138129677411824,0,-0.0686659726367823,0,0.120253672831157,0,-0.0124934664707812,0,0.0172017886877102,0,0,0,0,0.0560858276793484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234175381910118,0,0,0,-0.0464202996890645,0,-0.0100939872356022,0,0,0,0,0,0
