,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600031.SH,X000625.SZ,X000338.SZ,X002241.SZ,X002456.SZ,X300136.SZ,X601877.SH,X600487.SH,X002008.SZ,X600066.SH,X000100.SZ,X600522.SH,X600809.SH,X300124.SZ,X002508.SZ,X600271.SH,X300003.SZ,X002294.SZ,X002085.SZ,X600867.SH,X600089.SH,X000981.SZ,X600498.SH,X600699.SH,X000157.SZ,X600177.SH,X300142.SZ,X000596.SZ,X000050.SZ,X002180.SZ,X600118.SH,X600566.SH,X600584.SH,X000661.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.33381326048813,0,0,0.193663242285032,0.134318826192602,-0.00150249899830076,0,0,0,0,0,0,0,0,0,0,0,0,0.0704487084292354,0,0,0,0.106197209642613,0.114150031724154,0,0,0,0,0,0,0,0,0,0,0,0.0111674079478025,0,0,0,0,0,0,0.0314521929640942,0,0,0,0,0,-0.0155929097580343,0.0414580818832751,0,0,0,0,0,0
X600104.SH,0,0,-0.0230676958952496,0,0,0,0,0,0,0,0.0437113863404549,0,0.407164619947129,0,0,0,0,0,0,0.0644309982724428,0,0,0,0,0.110544628027848,0.15936971973856,0.0377658367002283,0,0,0,0,0,0,0.0180980277206524,0,0,0,0,-0.0416712793793405,0,0,0.0434793326150341,0,0,0.112333748229341,0,0,-0.045176363761654,0,0,0,-0.0446323995649862,0.0495616259938264,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.000496918120322168,0,0,0,0.2789242779258,0,0,0,0,0,1.73472347597681e-18,0.0024145646664798,0.128877374501289,0.307994523125905,0,0,0,0,0.0776854350308163,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.188609732972763,0.0892289007457596,0,-0.0179283483646053,5.42101086242752e-20,0,0,0,0,0,0
X000858.SZ,0.0354141737990794,0,0,0,0.0604204397819218,0,0,0.0994929186164133,-0.00161201995237809,0,0,0.287600016524291,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-3.46944695195361e-18,0,0,0,0,0.256821490796955,0,0,0,0,0,0,0,0,0,0,0.0506275396586792,0,0,0,0,0.0857224319712863,0,0,0,0,0,0,0,0.000874906901752371,0,0,0,0,0,0,0
X000651.SZ,0,0.195191026129461,0,0.0962598885913976,0,0,0,0.0482328492357488,0.0598954479066926,0,0,0,0,0,0.018794487028193,0.0090252792870392,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999207738833433,0,0,0,0,0,0,0,0,0,-0.000822754570184937,-4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.314939339260132,0,0,0,0,0,0,0.0351000080217374,0,0.0147145390797818,0,0,0.16007016895482,0.152401464462513,0,0,0,0,0,0,0,0,0,0,0,0,0.311235024139076,0,0,0,0,0,0,0,0.118318577962282,0.166270019026054,0,0,0,0,0,0,0,0.0253851448375717,0.0407971131758244,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0191101581323774,0,0,0,0,0.32849824989385,0,0,0,0.00822832619812749,0,0,0,0,-0.194752412939202,0,0,0,0.0619171566557519,0,0,0,0,0.0852188834247686,0,0,0.157523127803023,0,0,0,0,0,0,0,0,0,0.125548388574842,0,0,0,0,0,0,0,-0.138270105815899,0,-0.0412255569057186,0.0321259834244734,0,0,0,0,0,0
X002304.SZ,0.308859561416736,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0515299319960307,0,0.184344048599469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484252189997339,0,0,0,0,0,0,0.006876774599897,0.0309415582359411,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.333180940105548,0,-0.0176482946336717,0,0,0,0,-0.0659625848969895,0,0.0957433751204058,0,0,0,0,0,0,0,0,0,0.0552803037130166,0,0.236871944114038,0,0,0,0,0,0,0,0,0,0,0.129103595322595,0,0,0,0,0,0,0.0901077633190488,0,0,0.302638261305771,0,0.122970462170876,0,0,0.0142916611860632,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.053768231684367,0,0,0,0,0,0.104738430484258,0.0999598836030787,0,0,0.136608809262055,-0.145802226522451,0,0,0.140907780994916,0,0,0,0,0.0863934540099845,0,0.0537328878176075,0.21862543703364,0,0,0.0556464797879271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191046496078608,0,0,0,0.00732759399059281,0,0,0,0,0,0,0
