,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X000725.SZ,X003816.SZ,X600031.SH,X000596.SZ,X002371.SZ,X002049.SZ,X000625.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X300142.SZ,X000661.SZ,X600522.SH,X002241.SZ,X000733.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X000157.SZ,X600702.SH,X300003.SZ,X600584.SH,X600884.SH,X000066.SZ,X002414.SZ,X600487.SH,X002294.SZ,X002007.SZ,X600563.SH,X002236.SZ,X000799.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.12660382572674,0.26088774240804,0.0942678849350979,0.204789488450706,0,0,0.118703897507825,0,0,0,0,0,0,0,0,0,0,0,-0.0743110311378726,0,0,0,0.190808716372976,0,0,0,0,0,0,0,-0.00213918299520555,0,0.0939321652085138,0,0,0,0,0,0,0,0,0,0.0443978384471423,0,0,0,0,0,0.00977468857451596,0,-0.00638118957824519,0,0,0,0,0,0,0
X000858.SZ,0.202683868606273,0,0.0197650300919081,0,0.311942958812934,0.0894429428309014,0,0,0.0620040690995144,0,0.113797956814023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575086126841544,0,0.00719747193239794,0,0,0,0,0,0,0,0,0,0.100792208624374,0,0,0,0,-0.0484861299605847,0,0,0,-0.0242609468185565,0,0,0,-0.0192168857063697,0,0,0,0,0,0,0
X600809.SH,0.230446652898849,0,0,0,0.567021429613675,0,0,0,0,0,0,0,0,0,0,0,0,0.0114071693266811,-0.0178025728619134,-0.156295381819956,0,0,0,0,0,0,0,0,0.04345318930985,0,0,0,0,0,0,0,-0.0337798578862489,0,0.150521420474466,0,0,0,0,-0.0136891806188348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278475853200222,0,0,0,0,0,0,0,0,0,0,0,0,0.021552730391508,0,0.178340897716442,0,0,0,0,0,0,-0.0465507627018799,0,0.200304659851506,0.0846486154014337,0.14334247418095,0,0.18133011213452,0,0,8.61766971062076e-05,0,0,-0.0089901792371742,-0.069173624936106,0,0,0,0,0,0
X000568.SZ,0.467546661346852,0.139995768837178,0.648575910149081,0,0,-0.0937443441478203,0.00413493150569954,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08001487529829,0,0,0,0,0,0,0,0.10721928496999,0.0786572302643752,0,0,0.0290248290433944,0,0,0,0,0,0,0,-0.00222724597884846,0,0,0,0,0,0,0,0,0,0,-0.0304161710639805,0.0551434197226221,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.00113839603401606,0,0,0,0,-0.0545433620480286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460485212989708,0.0637362441234424,-0.136923278805744,0,0,0,0,0,0,0.0639503770184436,0,0,0.126741518687779,0,0,0,0,0,0.0117919908874144,0.0514123052480106,-0.0570605225148749,0.0712605128430161,0.0198386077182571,0,-0.00805718772624966,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.178443338294627,0,0,0.121844374433273,0,0,0,0,0,0.0173252723143681,0,0,0,0,0,0,-0.0638097867552406,0,0,0.031571969699093,0,0.276533553342941,0,0,0,0,0,0,0,0.0974378548387369,0.113650474611729,0,0,0,3.46944695195361e-18,-0.0888430527058223,0,0,0,0.00833587165176895,0,0,-0.0107588292813993,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0131415647708331,0.350627580258098,0,0,0,0,0,0.157626835722802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290710653677566,0.100120985591901,-0.110587471138753,0,0,0.0115616785745226,0.0209959443743815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496897815520986,0,0,0,0,0,-0.0317782367782043,0,0,0,0,0,0,0
X002304.SZ,0,0.121471577628817,0,0,0.0900685440681597,0,0.101298195485539,0.127975994331309,0,0,0,0,0,0.0176198144808021,0,0,0,0,0,0,0,0,0,0,0.0409683816430235,0,0.0104464675696586,0,0,0,0,0,0,0,0.000607798925227635,0.0423491330151775,0,0,0.201876247912797,0,0,0,0,-0.282202788235876,0,0,0,0,0,0,0,-0.0316359349436526,-0.0363031280334633,0,0,0,0,0,0
X300124.SZ,0,0,3.46944695195361e-18,0,0,0,0.0668254883621181,-0.00632027604019144,0,0,0,0,0,0,0,0,0,0,0,0.0960379450674669,0.340718428889809,0,0,0,-0.173252667189803,0,0,0,0,0,0,0,0.0848293506130195,0,0.0762537505620031,0,0,0,0,0,0,0,-0.0353260047318606,-0.0302634933385784,-0.247695392992537,0,-0.0465103690459159,0.0615009713612189,0,0,-0.126454680472903,0,0,0,0,0,0,0,0
X000651.SZ,0,0.0346187931301554,0,0,0,0,0,0.404907688545835,0,0,0,0,-0.0718251323234368,0,0,0,0.213964632326538,0,0,0.00506058462227277,0,-3.3881317890172e-21,0,0,0,0,0,0,0,0,0,-0.00769288849466982,-0.00657360374904696,0,0,0,0,0,0,0.0774609807720958,0,0,-0.153127844451101,0,0,-1.73472347597681e-18,0.100739326919832,0,0,1.73472347597681e-18,0,-0.00787947972871675,-0.00443311109162857,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0719719381232217,0.0293122748879886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017906009138104,0,0,0.141717574100064,0,0,0,0,0.205921056908684,0.0713674308051809,0,0,0,0,-0.0629488872050296,0,0,0,0,0,0,-0.0196250786775541,-0.00854686574777895,0,0,0,-0.0110469823405514,0.0130471265392552,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,-0.297171538274516,0,0,0,0.121964512592676,0,0,0,0.0274820014615993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375986580503953,-0.00955530718637063,-0.191106795806927,0,0,0.46183149582285,0,0,0,0.0165104750765596,0,0,0.0242211095273181,0,0.231810194140519,0,0,0.0444204846987216,0.21048555231215,0,0,0,0.02973304950173,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.156495158254716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235281140461416,0,0,0,0,0.189330543863719,0,0,0,0.0694572960832472,0.120774034672818,0,0,-0.0101217110286534,0.159052069887142,0.174776010714814,0,0.16568019844874,0,0,0,0,0,-0.0450381879518841,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163274888428314,0,0,0,0,0,0,0,0,0.0210536256190792,-0.108714995554549,0,-5.42101086242752e-20,0,0.0106826604647761,0,0.0355241507486311,0.391443794504448,0,0,0,0,0.0488293020983243,0,0,0,0,0,-0.0350837261193866,0,0.0182528827571599,-0.0272704568464797,0,0,0,0.00582623332772429,0,0,0,0,0,0,0
X003816.SZ,0,0,0,-0.0867915272155647,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801115546076612,-0.00782070006606786,0,0,0,0,0,0,0.0900789155216238,-0.0254958049209139,0.0290340888376081,0.0444475376050317,0,-0.0406713665292549,0,0,0.113538451096789,0,0,0,0,0.0160425828164959,0,0,0.0526334824779087,0,0,0,0,0.0487990486328279,0,0,0.0685955316341757,0,-0.0214150138940084,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,-0.0609534142595376,-0.0095593092766147,0,0,-0.0506118252726841,0.0440070401373948,0,0,-0.0140687497750405,0.116816563874893,0,0,0,0,0.0442741852566913,0,0.11752793247197,0,0,0.0738975879242709,0,0,0,0,0,-0.095125732370592,0,0,0.491569532885616,0,0,0,0,0,0,0,0,0,0,0,0,0.162387824000527,0,0,0,0,0.018432083706446,0,0,0,0,0,0,0
X000596.SZ,0,0,0.445963079808595,0,0,0,0,0,0,-0.230690613308148,0,0,0.102309933905351,0.0737368292284812,0,0,0,0,-0.16232808273439,0,0.138550487698519,0,0,0,0,0,-0.0508759954456559,0,0,0,0,0,0,-0.449885348459275,0.0146760277342335,0,0,0,0,0,0,0,0,0,0,-0.076252463234757,0,0,0,0,0,-0.0010483386794893,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,-0.344271155842945,0,0.35626131099719,0.0216899337178661,0,0,0,0,-0.239715811766414,0,0,0,0,0,0,0,0,0,-0.228399776828477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185239386297792,0,0,-0.0422289563858838,-0.072908927826826,0.186216065773923,0.888660735440716,0,0,-0.0237955535696014,-0.0757621962894819,-0.243497085086358,0,0,0,0,0
X002049.SZ,0,0,-0.10082580984973,0,0,0,0,0,0,0,0.105939572680319,0,0,0,0,0,0.0594197107785232,0,0.00667149903576252,0,0,0,0,0,0,0,0.0427489467023024,0,0,0,0,0.13840065341564,0,0.0475282352452164,0,0,0,0,0,0,0,0,0.216528577300991,0.118011784783475,-0.05786177106531,0.177147158940604,0,0.204654867423946,0,0,0,0,0.110480915602245,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.063119187520284,0,0,0,0,0,0.328526025298658,0,0,0,0.312074936801488,0.0193270590493947,0,0,0,0,0,0,0,0,0,0,0.0225701486517685,0.137461864199873,0,0,0,0,0,0,0,0,0,0,0,0.0448199574580626,0,0,0,0.120688225923918,0,0,0,0,0,-0.0281834219875366,-0.0204023204168537,0,0,0,0,0,0
