,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X600741.SH,X002475.SZ,X000338.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X600031.SH,X000100.SZ,X601877.SH,X600066.SH,X002008.SZ,X600487.SH,X600809.SH,X300136.SZ,X300124.SZ,X002508.SZ,X300003.SZ,X600522.SH,X600498.SH,X600089.SH,X600867.SH,X002294.SZ,X600699.SH,X002085.SZ,X000596.SZ,X600271.SH,X000981.SZ,X000157.SZ,X600177.SH,X000050.SZ,X600566.SH,X600118.SH,X000559.SZ,X600584.SH,X002180.SZ,X000661.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.142473318511899,0,0,0.0839328879975804,0.225503832488189,0,0.0416187716011915,0,0,-0.0981388102615598,0,0,0,0,0,0,0,0,0,-0.0819967867633335,0,0,8.67361737988404e-19,0,0,0,0,0.0936923410647765,0,0,0,0,0.017035245161785,0,0,0,0,0,0,0,0.0134363172945023,0,0.137330297185206,0,0,0,0,0,0,0.0171871720398101,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0783803661994205,0,0,0,-2.16840434497101e-19,0,0,0,0.304483978810522,0.100201902622786,-0.180037546075726,0,0,0,0,0.0619797377337075,0,0,-8.67361737988404e-19,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.195561404729102,-0.0397385422073194,0,0.0464242041466094,0,0,0,0,0,-0.0361858494196764,0,0,-0.0694847888653242,0.0936151411461308,0,0,0,-0.0225262362021561,0.0254497150428123,0,0,0,0,0,0
X002415.SZ,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.193883552342244,0,0,0,0,0,0,0,0,0,0,0.0874747411780966,0,0,0.0529015305972445,0.167942567283534,0.0642734962022373,0.0444118907985324,0,0,0,0.0799098307438263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843545052665282,0,0.031707297509327,0,0,-0.000477384864298206,0.0555604193671393,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.096597042289553,0,0,0,0.30005143313746,0,0,0,0,0,0,0,0,0,0.0523585128522333,0,0,0,0.239663628632262,0,0,0,0,0,0,0.0270885337611136,0,0,0,0,0,0,0,0,0,0,0,0,0.130070064337332,0,0,0,0,0,-0.0256129426197189,0.00402653313701389,0,0,0,0,0,0
X000651.SZ,0,0.157175874443801,-0.076201180303638,0.140800969820703,0,0,0,0,0,0,0,0,0.086185329383031,0,0,-0.0425213371486779,0,0,0,0.134219818815067,0,0,0,0,0,0,0,0,0.0746607112468554,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184105458461533,0,0,0,0,0.0101453777404598,0,0,0,0.00818913488497823,0,-0.046499279660045,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,-0.0373980195146648,0.150635473507479,0,0,0,0,0,0.190150375858574,0,0,0,0,0,0,0.391996388160613,0,-0.0497925587426249,0,0,0,0,0,0,0,0,0,0.386901666444932,0,0,0,0,0,0,0,0,0.213405503922555,0,0,0.118071300271469,0,-0.0436030938515408,0,0,0,-0.0147751915116023,0.0391578964581047,0,0,0,0,0,0
X600276.SH,0.0853916857400856,0,0,0,0,0.0917082690973287,0,0,0,0.242160786904217,0,0,0,0,0,0,-0.0548948481539597,0,-0.133597730729364,0,0,0,0,0.00478205095879683,0,0.0525537649164849,0,0.153529987682869,0,0,0,0,0,0,0.185130897472815,-0.0340329707623915,0,0,0,0,0,0,0,0,0,-0.178901129253364,0,-0.0607641760634295,0,0,0,0,0.0234838561245835,0,0,0,0,0,0
X002304.SZ,0,0,0,0.578846651744786,0,-0.0191917090464198,0,0,0,0,0,0,0,0,-0.0754022361491687,0,0,0,0,0,0,-0.00647948999144604,0,0,0,0,-0.00757068593700961,0,0,-0.0129525360816276,0,-0.0669518040718558,0,0,0.174740760488184,0,0.042065646921529,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.0728631231531941,-0.0897905899078429,0,0,0,-0.0516229977209782,0.0535171712813657,0,0,0,0,0,0
X000063.SZ,-0.196679692329403,0,0,0,0,0.312067635156633,-0.165642755025474,-0.00161545292077755,0,0,0,0,0,-0.220102694489595,0,0.177393518498115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965922611966818,0,0,0,0.0789956068526844,0,0,0,0,0,0.0284366024947268,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0588403918714764,0.18926689681138,-0.171808762739592,0,0,0.234692639177246,0,0.0287813426212747,0,0,-0.0601960629694793,-0.0598220347145769,0,0,0,0,-0.322936923448639,0,0,-0.0385268386891825,0,0,0,0,0,0,0.0543104138499009,0,0,0,0.15246098542278,0,0,0,0,0,0,0,0,0,0,-0.0380132149699271,-0.00738643042938685,0,0,0,0.00228864803274193,-0.0084460010993897,0,0,0,0,0,0
