,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X600104.SH,X002129.SZ,X000651.SZ,X300014.SZ,X300124.SZ,X000625.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X600089.SH,X002241.SZ,X000338.SZ,X600703.SH,X002179.SZ,X000661.SZ,X601877.SH,X600522.SH,X300142.SZ,X002074.SZ,X002180.SZ,X000733.SZ,X600460.SH,X600884.SH,X600741.SH,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X002176.SZ,X002236.SZ,X600584.SH,X600563.SH,X601799.SH,X600779.SH,X002007.SZ,X000800.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.341840761674096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353321920471814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564346327123584,0,0,0,0,0,0.0238280666317156,0,0,0,0,0.0447711523584519,0,0,0,0,0,0,-0.000949041620274275,0,0,0,0,0.000727065641220242,0,0
X000858.SZ,0,0,0,0.449827742527997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143747036191056,0,0.0119194083265337,0,0,0.0127069415277619,0,0.205168583102242,0,0,0,0,-0.00401463064413617,0.00705909645664582,0,0,0,0.0144783265050447,0,0
X600809.SH,0,0.253946933604555,0,0.235249267228693,0.119505065403873,0.157138711409936,0,0,0,0,0,0,0.0110549547039693,0,0,0,0,0,0,0.119618278486387,0,0,0,0,0,0,0,0,0,0,-0.00331894910063827,0.185283399651549,0,0,0,0,0,0,0.14991318083386,0,0,-0.0955459310624432,0,0,0,0,0,0,0,0,0.0503247422121109,0,0,0,0,0,0,0,0
X000568.SZ,0,0.268357333542287,0,0,0,0.130395527950633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190078421447997,0,0,0,-0.0122023482793636,0,0,0,0,0.27730755963226,0.134001420079668,0,0,0,0,-0.0015482128538048,0,0,-0.065350774265613,0,0,0,-0.022199413152219,0.00525536275098607,0,0,0,-0.0533046126473233,0,0
X002415.SZ,0,0,0,0.0760816878303199,0,0.523471166452718,-0.078130953944189,0,0,0,0,0,0,0.0794637790510121,-0.181210375731312,0.0039382687368955,0,0,6.93889390390723e-18,0,0,0,0,0.0411054783136653,0,0,0,0,0,-0.0570729283718462,0,0,0,-0.0724874653900002,0,0,0,0,0,0,0,0,0.694961051883056,0,0,0,0,0,0,0,0,0.0951968650488231,0.14191327907218,0,0,0,-0.0124031892037123,0,0
X002304.SZ,0,0,0.111556794672675,0.0175878958167404,0.00915342399986038,0,0.0955065172772467,0.143282129456522,0.035495221155611,0,0,0,0,0,-0.0258811455413153,0,0,0,0.0378607567068449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250576975064861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00265112492646618,0,0
X600276.SH,0,0,0,0,0,0,0,0.307848753371069,0.00925261227694687,0,0,0,0,0,0.111141189587461,0,0,0,0,0,0,0,0,0,0,0.0930339546588692,0,0,0,0,0,0,0,0,0,0,0,0,0.0925303685529644,0,0,0,0,0,0.0815574805241389,0.00194934611572937,0.259293789063687,0,0.0587047788780582,0,0,0.0540216476970653,0.0183763298703497,0,0,0,0,0,0
X600690.SH,0,0,0.0198712427850989,0,0,-6.93889390390723e-18,0,0,0,0,0,0.29736102338483,0,0.0728785651040329,-0.0301200270596191,0,0,0,0,0,0,0,-0.0356651969853374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143205989128043,0,0,0,0,0,0,0,0,0,0,0.162642991199841,0,-0.0196852750328557,0,0,0,0,-0.0817761957029907,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250180338419921,0,0,0.100953962781253,0,0,0,0,0.0634641016812205,0,0.10227626795746,0,0,0,0.0815740483663141,0,6.93889390390723e-18,0,0,0,0,0,0,0.104291808353019,0.00483976143601061,0,0,0.137526592467173,0,0,0.110211231667757,0,0,0,0,0,-0.0375495334700847,0,0,0,0,0.0219642848748624,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111049463853344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00864228483169661,0.0265452267036276,4.33680868994202e-19,0,0,0,0,0.195476694940902,0,0,0.00264965298965694,0,0,0,0,0,0.0706049075462686,0,0,0.0730169108340534,0,0.0682788565276086,-0.000996541673252358,0.0096402337731002,0,0,0,0.0216362413441599,0,0
