,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X000661.SZ,X600741.SH,X600703.SH,X600809.SH,X002241.SZ,X000596.SZ,X000100.SZ,X002236.SZ,X300003.SZ,X601877.SH,X300014.SZ,X002371.SZ,X600183.SH,X000157.SZ,X300124.SZ,X000625.SZ,X002456.SZ,X002007.SZ,X002008.SZ,X300136.SZ,X000066.SZ,X300142.SZ,X600271.SH,X000977.SZ,X002179.SZ,X002129.SZ,X002463.SZ,X002180.SZ,X600584.SH,X600177.SH,X600066.SH,X000050.SZ,X002508.SZ,X600487.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.185972647800563,-0.0532593172610322,0,0,0,0.035484522508261,0,0,0,0,0,0,0.0559937741350723,0,0,0,-0.00265600663201464,0.128903860689517,0,0.212078125238915,0,0,0.100157103180484,0,0,0,0,0,-0.0333438125598462,0,0.00318230059713342,0,0,0,0,0.141006343348158,0,0,0,0,0,0,0,0,0,-0.180458665427989,0,0,0,0,-0.0312206053863172,-0.0441092422451315,0,0,0,-0.0478434155758299,0,0
X000858.SZ,0,0,0,0,0,0,0.0543730360570607,0,0,0,0,0,0.418245614013075,0.0539957524503574,0,0,0,0,0.0552336156304535,0,0.00866837221290481,0,0,0,0,0.00312304781110349,0.0849969332024399,0,0,0,0,0,0,0,0,0.0443937215643308,0.00511739821944738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00193820426248836,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284075221951212,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0387066845577475,0,-0.0219134089203327,0,0,0,0,0,0,0,0,0,0,0,0,0.132784650895223,-0.105973533220697,0.19066677469791,0,0,-0.0418801906298967,0,0.0440596118636811,0,0,0,-0.0133370193468642,0.0142110721551707,0,0,0,0.00166700350798501,0,0
X600276.SH,0.218610486796319,0,0,0,0,0,0,0,0,0,0,0,0,0.132272409761505,0,0.126119408701802,0,0,0.0999724598505176,0,0,-0.000154689975103223,0,0.00860371684555603,0,0,0,0,0,0,0.0102411321833105,0,0.196643694948389,0.011142706551076,0,0,0,0,-0.119915916845296,0,0,0,0,0,0,0,0,0,0,0,0,0.0351134566458284,-0.0103240201073417,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.296027963978417,0,0,0,0,0,0,0,0,0,0,0,0,0.00931113724673201,0,0,0.248625405228032,0,0,0,0,0,0,0.13220398209153,0.153304519631455,0,0,0,0.0853740793397966,0,0.0126059641314648,0,0,0,0,0,0,-0.107048522856656,0,0,0,-0.128608651505963,0,0,0,0.0529930038115323,-0.0228256592518577,0,0,0,0.00649203746903753,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026592709986255,0,0,0,0,0,0,-0.0294753763387682,0.106879128612279,0,-0.0358294009737463,-0.0268344430943381,0,0,0,0,0,0.173415453397901,0,0,0,0,0,0,0,0,0,0,-0.013111435782746,0,0,0,0.00513981929914549,0,-0.0925000020846025,0,0,0.00205896625355777,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293289325555582,0,0,0,0,0.413301225370295,0,0,0,0,0,0,0,0,0,-0.0381080793770417,0,0,0,0,0.12846309171305,0.0688247540884624,0,0,-0.0212058389057992,0,0,0.121639712135099,0,0,0,0,0,0,0,0,0,-0.0590692542847133,0.0961762935370823,0,0,0,0.0531782599620452,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.105470966199535,0,0,0.18287033610982,0,0,0,-0.0244540119645037,0,0,0,0,0,0,0.114785061245593,-0.0785102516939383,-0.00162517914960775,0,0,0,0,0.0788857796237522,0,0,0.0484696808370553,0,0,0.131552314075317,0,0,0,0.0707003656518072,0,0,0,0,0,0,0,0,0,0,0.0189678311562657,0,0,0,-0.00698368628536041,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00168420373752038,0.269412750193499,0,0,0,0.0666839042379673,0,0,0,0,0,0.0255375039218671,0,0,0,0.0392010493505556,0,0,0.0981346663735141,0,0,0.0576972253745482,0.0239954586199912,0.0602318194831416,0,0,0,0,0,0,0,-0.00617744960398207,-0.0127008420486852,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080224624530761,0,0,0,0,0.0346407680551269,0,0.0493366216718995,0,0,0.0440061180370059,0,0,0,0.0273429203775381,0,0,0,-0.0487412575611489,0.138980731272667,0,0,0,0,0,0,0,-0.0268604058757841,0,0,0,0,0,0,0.00431846596927119,0,0.0148831030078543,0,-0.0588578840317976,0.0433992330098479,0,0,0,0,0,0
