,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X601877.SH,X000157.SZ,X002236.SZ,X000100.SZ,X300003.SZ,X600703.SH,X002007.SZ,X300142.SZ,X600271.SH,X300124.SZ,X000625.SZ,X002179.SZ,X002241.SZ,X002506.SZ,X600183.SH,X600177.SH,X600867.SH,X600498.SH,X600487.SH,X300014.SZ,X000050.SZ,X002008.SZ,X002371.SZ,X600066.SH,X000066.SZ,X002129.SZ,X002049.SZ,X000977.SZ,X600522.SH,X600118.SH,X300146.SZ,X600372.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.156351029725304,0,0,0,0,0,0,0,0,0,0.0850106582870875,0,0,0,0,0.0865547441260123,0,0,0,0.220198587485632,0,0,0,0,0,0,0,0,0,0,-0.0165310220145341,0,0,0.123188920355389,0,0,0,0,0,0,0,0,0,0.00776098539174413,0,0,0,-0.202156414208862,0,0,0,0.0214671096926835,0,0.142722244140648,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.45992511302831,0,0.138105628912723,0,0,0,0.108723672913195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421380257387247,0,0,0,0.0163140837101878,0,0,0,0,0,0.0342818133616777,0,0,0,0,0,0,0,0,0,0,-0.0466361973834395,-0.0169726245457849,0,0,0,0.00387329514855785,0,0
X000651.SZ,0,0.0952001053289268,0,0,0,0,0.227333676744984,0,0.177201301613867,0,0,0.14670647286767,0,0,0.0772976155081926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130119875273993,0,0,0,0,0,0,-0.0307829363680792,0,0,0,-0.00303376123660081,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.233169049365994,0,0,0,0,0,0,0,0,0,0,0,0,0.0497691246011236,0.274343514397583,0,0,0,0,0,0,0,0,0.118140604888173,0,0,0.0585806120426676,0,0,-1.0842021724855e-19,0,-0.0726620369370168,0,0,0,0,0,0.0398465498835201,0,0,0.0189699157429996,0.00385807159685723,0,0,0,0,0,0
X600104.SH,0,0,0.0216022766205255,0,0,0.0281558531794565,0,0,0,0,0,0,0,0,0.270619287691564,0,0,0,0.000796399968403295,0,0,0,0,-0.0293186276637638,0.112040918607871,0,0,0,0.239855271664026,0,0,0,0,0,0.0896741860507092,0,0,0.0112872677512366,0,0,0,0,0,0,0,0,0,0,0.0224483355435395,0,-0.171256609982658,0.00289017751690796,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.223034548507826,0,0,0,0,0,0,0,0,0.49122436079784,0,0,0,0,0,0,0,0,0,0.241169861830727,0,0,0,0.0239923901681453,0,0.0900729381391201,0,0,0,0,-0.056041578109343,0,0,0,-0.119705781885991,0,0,0,0,0,-0.00134618073881642,0.00399598910569679,0,0,0,0.0643601736578566,0,0
X002304.SZ,0,0.0757478623866255,0.127365788135871,0,0,0,0,0,0,0.278733998882526,0,0,0,0,0.0374057004131311,0.032927530567446,-3.46944695195361e-18,0,0,0,0,0,0,0,0.125229696587475,0.0288174104218026,0,0,0,0,0,0.0220547700874531,0,0,0,0,0,0,0,0,0.0837938654361239,0,-0.145224246001035,0,0,0,0,0,0,0,0.0476719362535828,-0.0337242598952055,0.00790622230686507,0,0,0,0,0,0
X000725.SZ,0,0.00798973448080188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356718257849441,0,0,0,0,0.0708155216020752,0,0,0,0,0,0,0,0,0,0,0,0,0.267476656417399,0,0.0222881349094279,0,0,0,0.0347615741673669,0.130783033568333,0,0,0,0,0,-0.0146937315686151,0,0,0,0,0.0660579042676288,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0530429719014773,0,0,-0.0447424009509881,0,0,0,0,0,0,0,0.0201906591666487,0,0,-0.0301004151649822,0,0.109416311270221,0,0,0,0.30872856141419,0.198682161965484,0,0,0.508734278408334,0,0.0447742265282383,0,0,0,-0.223941653556431,-1.73472347597681e-18,0,0.0389742070926607,0,0,0,0,0,0,0.0567282608917077,-0.000883817602882976,0,0,0,0.060070628502221,0,0
X000568.SZ,0,0.67489029167557,0,0,0,0,3.46944695195361e-18,0,0,0,0.0295127207797673,0,0,0,0.042081438087142,0,0.0431180193907415,0.0862748630709201,0,0.00925478840203462,0.191315081511384,0,0,0,0,0,0,0,0,0,0,0.0601650593694953,0,0,0,0,0,0,-0.0703451141504766,0,0,0,0,0,0,-0.0423060946031615,0,0,0,0,0,0,0.102593247135069,0,0,0,0,0,0
