,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X600031.SH,X002475.SZ,X000725.SZ,X600104.SH,X000661.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X000063.SZ,X002241.SZ,X000100.SZ,X600703.SH,X000596.SZ,X000157.SZ,X000625.SZ,X300142.SZ,X002129.SZ,X600741.SH,X002371.SZ,X002049.SZ,X002179.SZ,X002007.SZ,X601877.SH,X002236.SZ,X600584.SH,X000799.SZ,X002414.SZ,X300003.SZ,X600183.SH,X300146.SZ,X000800.SZ,X601799.SH,X600779.SH,X600460.SH,X600089.SH,X600702.SH,X002074.SZ,X002008.SZ,X000977.SZ,X600707.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.235639262929316,0,0,0,-0.0560714932945826,0.107493740304065,0,0.0585318228365382,0,0,0,0,0.116672556927587,0,-0.0603165093177859,0,0,0,0,0.0758315365764051,0,0,0.00643623536062868,0,0,0,0,-0.0604684859317362,0,0,0.0236451252815244,0,0,-0.0194632714944389,0,0,0,0,0,0,0.209164209209855,0,0,0,0,0,0,0,0,0,0,-0.0384899843139488,0,0,0,0,0,0
X000858.SZ,0.0512332583647103,0,0,0.0388649611617546,0,0.0171432957515754,0.282157956055662,0.0202110520961714,0.164937594009217,0,0,0,0,0,0,0,0,0,0,0.0312142203511675,0,0,0,0,0,0,0,0,0,0,0.0419020059049639,0,0,0.126242791518543,0,0.199852788149651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222905992967204,0,-1.73472347597681e-18,-0.0242562522915752,0,0,0,0.0136850168082734,0,0
X002415.SZ,0,0,0,0,0,0,0.103570549152851,0,0.038131544843541,0,0,0,0,0,0.000628206528150629,0.0101666836057239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190507526580191,0,0.326867973919568,0,0.191930128013594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494758645028264,0,0,0,0,-0.00799405844236324,0,0
X600276.SH,0,0.115768434562479,0,0,0,0,0.236361045365031,0,0.022486110304754,0,0,-0.0634518294477825,0,0.0263766251152717,0,-0.040326088431361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409484851716104,0,0,0,0,0,-0.156333952080411,0,0,0,0,0,0,0,0,0,0,0,0.0177810064885877,0,0,0,0,0.0369403096239056,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0629415898339373,0,0,0.0148944218534699,0,0,0.014796803271812,0,0.0320213177013558,0,0,0,0,0.212481110361658,0.00580881640268564,0,0.0941028098690035,0,0,0,0.0966231925304167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128877615708696,0,0,0,-2.71050543121376e-20,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.260132959903464,0,0,0,0,0.113646466302786,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12918959362995,0.0393354547065894,0,0,0.033797780746168,0,0,0.379874295655663,0,0,0,0,0,-6.93889390390723e-18,0.0372049643769954,0,0,0,0.0667443340667438,0,0,0,0,0,-0.0620591752890254,0,0,0,-0.0242702834247178,0,0
X000568.SZ,0,0.681577231253316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418784764202219,0,0,0,0,0,0.284391908918032,0,0,0,0,0,0,0,0,0,0,0.183510644237063,0,0,0,0,0,0,0,0,0,-0.00496240311456554,0,0,0,-0.00551609100791099,0,0
X600690.SH,0,0.194988315088704,0,0,0.0625085852233929,0.0902400907928997,6.93889390390723e-18,0,0,0,0,0,0,0.0885710923429834,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269807622264934,0.2817356399655,0,0,0.107634233284327,0,0.102556785898243,0,0,6.93889390390723e-18,0,0.0191148413880862,0,0,0,0,0,0,0,0.0367914939691338,0,0,0,-0.0330830274137014,0,0,0,0,0,0,-0.0189466712737907,0,0
X002304.SZ,0.0514497721641262,0.0524005102807087,0,0,0.0530949154707351,0.230640271089437,0.277807327325103,0,0,0,0.111654862521819,0,0,0,0,0,-0.268633507421566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109582502240206,0,0,-0.0252500984444331,0,0,0,0,0,0,0.0806062473380671,0,0,0,-0.0267997602854018,0,0,0,0,-0.0133832037681709,0,0
X600031.SH,0,0,0,0,0,0,0,-0.0505623325042049,0,0,0,0,0,0,0,0.219537001391535,0,0,0,0,0,0.099834268100497,0,0,0,0,0.17425574438717,0,0,0.0147230523391213,0.419269546677394,0,0,0,0,0,0,0,0,0,0,0.249183553422521,0,0,0,0,0,0,0,0.148429101996229,0,-0.0294407857501087,0,0,0,0,0,0,0
