,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X003816.SZ,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X600031.SH,X000063.SZ,X300124.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X600372.SH,X002463.SZ,X600703.SH,X600584.SH,X000157.SZ,X000977.SZ,X002028.SZ,X600522.SH,X002236.SZ,X600741.SH,X600066.SH,X600183.SH,X002049.SZ,X600418.SH,X601877.SH,X000921.SZ,X600460.SH,X000800.SZ,X600487.SH,X000661.SZ,X002180.SZ,X002223.SZ,X002074.SZ,X601799.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.147052148156269,0,0,0,0,0,0,0.144918780778647,0.158459979382582,0,0,0,0,0,0,0,0,0,0.0377651260027278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159156740712237,0,0,0,0,0,-0.0990142712896161,0,-0.0257279940106096,-0.00965665597864719,0,0,0,0,-0.000332330504182607,-0.0955794496409173,0,0,0,0.00321836761457201,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.354620922369106,0,0,0,0,0,0,0,0,0,0.100637438539937,0,0,0,0,0,0,-0.0645434623018366,0,0,0,0,0,0,0,0.0582254268264914,0,0,0,-1.73472347597681e-18,0,0.0120810867313238,0,0,0,0.00506332385724339,0,0.0755948347274945,0.0539481801638788,0,0,0,-0.0282249948186571,0,0,0,0,0.0323185405222369,0,0
X600276.SH,0,0,0,0,0,0.0231966117119417,0,0,0,0,0,0.0670849981045361,0,0,0,0,0,0.206462899864795,0,0.121604005314045,0,0.0489213104087163,0,0.0118372307827001,0,0,0,0,0,-0.0742390284761031,-0.0766999977251456,0,0,0,0,0,0,0,0.129177312305629,0,0,0.00536569875526733,0,0,0,0,0,0,0,0,0,0,-0.0339579939350587,-0.124017070592856,0,0,0.0293764820651723,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0804309988150804,0,0,0,0,0,0,0,0.139598911253891,0.446116527617636,0,0,0,3.46944695195361e-18,0,-3.46944695195361e-18,0,0.0375490621022396,0,0,0,0,0,0,0,0.000558429523975361,0,0,-0.0279249790296491,0,0,0,0,0,0,0,0,0,0.0397119186460394,0.0692784587057639,0,0,0,-0.0426854897572459,0,0
X002415.SZ,0,0,0,-0.0745717937846004,0,0.175987540324475,0,0,0,0,0,0,0,0,0,0,0,0.0302842510858902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798577422174041,0,0,0.059551436693801,0.169213795180235,0,0,0,0,0,0,0,0,0.0541902975504234,0,0,0,0,0.0614099286146795,0,-0.0491688454644416,0,0,0.0158875567080982,0,0
X600690.SH,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0269296923550531,0,0,0.0821472626051475,0,0,0,0,0,0.217264121909094,0,0,-0.125739566654837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502172992615743,0,0,-0.00298678335817441,0.312578192790664,0,0,0,-0.149544420895334,0,0,0,0,0.0817762407919309,0,0,-0.0132637923626394,-0.118331230236478,0,0,-0.026763345160591,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.128610816468175,-0.00214929359509673,0,0,-0.11326325045863,0,0,0,-0.115056440118216,0,-0.0582801569537308,0,0,0,0,0,0,0,-0.117539033459935,0,0,0,-0.023520307147273,0,0.0896897143308298,0,-0.00378497167746383,0.0919007129519488,0,0,-0.0653319287813603,0,0,0,0,0,0,0,0,0,0,-0.205953672468237,0,0.0601790080791848,-0.133984438750425,0,0,0,-0.0186267197922805,0,0
X000651.SZ,0,0,0,0,0,0,-0.00916213412236996,0,0,0,0,0,0,0,0.0249717008957662,0,0,0,0,0,-0.0426512978564725,0,0,6.7762635780344e-21,0,0,0,0,-0.00870683084091298,0.172836936466028,-0.0650641990928438,0,0,0,0,0,0,0,0.0249905099050968,0,0.143549311938266,0,0,0,0,0,0,0,0,0.0759658476830019,0.00536640429377666,0,0,0.0580410099059093,0,0,-0.0300325876289372,0,0
X600809.SH,0.296884405218411,0,0,0,0,0.0558150003320495,0.114708352681202,0,0,0,0.0381138373017757,0,0,0,0,0,0,0,0.0598030435432628,0.353026349711206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0321730359780782,0,0,0,4.33680868994202e-19,0.207192894838948,0,0,0,0,0,0,0.132514568447706,0,0,-0.00406374179968204,0,0
X000568.SZ,0.406102109529615,0.161270010544554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239411834115559,0,0,0,-0.0959237292274377,0,0,0,0,0,0,0.0226648048442977,0,0,0,0,0.0229703813095535,-0.00726539844553209,0,0,0,0,-0.0234361290524269,0,-0.0161067634566412,0.0605145754635552,0,0,0,0,-0.0238584878754544,0,0,-0.0337512207930643,-0.0760012160587593,0,0,-0.00590624624203898,0,0
