,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X002475.SZ,X600703.SH,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X300003.SZ,X600271.SH,X601877.SH,X002236.SZ,X300124.SZ,X002008.SZ,X600487.SH,X600498.SH,X000100.SZ,X002456.SZ,X002007.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X600566.SH,X300146.SZ,X600867.SH,X000157.SZ,X600809.SH,X000596.SZ,X300142.SZ,X002180.SZ,X600177.SH,X300136.SZ,X002294.SZ,X600089.SH,X600066.SH,X600372.SH,X000977.SZ,X002506.SZ,X002241.SZ,X600522.SH,X000050.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.741928147180245,0.0381763712476032,0,0,0,0.0538518099117167,0,0,0,0,0,0,0,0,0,0,0,0.0497605211461385,0,0,0,0,0,0.0309179827768148,0,0,0,0,0,0,0.00535769427171442,0,-0.0117724298774879,0,0,0,0,0,0.0282505949894203,0,0,0,0,0,0,0,0.0456051259089964,-0.027100045865752,0,0,0,0,0,0
X600104.SH,0,0,0.00944076155036366,0,0,0,0,0,0,0,0,0,0,0,0,0.360235906577693,0.0975003890958301,0,0,0.120149819884952,0,0,0,0.123102360337375,0,0,0,0,0,0,0,0,0,0,0.206459210787608,0,0,0,0,0,0,0,0,0,0.0499838153912089,0,0,0,0,0,-0.200486140499406,0.00330167013593766,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568327314415131,0,0.164322359872512,0.0493694611884933,0.0870597183517226,0,0,0,0.0237893790314582,-0.0154013867724698,-0.145190481725771,0,0,0,0,0,0,0,0.0867035307193924,0,0,0,0,0,-0.0591831852267439,0.028985864982808,0,0,0,0,0,0.237508101586568,0,0.12700647610417,0,0,0,0.126715907681156,0,0
X000651.SZ,0.153821960632943,0,0,0,0,0.12125687905581,0,0,0,0,0,0,0,0,0.217090705752017,0,0.101882692144595,0,0,0,0.0510246311892383,0.0534352465962874,0,0,0,0,0,0,0,0,0,0,0.0111409905903173,0,0,0.0136613209594472,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00303006327201582,0,0,0,0,0,0
X600276.SH,0,0.0488907096491641,0.127410364731086,0,0,0,0,0,0.0306840280007798,0,0.00888767066875189,0,0,0,0.00307850347299295,0,0.403915777249763,0,0,0,0,0.00887819675119066,0,0,0,0,0,0,0,0,0.0634192971921518,0,0.0348760253053402,0,0,0,0,0.0425862589728178,0,0,0,0,0,0,0,0,0,0,0.0820474102849679,0,-0.0155829658009923,0,0.027735854907903,0,0,0,0,0,0
X000858.SZ,0.0762892189007934,0,0,0,0,0,0.156867004101029,0,0,0,0,0,0,0,0.107454903705512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316279921716209,0.156437770564121,0,0,0,0,0,0,0.0927524336097558,0,0,0,0,0,0,0,0,0.0235696430813166,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.401641745079205,0,0,0,0,0,0,0,0,0.441124503686498,0,0,0,0,0,0.0344234233417474,0,0,0,0,0,0,0,0.022310374026147,0,0,0.110323593711755,0.0647350137795766,0,0.125399076182749,0.0602926414881455,-0.00678695865659183,-0.149550133844854,0,0,0,0,-0.0284069357869428,0,0,0,0,-0.010842823014261,0,0,8.67361737988404e-19,-0.00541227300823304,0.039175582028316,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.117777105195225,0,0,0,0,0,0,0,0,0,0,0,0,0.117279452415483,0,0,0,0,0.0924774814567269,0.249830820773468,0.250484210780945,0,0,0.0373462707245705,0.0578550244314199,0,0,0.00671073671486549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00321871039387138,-0.0150740424127468,0,0,0,0,0,0
X000063.SZ,0,0.00902161970864174,0.0541316281893859,0,0,0,0.100302823696737,0,0,0,0.328045669671198,0,0,0,0,0,-0.0444773023140869,0,0,0,0,0,0.355315098154859,0.13995472902547,0.189451227793464,0.179362683306778,-0.109682886817437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177872253773978,0,0,0,0,0,0.000187120724326482,0,0,0,-0.0423771398663441,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.212118764849468,0,0,0,0,0,0,0,0,0.0763074108243014,0,0,0,0,0,0.270033001268167,0,0,-0.0322131024746247,0,0,0,0.0349306153370603,0,0,0,0,0.0263015065317977,0,0,0,0,0,0,-0.13970288871135,0,0,0.179992829425684,0,0.250520454748195,0,0,0,0,0,0,-0.026951434625781,-0.032881125288679,0,0,0,0,0,0
