,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000596.SZ,X000625.SZ,X300014.SZ,X002129.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X000100.SZ,X002049.SZ,X600372.SH,X002236.SZ,X000977.SZ,X000661.SZ,X600741.SH,X600584.SH,X002241.SZ,X601877.SH,X000157.SZ,X600522.SH,X600702.SH,X002074.SZ,X000733.SZ,X002180.SZ,X300142.SZ,X002463.SZ,X600460.SH,X002007.SZ,X000800.SZ,X601799.SH,X300003.SZ,X000066.SZ,X002028.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.254169718211502,0.175891192644886,0,0.0389107195185632,0,0,0,0,0,-0.02587835577876,0,0,0,0,0.0257552218672034,0,0,0,0,0.064052667054626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493045971271919,0,0,0,0,-0.0661498477503699,0,0,0,0,0,0,0,-0.0353586888580545,0,0.0612276357025312,0,0,0,0,0,0
X000858.SZ,0.0328213576041682,0,0.587002441476357,0,0,0.00979425644409609,0,0.0442355119876362,0.0887792274606435,0,0,0,0,0,0,0,0.0973626815860772,0,0,0,0,0,0,0,0,0,0,0,0,-0.010896378889496,0,0,-0.0240661035333463,0,0,0,0,0.0811491398311067,0,0,0,0,0,0,0,0,0,0,0,0,0.013857713279768,0,0.0181995736210264,0,0,0,0,0,0
X000568.SZ,0.292655203928131,0.115717669342868,0,0,0,0,0,0,0,0.0842502570541922,0,0,0,0,0,0.0968225428790069,0,0.093387210380521,0,0,0,0,0,-0.0357846747128832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305605201189814,0,0,0,0,0.0028618554249506,0,0,0,0,0,0,-0.102200867582376,0,-0.017276118105135,0,0,0,0,0,0,0
X002415.SZ,0,0,0.118791700334037,0,0,0,0,0,0,0,-0.0228012265712919,0,0,0,0,0,0.000461582183154438,0.138355573711047,-0.223689069139646,0.139543354958487,0,0,0,0.364533382719572,0,0,0,0,0.33968011912314,0,0,0,0,0,0,0,-0.0409371804960796,0,0,0,0,0,-0.0371850592832408,0,0,0,0,0,0,0,0,0.0206282282256313,-0.102658271615671,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.010551319272817,0,0,0,0,0,0,0,0.154303087886661,0,0,0,0,-0.212808453317447,0.0556274904874569,0,0,0,0,0.108318328536435,0,0,0,0,0,0,0.163615853661456,-0.0236571890263743,0,0.049503906149924,0,0,-0.193155635744104,0,0,0,0,0,0,0.176742138857046,0,0.000707365809187071,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.249659606265289,0,0,0,0,0,0,0,0,0,0.0372240989179075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809143353977622,0.108342419598777,0,0,-0.0364143650023355,0,0,0,-0.294691624731399,0,0,0,0,0,0.371809705789457,0.0135108013510311,0.118184592044346,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,-0.0899377734313233,0,0,0,0,0,0.135713239042079,0,0,0,-0.0536360488971555,0,0,0,0,0.241575099582751,0,0,0.0762864426062566,0,0,0,0,0,0.0151130421088248,-0.157787336303887,0,0.296897734724875,0.699159191155076,0,0,-0.172998323310032,0.0197103238252649,0,0,0.0795560699811515,0,0,0,0,0,0.138218916872449,0,0,0,0,0.0599672635550026,-0.109459219373385,0,0,0,0,0,0
X600690.SH,0,0,0,0.0508553215408305,0.253094711353273,0,0,0,0.31591906503191,0,-0.00693220351213818,0,0,0.0852328059347291,0,0,0,0,0.0033524624151531,0,0,0,0,0,0,0,0,0,0,0.0474948422478951,0,0,0,0,0,0,0.0203079161749102,0,0,0.0563726965169847,-0.0880814890482995,0.114004664722251,-0.0660766521671412,0,0,0,0,0,-0.0278135382504374,0,0,0.0253214362736836,0,0,0,0,0,0,0
X000651.SZ,0,0,0.152344938026012,0,0,0,0,0.341371974621463,0,0.157522760647264,0,0,0,0,0,0,0,0,0,0,0.11094866529007,-0.733356907721227,0,-0.0150143526687944,0,0,0,0,-0.0191559430179023,-0.0318551278814825,0,0,-0.0308079001501045,0,0,0,0,0.01018724024865,0,0,0,0,0.0283110368418819,0,0,0,0,0,0.0713090242471476,0,0,0.0123608670734813,0,0,0,0,0,0,0
X002304.SZ,0,0,0.339861891031543,0,0,0.0212849026399451,0,0,0.0679796905969371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273551346052873,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.00522153818199822,0,0,0,0,0.0245800267478845,0,0,0,0,0,0,0,0.0351249276317219,0.0128956126318861,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0483547953052762,0,0,0.0862098295296439,0,0,0,0,0,-0.114910106232481,0,0,0.142340303699706,0,0,0,0,0,0,0,0.173234967309731,0.18806362085595,0,0,0,0,0,0,0.135071476775181,0,0,0,0,0,0.0176395289665183,-0.14739779254449,0,-0.116544162652025,0,0,0.323662495674312,0.0550930271152563,0,0.00189241329078528,0,0,-0.115463874680822,0,0,0,0
X300124.SZ,0,0,0,0,0.262400829520136,0,0.163725593474368,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.100021343115824,0,0,0.0338389449560316,0,0,0,0,0,-0.276338929435483,0,0,0,-0.114635544048548,0,0,0,0,-0.121333499773293,0,0,0,0,0,0.289333225845374,0,0,0,0,0,0,0,0,0,0,0.0682742342807513,0,0,0,0,0,0,0
