,X600519.SH,X002415.SZ,X600104.SH,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X002475.SZ,X000568.SZ,X002236.SZ,X600741.SH,X000338.SZ,X600031.SH,X300003.SZ,X002008.SZ,X002456.SZ,X601877.SH,X300124.SZ,X000625.SZ,X600487.SH,X600066.SH,X000100.SZ,X600809.SH,X600867.SH,X002294.SZ,X002241.SZ,X600271.SH,X600522.SH,X600566.SH,X300136.SZ,X002508.SZ,X002179.SZ,X000981.SZ,X000157.SZ,X600089.SH,X300142.SZ,X000050.SZ,X002049.SZ,X600498.SH,X000977.SZ,X000661.SZ,X600707.SH,X600177.SH,X000596.SZ,X002007.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.453637739742167,0.115045125358876,0,0.0940599452719443,0,0,0,0,0,-0.0109868143958723,0,0,0,0,0,-0.0558513378874625,0.0859161053744635,0,0,0,0,0,0,0,0,0,0,0.0307366349741539,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411003196852033,0.0130018522473245,0,0,0,0,0,0
X002415.SZ,0.164838953605814,0,0,0,0,0,0,0,0,0.229370521654955,0,0,0,0.190321995334042,0,0.272583036540756,0,0,0,0,0,0,0,0.293505232084501,0,0,-0.0227686170946265,0,0,0,0,0,0,0.0773613388227333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186276580291833,0.0151297993641474,0,-0.0202220905344062,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.19877716700156,0,0.158997835007212,0,0,0.113979379351189,0,0,0,0,-0.121461304001377,0.0186169745044208,0,0,0,0,0,0,0,-0.14461272998451,0,0,0,0,0,0,0,0,0,0,0.0409775661488001,0,0,0,0,0,0,0,-0.149818211449431,0,0,0,0,-0.0136665110893207,0,0.261934957314744,0,0,0,0
X000651.SZ,0,0,0,0,0.307633741239248,0,0,0,0,0.180851469226182,0,0,0,0.00893616180289686,0,0,0.105824087453339,0,0.00796643692445829,0,-4.33680868994202e-19,0.0294011597541218,0,0,0,0,0,0,0,0,0,0,0,0,0.101190241516412,0,0,0,0,0.154188094413771,0,-0.0252964375487996,0,0,0,-0.0594684303841982,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.169439518856418,0,0,0.209139481986962,0,0,0,0,0,0,0,0,0.573229001703323,0.0370767076041977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467232323938615,0,0,0,0,0,0,0,0,0,0,-0.0127561439021697,0,0,0,0,0,0,0
X600276.SH,0,0.135972208983376,0,0.0707440899873737,0.11728761316077,0,0.230641910403457,0,0,0,0.155438539459715,-0.0908939638126689,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0520089982596392,0,0,0.0381852817853219,0.0778055714771819,0,-0.00266395701081472,-0.0313324163174649,0,0,0,0.0489013663315387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.200553108439045,0,0,0,0,0,0,0.0514985267283878,0,0.0843145024142809,0,0,0,0,0,0,0,0.280642123771549,0,0.025541601481166,0,0,0.0547516979816798,0,0.115005282422572,0.0438291333516438,0,0,0,0,0.282094172903819,0,0,0,0,0,0.0352039171626346,0,0,0,0,0.0071346705914214,0,-0.0253017769594964,0.0274759991729726,0,0,0,0,0,0
X002304.SZ,0.167075911312333,0,0,0,0.177316459247749,0,0,0,0,0,0,0,0.313057859547757,0,0.117895084322085,0,0.114462770647147,0,0,0,0,0,0,-0.0430020950397842,0,0,0,0,-0.095187275470021,0,-0.00455455292702955,0,0,0,0.299759586614822,0,0,0,0,0,0,0.137324664531947,0,-0.124264997833327,0,0,0,0,0,0,0,0,-0.00623775730083173,-0.0343537360095808,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.37946927571256,0,0,0,0,0,0,-0.0191474100482801,0,0,0,-0.0373521415941416,0,0,0,0,0,0.276374445064429,0,0.272710021200977,-0.161993808821081,-0.103015155277372,0.107949679107755,0,0.154570588213896,0,0.24531449256314,-0.0603703858410641,0,0,0,0,0,0,0,0,0.147026088098756,0.0958993223787469,0,0,0,0.126936845780641,0,0,0,0,0.00498159139436867,0,0,0,0,0,0
X600690.SH,0,0,0,0.190339275310153,0.406211814162755,0,0,0.151840062792441,0,0,0,0,0,0,0.0139407583586616,0,-0.032916703788739,0,0,0,0,0,0,0,0,-0.0356754822202497,0,0,0,0,0,0,0,0,0.0495702242149787,-0.0710578127816066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907071217482123,0,0,-8.67361737988404e-19,0,0,0,0,0,0
