,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X000338.SZ,X002236.SZ,X000625.SZ,X002008.SZ,X600487.SH,X601877.SH,X002456.SZ,X002241.SZ,X000100.SZ,X600066.SH,X600809.SH,X300136.SZ,X002508.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600522.SH,X600867.SH,X600271.SH,X600089.SH,X000157.SZ,X000981.SZ,X002085.SZ,X000596.SZ,X600177.SH,X600699.SH,X600498.SH,X600566.SH,X300142.SZ,X000661.SZ,X002179.SZ,X600118.SH,X002129.SZ,X000050.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.0739987150929345,0,0.566110771636175,0,0.227603646003658,0,0.108346169598112,0,0,0,0,0,0,0,0,-0.125179665741446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079706423077013,0,0,-0.0254621860115448,0.0348423999898338,0,0,0,0,0,0
X600104.SH,0,0,-0.0580334786121912,0,0.240590717935713,0,0,0.0296434197167537,0,0,0,0,0.216814608038079,0.0852730993971092,0,0,0,0,0,0,0,0,0,0.0638068438043183,0,0.00874921700871478,0,0,0,0.0176580284653887,0,0,0.183139090437741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272849653828862,0.0311131337630312,0,0,0,0,0,0
X002415.SZ,0,0.054305006307593,0,0,0,0,0,0,0,0,0.0884941911829687,0,0.00591794007170576,0.00694433158011857,0.0764943626494142,0,0.0461090007824845,0,0.249329278143846,0.265792966407695,0.0925166081523085,0,0,0,0,0,0,0,0.0288279436716143,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0775836926838611,0,0,0,0,0.0105454253107556,0,-0.0010368942062464,-0.013258592658822,0,0,0,0,0,0
X000858.SZ,0.0370994923673724,0,0,0,0.00786986236328526,0,0,0.120743688844978,0,0,0,0.28524874824665,0,0,-0.00246178232042243,0,0,0,0,0,0,0,0,0,0,0.292640775047498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00361297768492242,0.12777418133388,0,0,0.00345292068635183,0,0,0,0,0,0,0
X000651.SZ,0,0.0934320637640937,0,0.223068711126367,0,0,0,0.078595184270036,0.0157832657372499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641600463183529,0.137653173037645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337521304699374,0.0264045133458385,0,0,0,0,0,0
X600276.SH,0.0457708329176206,0,0,0,0,0,0,0.03230095813693,0,0.0884167909025101,0.304083858337618,0,0,0,0,0,0,0,0,0,0,-0.0535320933447209,0,0,0,0,0,0,0.138437604331683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064237996534965,0,0,0,0,0,-0.119818458040331,0,-0.0204513582709301,0.0554137615900669,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.505052743852035,0.256404206089738,0,-0.30417275926809,0,0,0,0.119788600897395,0,0,0,0,0.0281058228514415,0,-0.0626594072625578,0,0,0.196260172944444,0.0915699652787629,0,0.157354277168426,0.0437894661575904,0,0.0724994344401295,0.0362202871625264,0,0,0,0,0,0.147049588489312,0,0,0,0,0,0,-0.0891984160396843,0,0,0.14289110488575,-0.021466421297851,0,-0.0405939475099424,0.0919928684907951,0,0,0,0,0,0
X002304.SZ,0.24534110385482,0,0,0.225347343438178,0,0,0,0,0,0,0,0.146606895008999,0.059611736328637,0,0,0,0,0,0,0,0,0,-0.0308862966158604,0,0,0,0,0.0651910071864212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083062475128005,0,0,0,0,0,0,-0.0108354085543068,0.0178425940499334,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.066074033508707,0,0,0.361729088757612,0,0,0,0,0,0,0,0,0,0.237267722693372,0,0,0,0,-0.0398066809043996,0.105433305081738,-0.0686138193303584,0,0,0,0,0,0,-0.0482800710670158,0.179506651895191,0,0.1439034665569,0,0,0,0,0,0,0.0774306801048767,0.309875322919992,0,0,0,0,0,0,0,0.199912857565335,0,-0.0187804469500769,0.0190394506773476,0,0,0,0,0,0
X600690.SH,0,0.237904547483388,-1.38777878078145e-17,-1.73472347597681e-18,0,0,0,0,0,0,0,0.222864887449598,0.155215787277357,0,-0.0398212513076224,0,0,0,0.092621862860193,0,0,0,0,0,0,0,0,0.123369164898665,0,0,0,0,0.0313237787318891,0,0,0,0,0,0.127569178199836,0,0,0,0,0,0,0.0866570163056434,0,0,0,-0.0729706553503721,0,-0.00291276335128409,0,0,0,0,0,0,0
