,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X000100.SZ,X600703.SH,X601877.SH,X000559.SZ,X600118.SH,X000581.SZ,X000623.SZ,X000550.SZ,X002236.SZ,X000568.SZ,X600066.SH,X600271.SH,X000050.SZ,X002475.SZ,X600839.SH,X600177.SH,X300124.SZ,X002294.SZ,X000869.SZ,X002129.SZ,X000800.SZ,X002456.SZ,X000400.SZ,X002465.SZ,X002292.SZ,X002007.SZ,X600435.SH,X600252.SH,X600809.SH,X300003.SZ,X002038.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.26820586746489,0,0,0.199067538892956,0,0,0,0,0,0,0.590703312741521,0,0,0,0,0.0112743627551449,0,0,0,0,0,0,0,0.0329661672559835,-0.156821186068208,0,0,0.0158027374709589,0,-0.0762032123439703,0,0.0961051237659846,0,0,0,0,0,0,0.100940559128241,0,0,0,0,0,0,0,0.00595791609600309,0.0324894557106114,0,0,0,-0.0763331688364491,0,0
X600519.SH,0,0,0,0.107257759624246,0,0,0.1309984443491,0.301969726466066,-2.16840434497101e-19,0,0.147768772879648,0,0.000139271900111497,0,0,0.161063230678908,0,0,0,0,0,0,0,0,0,0.125393421189328,0,0,0,0.0191390716134244,0,0,-0.0108485896424275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019581022198048,-0.0527918543369222,-0.0458401753433391,0,0,0,0,0
X000651.SZ,0.146994390031067,0,0,0.189019697361055,0,0,0,0,0,0,0.129792964933839,0,0,0.154636333411058,0,0,0.374564400446104,0,0,0,0.103481215277722,0,0,0,0.0594657528479214,0,0,0,0,0,0,0,0,0.0191581786724395,0,0,0,0,0,0,0,0,0,0.0150667278051267,0,0,0,0,0.123953599167115,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0233672208975685,0,0,0,0,0,0,-0.0425236688549132,0,0,0,0,0,0,0,0,0.481696782060917,0,0,0,0,0,0,0,0,0.0305480254586974,0,0.230987919064246,-0.0855615417990527,0,0,0.326588511837931,0,0,0,0,0,0,0,0.025673938621654,0,0,0,0,0,0,0,0,0,-0.0138303497441885,-0.00480819335147294,0,0,0,-0.0684370232250057,0,0
X002415.SZ,0.0325029868617966,0,0,0,0,0.0690352675169937,0,0,0,0,0,-0.16856752319449,0,0,0,0,0,0.112433139859801,0,0,0,0,0.0582548642838352,0,0,0,0.232454106033642,0,0,0,0,0,0,0,0,0,0.174876736766705,3.46944695195361e-18,0,0,0,0.0852814194774887,0,0,0,0,0,0,0,0,0,-0.0432247570674581,0,0,0,0,0,0,0
X000625.SZ,0.32710552113867,0,0.0617662924337709,0,0.0447433653188874,0,0,0,0.141141586726321,0.0453702527296357,0,0,0,0,0,0,0,0,0,0,0,0,0.0953936602258006,0,0.0376163439283799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053699595502716,0,0,0.00400638454891115,0,0.0591868500206375,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X000858.SZ,0,0.209434809886847,0,0,0.0561377431151117,0,0,0.021371150429256,0.0580328032491647,0,0,0,0,0.0337117778830162,0,0,0,0,0.0108927764458135,0,0,0,0,0,0,0,0,0.0941644047228182,0,0,0,0,0,0,0.0919637470626964,0,0.0834404115809694,0,0,0,0,0,0,0,0,0,0.204154556095754,-0.0311341500324099,0,0.022751612552258,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.00336152196386168,0,0,0,0,0,0,0.0291236417081638,0,0,0,0,0,0,0,0,0,0.327070179216445,0,0,0,0,0,-0.103142583271372,0,-0.0157473781296494,0,0,0,-0.0463693948578216,0,0,0,-0.0819856938079111,0,0,0,0,0,0,0,0,0,0,0,0.449996194324221,0,0.236191958516499,0,0,0.00576055891482008,0.0255529756995682,0,0,0,0,0,0
X600031.SH,0.118653206136826,0,0,0.0548354840632178,0,0,0,0,0,0,0.0809254012158116,0,-8.67361737988404e-19,0,0.488491033754058,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.163491957690167,0,0,0,0.0548616363678249,0,0,0,0,0,0,0,0,-0.0368164599130479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00109587150248068,0,0,0,-0.0250977213069609,0,0
X000063.SZ,0.221831042875679,0,0,0,0,0,0,0,0.0517413022639583,0,0,0,0,0,0,0,0,0,0,0.192747462087236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911548769346373,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0488557101038327,0,0,0,0.00446309187698665,0,0,0,-0.00164842838151075,0.00728420625716,0,0,0,0,0,0
X600690.SH,0.0847383211962587,0.23914956628249,0.037363096639854,0,0,0,0,0.154819620069421,0.133403606422128,0,0,0,0,0.00557048092559509,0,4.33680868994202e-19,0,0.0378516420656178,0.232684643786475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514628544096999,0,-0.0370647606217948,0,0,0,0,0,0,0,0,0,0,-0.0775687058973141,0.065367892391405,0,0,0,0,-0.0292620838097085,0.101107946319825,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0734429496752928,0,0,0,0,0,0,0,-0.0400961798900951,0,0,0,0,0.0105391255292489,0,0,0,-0.0855158005608391,0,0.0687545747779151,0,0,0,0,0,0,0,0,0,0.00954323232664569,0.0444790752197171,0,0,0,0,0,0.204359097885627,0,0,0,0,0,0,0,0.0126244618700483,0.0216372014766981,0,0,0,-0.0917849449821468,0,0
