,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X600031.SH,X000338.SZ,X002475.SZ,X601877.SH,X300003.SZ,X002008.SZ,X300124.SZ,X000625.SZ,X600066.SH,X600809.SH,X002456.SZ,X000100.SZ,X600487.SH,X600271.SH,X600867.SH,X002294.SZ,X600566.SH,X000981.SZ,X002241.SZ,X002049.SZ,X002180.SZ,X002508.SZ,X000157.SZ,X600522.SH,X002179.SZ,X600584.SH,X000050.SZ,X600177.SH,X300142.SZ,X000661.SZ,X002129.SZ,X600089.SH,X300136.SZ,X000596.SZ,X600498.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0538869751809881,0,0.494743630365555,0,0,0.0393872825038481,0,0.050080795947013,0.00406172958899842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330655781177137,0,0,0,0,0,0,0,-0.0221636235896536,0,0,0.0419058709436141,0,0,0,0,0,0,0,0,-0.022766024353274,0,0,0,0,0.0253550519188089,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0277059361719795,0,0,0,0.283969310930489,0,0,0,0,0,0,0,0,0,0,0,-0.105051324816021,0,0,0,0,0,0,0,0,-0.0710669105164843,0,0,0,0.0192848168517221,0,0.0889699365010481,0,0,0.0637028617389562,0,-0.0378123518042911,0,0,-0.143282684930418,0,0,0,-0.0227182211686526,0,0,0.280294235774647,0,0,0,0
X002415.SZ,0.16410080952155,0,0,0,0,0,0.0326675792067269,0,0,0.0795049284652956,0.0467978777249276,0,0,0.235415910586858,0,0,0,0,0,0.124132700829889,0,0,0,0,3.46944695195361e-18,0,0.258902575532973,-0.0276001531991746,0,0,0,0,0.0821097323589003,0,0,0,0,0,0,-0.00690822119625121,0,0,0,0,0,0,0.131214001054114,0,0,0,0,-0.00832713036968652,0.0226832045743484,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.115922794310689,0,0,0,0,0.476612397991232,0,0,0,0.0395380646312286,0.113094568915769,0,0,0,0,0.0414859359185608,0.0555383633419777,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258859713838581,0.0967088977558105,0,0,0,-0.0706156193932913,0,0,0.0848695106124468,0,0,0,-0.089155559839659,0,0,0,0,-0.00367235384812654,0.00700952078105946,0,0,0,0,0,0
X000858.SZ,0.282057979368552,0,0,0.226263415857865,0,0,0.0272867905544468,0,0,0.0687007596046525,0.0320137909308009,0.398812239195038,0,0.0617674358571697,0,0.04205391419042,-0.0218641160612141,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295452449356045,0,-0.0289708608377158,0,0,0.0176973573570693,0,0,0,0,-0.0586775618207275,0,0,0,0,0,0,-0.0567932556589592,0,-0.0133021226719712,0,0,0.0129235092609223,0,0,0,0,0,0,0
X600276.SH,0,0,0.0866375259406046,0.065911033132442,0.174375238607087,0,0,0,0,0,0,0,0.0590746948938998,0,0,-0.240452935264975,0,0,0.305845167098057,0,0,0,0,0.0997633623069477,0,0,0.0742528425526695,0,0,0,0.116153555889489,0.0378703609503185,0,4.33680868994202e-19,0,0.0285434361209092,0,0,0,0,0,0,0,0.144019538523499,0,0,0,0,0,0,0,-0.0409513783237811,0.0559479157676973,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0501243270770601,0,0,0,0,0,0.396055714404601,0.190079129619999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0754089304163843,0,0,0,0,0,0,0,0.307663497027272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147573591413177,-0.0379173446075877,0,0,0,0,0,0
X000725.SZ,0.0759718285063973,0,0,0,0,0,0,0,0.325155928804762,0,0,0,0,0,0,0.15717067340492,0,0,0,0,0,0,0,0,0,0.0198135721822602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064899585006988,0.382818679232694,0,0,0.173374818741155,0,0,-0.0282695903111216,0.0491300489895465,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.513578773533161,0,0,0,0,0,0,0,0,0,-0.0141081338028062,-0.0287311229582353,0,0,0,0,0,0,0.156057303812379,0.300193520368909,0.169123336859862,-0.0296885295760534,0,0.135184468150254,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208785502693834,0.111814141127297,0,-0.047678020561931,0.248429489535984,0,0,0,0.0322486299733235,4.33680868994202e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0.291399774115259,0.0723990120020369,0,0.143458956115336,0.100594259959014,0,0,-0.0178110045474591,0.112539479050673,0.0876922991374693,0.0187814934878966,0,0,0,0,0,0,0.00512296765566767,0,0.0709478062761492,0,0,0,0,0,0,0,0,0,0,0,0,0.0254412534160103,0,0,-0.177324526260306,0,0,0,0,0.019457257266764,0,0,0,0,0,0,0,0.0276725352684301,0,0,0,0,0,0,0
