,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600276.SH,X600031.SH,X000100.SZ,X600118.SH,X600703.SH,X600372.SH,X000157.SZ,X600271.SH,X000338.SZ,X600741.SH,X000559.SZ,X002241.SZ,X002129.SZ,X002292.SZ,X600839.SH,X600089.SH,X000568.SZ,X600066.SH,X601877.SH,X002475.SZ,X600177.SH,X002223.SZ,X000800.SZ,X300124.SZ,X002236.SZ,X600582.SH,X000016.SZ,X000727.SZ,X002276.SZ,X002456.SZ,X000550.SZ,X600435.SH,X300003.SZ,X002465.SZ,X600060.SH,X600198.SH,X000581.SZ,X600166.SH,X002049.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0235108913274194,0,0,0,0,0.21208478728372,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0292377781831663,0,0,0,0,0,0,0.0441887393994446,0,0.10564437932094,0,0,0,0.0407054421654243,0,0,0,0,0,0,0,0,0.0304135152162184,0,0,0,0,0.0484826301264626,0,0,0,0,0,0,0.0107441309143622,0.0174071356265113,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0290088018648784,0.0193972230086264,0.00338635590910262,0,0,0.102089346494311,0,0,0,0,0.0205924850620639,0.0369784619326164,0,0.00181165021879909,0,0,0,0,0,0,0.0747451662784884,0.108556633422,0.060538800156483,0,0,0,0,0,0,0,0.0352205345560637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0052824248378289,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.000971655814172813,0,0.10069431825597,0.165782478653302,0,0,0,0,0,0,0,0,0.0314456604461496,0.0834683433816083,0.0164653447202033,0,0,0.221170999340651,0,0,0,0,0,0,0.211121360066508,0,0.132348909124453,0,0,0,0,0,0,0,0.0713620413728497,0,0,0,0.124975286462526,0,0.00544225263486953,0,0,0,0,0,0,0
X000651.SZ,0.00231293343171484,0,0,0,0.0469139024121505,0,0,0,0.135134331488596,0.0808363237331111,0,0,0.100587933710503,0,0,0.0865854514144664,0.00888532015512866,0.0424607949818796,0,0.0511471838308052,0,0,0,0,0.00294010069365386,0,0.116535431839432,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00698701795546021,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.0268806690662472,0,0,0,0,0,0.19312875208549,0,0.0242792914885449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559744940498676,0,0,0.26422463880853,4.33680868994202e-19,0,0,0.025875474516529,0,0,0.0560762145089683,0.103558875747471,0,0,0,0,0,0,0,0,-0.0188547586734746,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.172381588688662,0,0,0.00367768521273433,0,0,0,0,0.124849595777035,0,0,0.087139784887821,0.0266528753894427,0,0,0,0,0,0,0.139887737445847,0.120152135122314,0,0,0,0,0,0,0,0,0,0,0,0,0.00145402744542796,0,0,0,0,0,0,0,0,0,0,0,-0.00327433218402788,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059697885649156,0,0,0,0,0,0,0.107392369262422,0,0,0,0,0,0,0,0,0.0475593113295127,0,0,0.0261037304006023,0.0970955668192151,0,0,0,0,0,0,0,0,0.076690335376991,0,0.16217921806856,0,0,0.0366373934341561,0,0,-0.00406758045605106,-0.00507048320988795,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.0212303678892979,0.0950587415679464,0,0.143008239962254,0.114229760821364,6.93889390390723e-18,0,0,0,0,0.098483090854733,0,0,0,0,0,0,0,0,0,0.0430815524944505,0,0,0,0,0.153825883769229,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.00308820825629114,0.022936680001032,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.0587688255913033,0,0,0,0,0,0,0,0,0,0,0.072213165540113,0.11383364157206,0,0.0349615023041373,0,0,0,0.0223281552075762,0,0,0,0,0,0.0489759699192871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287061851459576,0,0.0697709539248957,0,0,0,0,-0.00610406390629814,0,0,0,0,0,0,0
X000063.SZ,0.051545496841186,0,0,0.0491149927168004,0.0420489540473227,0,0,0.0572241643230533,0,0,0,0,0,0,0,0,0.166397813389661,0,0,0,0,0,0,0,0,0.206412434308256,0,0,0,0,0,0.179174631036422,0,0,0,0,0,0,0,0,0.0733731724022303,0,0,0,0.123399163730868,0,0,0,0,0,0,-0.0124974287240498,0.00106807857829054,0,0,0,0,0,0
