,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X600031.SH,X000625.SZ,X000063.SZ,X600690.SH,X600276.SH,X000157.SZ,X000338.SZ,X600372.SH,X600089.SH,X600741.SH,X002241.SZ,X000100.SZ,X600118.SH,X600703.SH,X600066.SH,X000623.SZ,X601877.SH,X600271.SH,X000568.SZ,X000581.SZ,X000550.SZ,X002236.SZ,X000800.SZ,X600177.SH,X000869.SZ,X300124.SZ,X002475.SZ,X002294.SZ,X000559.SZ,X600839.SH,X002129.SZ,X000050.SZ,X000400.SZ,X600809.SH,X002465.SZ,X002456.SZ,X000977.SZ,X002007.SZ,X600252.SH,X002292.SZ,X300003.SZ,X600435.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.158199112941155,0.129653857264068,0,0,0,0,0,0,0,0.464671497650741,0,0,0,0,0,0.058326202335172,0,-0.171822885164889,0,0,0,0,0,0,0,0,0,0,0,0.0235199798594868,0,-0.0886902163254739,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567440486415742,-0.0144092686256002,0,0,0,0,0,0
X600519.SH,0,0,0.0706074200852795,0,0,0.199363160950728,0,0,0,0,0.39201766864146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535446442069551,0,0,0,0,0,0,0,-0.11001581740235,0,-0.124817924192308,0,0,0,0,0,-0.0221152662242107,-0.0226503464207595,0,0,0,0,0,0,-0.00892239847683825,0,0,0,0,0,0
X000725.SZ,0,0.166899926096245,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.048596914106969,0,0.453059464612292,0,0,0,0.111868475434367,0,0.161247779662203,0,0,0,0,0,0.181742123594128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401381335309888,0,0,0,0,0,0,-0.0624697764369446,-0.00209766058273479,-0.0152929639240287,0,0,0,0,0
X000651.SZ,0.0533683489821169,0,0.1327914375754,0,0.062924641413837,0,0,-0.0915821187310699,0,0,0.149646405141819,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.277790683544924,0,0,0,0,0,0,0.129385772748612,0,0.0260416934870844,0,0,0,0.0623691644430934,0.0370326434281889,0,0,0,0,0,0.0146453220247443,0,0,0,0,0,0,0,-0.0977020026720206,-0.0274109110980427,0,0,0,0.234853210557942,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0607591824549892,0,0,0,0,0,-0.0157275842268481,0,0,0,0,0.0295010342191307,0,0.11264863085401,-0.0374562094859748,0,0,0,0,0.00115003299292477,0.188450607710203,0,0,0.0668954683194496,0,0,0,0,0,0,0.201097774873115,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363298712705384,0.00225371751820112,-0.0323560441838801,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0381114337119956,0,0,0.0672134767642774,0,-0.00701738062728516,0,0,0,0,-8.67361737988404e-19,0,0,0,0.30509868411817,0,0,0,-0.0656077190670354,0,0,0,0,0,-0.294547198300617,0,0,0.0438740242386741,0,0,0,0,0,0,0,0,0.30565795244455,0,0,0,0,0,0,0.0243855902630702,0,0.281378794831439,0,-4.33680868994202e-19,0.00521623482296306,0.0198134620072533,0,0,0,0,0
X000858.SZ,0,0.0305565093045416,0,0.00285854155488165,0,0.0270099411681654,0,0,0,0,0.0700386593210972,0,0,0,0,0,0.169221784958527,0,0.0529061779564984,0,0,0,0,0,-0.0581060424754235,0.0880142688938821,0,0.0364896128700917,0,0,0,0,0,0,0,0,0,0,0,0,0.0251151820758019,0,0,0,0,0,0,0,-0.0293908430332326,0.0685386573296532,0,0,-0.00157424327372617,0,0,0,0,0,0
X600031.SH,0.0962650865352355,0,0,0,0,0,0,0,0,0.0919968112149468,0,0,0.927950633818283,0,0,0,0,0,0,0,0,0,0.000639586152635142,0.0474368674772352,0,0,0.0350908812809521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0673698461208136,0,0,0,0,0,0.055766009612979,0,-0.020957036723903,0.00931195761356226,0,0,0,0,0,0
X000625.SZ,0.348256371803962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122648510441313,0,0,0,0,0.0221139959219197,0.156962534859314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884518366351685,0,0.00219030728110459,0,0,0,0,-0.030257344502751,-0.00187131407618147,0,0,0,0,0,0
X000063.SZ,0.185072855981154,0,0,0,0,0,0,0.0192153685841318,0,0,0,0,0,0,0,0,0,0,0,0,0.184138747138586,0,0,0,0,0,0,0,0,0,0.119418509497655,0,0,0,0,0.0496641749919231,0,0,0,0,0,0,0,0,0.0345204885338135,0,0,0.0316330936787386,0,0,0,0,-0.00251485697150333,0,-0.0564918243503734,0,0,0,0
