,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X000625.SZ,X600031.SH,X002371.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X002049.SZ,X600089.SH,X002236.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X000661.SZ,X000977.SZ,X600584.SH,X600522.SH,X601877.SH,X601799.SH,X002463.SZ,X600702.SH,X002007.SZ,X000733.SZ,X000800.SZ,X002074.SZ,X300142.SZ,X002028.SZ,X002180.SZ,X600183.SH,X600487.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.272645394844519,0,0,0,0,0,0.0243622577340626,0,0.167042613697965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592893035272526,0,0,0,0,0,0.0321591814340227,0,0,0,0.00174746895113428,0,0,0,0,0,-0.0508381732251853,0.0522122526163427,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.188198788092462,0,-0.082490539167021,-0.0162989575730554,0,0,0.0634598922605233,0,0,0,0,0,0.170510283120596,0.110241840346914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0830380504088154,0,0.091671195835068,0,0,0,-0.143691499701465,0,0.123305510688451,0,0,0,0,0.145352526400016,0.0461980073580836,0.0295270763783631,0,0,0,0,-0.00441524587458131,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0222113319948062,0,-0.108796225657975,0,0,0,0,0,0,0,0.0768977218005163,0,0,0.117722377167894,0,0.109839297822187,0,0,0.0899890674669693,0,0,0,0,0,0.0728703805935054,0,0,0,0,0,0.0424442490107603,0,0,0,0,0,0.149577985801921,0,0,0,0,0,0.0352062164328961,0,0,0,0,0.0538464234004973,0,-0.00681433431454693,0,0,0,0,0,0
X000568.SZ,0.203112773918626,0.268542302598071,0,0,0,0.0513999936270333,0,0,0,0,0,0,0,0,0,0.309378189442502,0,0,0.129381395185589,0,0,0,0,0,0,0,0,-0.0102481813614082,0,0,0,0,0,-0.0352415983397732,0,0,0,0,0.0899985000743777,0.162913457061271,6.93889390390723e-18,0,0,0,0,0,0,-0.135007034167652,0,0,0,0.0258950285557395,0,0,-0.172273398720096,0,0,0,0
X600809.SH,0,0,0,0.418592395729571,0,0,0.0433812661792666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126836158825677,0,0,0.0152260657570313,0.0503578949128717,0,-0.0365227595349921,0,0,0,0,0,0.207456698225039,0,0,0,0,0,0,-0.119226292533848,0,0,0,0,0,0.000449680609764001,0,0,0,0,0,0
X600276.SH,0,0,-0.140905718607479,0,0,0,0,0,0,0,0.0331256413414934,0,0,0,0,0,-0.289569666124041,0,-0.239370693109055,0,0,0,0,0,0,0,0,-0.263209804723765,0,0,0,0,0.629446524220667,0.0236630803530828,0.166975152229628,0,0,0.127359386981084,0.0852995854894545,0,0,0,0,0,0,0,0,0,0,0,0,-0.0398737115465263,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.158580752095274,0.00971417597788368,0,0,0,0,0,0,0,0.168370321492762,0,0.21875093038123,0,0,0,0,0,0,0,-0.0129583105354379,0,0.11298656581953,0,0,0,-0.0696136568378333,0,0,0,0,0,0,0,0,0.228316970961491,0,0,0.0956050337522359,0,0,0,0,0.120319137615913,-0.141038700469006,-0.0395494089205373,0,0,-0.156261173387633,0.211513140916862,0.0717999173824316,0,0,0,0,0
X600690.SH,0,0.0181707917512287,0,0,0,0,0.0698586438183718,0,0,0.107728364527356,0,0,0,0,0,0,0,0.00362959921312798,0,-3.46944695195361e-18,0,0,0,0,0,0.0862133550613318,0,0.0121929822470428,0,0,0,0,0,0,0,0,0,0,0.0080913358874066,0.0745820518715604,0.00545071173351834,0,0,0,0,0,0,0.069361921393513,0,0,0,0,0.0133770351729518,0,0,0,0,0,0
X000651.SZ,0,0,-0.110363543808312,0,0,0.0286493437757476,0.250853489473218,0,0,0,0,0,0,0,0,0,0.168619286447533,0.0615741640133213,0,0,0.0487111757139622,0,0,0,0,0,1.73472347597681e-18,-0.0541335789611063,0,0,0,0,0.0214108346127619,-0.00540534345448062,0,0,0,0.00359818402969412,-0.0436185251068839,0,0,0,0,0,0,0,0,0,0,0,0,-0.00120684498656656,0,0,0,0,0,0,0
X002304.SZ,0,0.422448805476174,0,0.0520694727329806,0,0,0,0,0,0,0,0,0,0,0,0,0.0602571518989877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138320581660183,-0.0498045372552531,0,0,0,0.00582919354408629,0.121529911025959,0,0,0,0,0.0286437277274693,0,0,0,0.0196431585967691,0,-0.0201285224739484,0,0,-0.0957206824896032,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.0163005250092895,0,0,0.285064396717197,0,0,0,0,0,0,0.234898276558612,0,0.133015113519639,0,0,0,0,0,-0.165545928089705,0.0743131812604736,0,0,0,0,0.18165592590389,0,0,0,-0.0974738231144744,0.143955021417717,0,0,0,0,0,0,0,0,0,0,0,0.175411947465284,0,0,0,0,0.0604795442427927,-0.0752425102667174,0.0981763160330573,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.121164040864917,0,0,0.155748697957828,0,0,0,0,0,0,0.111416920753327,0.0578689429372889,0,0.0928627445028579,0,0,0,0,0,0,0,0,0,0,0.0292332558151344,0,0,0,0,-0.0631301936073722,0,0,0,0,0,0,0.129175799252287,0,0.0419930720897945,0.0216763417149769,0.0220478319588608,0,0,0,0,-0.00978159718946695,0,0,0,0,0,0,0
X003816.SZ,0,0.027957035716274,0.0471814946697887,0,0,0,0,0,0,0,0,0.0674809955414432,0,0,0.205471960961408,0,0,0,-0.149258564518701,0,-4.33680868994202e-19,0,0,0,-0.0303800524904673,-0.139406788248101,0,0,0.0599616073494239,0,0,0,0,0.048715629803685,-0.0228276091904752,0,0,0,0,0,0,0,0,0,0,0,-0.13611334183899,0,0,0,0,0,0.00265939038534985,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.748464599123535,-0.0642439700781201,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.467465444227965,0,0,0,0,0,0,0.221211090956703,0,0,0,0,0.0268041282056957,0.320694477150878,0,0,0,-0.560481144128113,0,0.363935650524397,0.0979548476953282,0,0,0,0,0,0,0,0.26581935235021,0,-0.0234745932197732,-0.0260316677222387,-0.029342604255656,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,-0.0339702341880241,0.22630207349514,0,0,0,0.172222995109741,0,0,0,0,0.102419386519925,0,0,0.0167322923419389,0,-0.0871048210629411,0,0,0,0,0.0244639678743273,0,0.0465460055449641,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0.0170580872058923,0,0,0,0,0,-0.0300912785098406,0,0,0.0714215191204388,0,0,0,0,-0.0486880615784939,0,0,0,0,0,0
X000596.SZ,0,0,0,0.314794848584656,0,0.00119287932049091,0.0726847063117504,0,0,0.00943545436417266,0,0,0,0.0069523747194063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347872154987239,0,0,0,0.00391088434106517,0.0010875142252164,0,0,0,0,0.147977357044755,0,0,0,0,0,0,0,-0.0233640838973636,0,0,0,0,0,0
X000625.SZ,0,0.224624023890085,0,0,0,0,0,0,0,0,0,0,-0.0669388145067543,0,0,-0.430870831827795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475422897063865,0,0,0.118721014012892,0,0,0.475247183247657,0.170562912076365,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321256220122278,0,-0.201956235739862,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.0594161379575186,0,0,0,0,0,0.0655355891183423,0,0,0,0,0,0,0.133366849368257,0,0,0,0.130962083772037,0,0.177639758707665,0,0,0,0,0,0,0,0,0,0.0775548035133425,0,0,0.0229279001896068,0,-0.0734200160025346,0,-0.0630767649122762,0,0,0,3.46944695195361e-18,0,-0.0287742194828165,0,0,0,0,0,0
X002371.SZ,0,0,0,0.213252786007703,0,0,0,0,0,0,0,0,0,0,0,0,0.216884283271441,-0.278180601497047,0,0,0,0,0,0.169348260978598,0.2971299169517,0.323874700734452,0,0,0,0,0.103412112187902,0,0,-0.0197577440760805,0.201179189249787,0,0,0,-0.00515640607260461,0,0,0,0.112484557481767,0,0,-0.0405460104060454,0.124525777646591,-0.165808761112564,0,0,0.0711283565127038,-0.00725598847538277,-0.0103128686416349,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0.00156096633455803,0.00862726036130243,0,0,0.0495842000740863,0,0,0,0,0,0.0416300550932597,0,0,0,0,0,0,0,0,0,0.0934513991221561,0,0.208410648797814,0,0,0,0.0202589915799496,-0.0223440681825535,0,0,0,0,0.116531903963052,0,-0.136367485827452,0.272371753857661,0,0,0,0,0,0,0,-0.00754581696538848,-0.010907570285058,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0.000484752354823565,0,0,0,0,0,0,0,0,-0.0949295585283412,0,0,0,0,0.0562791481410159,0,0,0,0,0,0,0,0.0327016440340902,0.366133271770988,0,0,0,0,0.179882034981845,0.166616249109321,0.0813246045420907,0,0,0,-0.0726234300477055,0,0,0,0,-0.120569034536394,0.426083050641477,0,0,0,0,0,0,0.0842084782291505,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0.146859815991624,0,0,0,0,0,0,0,0.0693146973979427,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.174035006689322,0,0,0,0,0.0504500400587538,0,0,0,0,0,0.1059169369614,0,0,0,0,0,0,-0.0286224815427971,1.38777878078145e-17,0,0,0,0.301176535496632,0.0642258004778432,0,0.021902667475798,0,0,0,0,0,-0.000211140794273901,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,-0.00563101945446376,0,0,0,0,-0.0343302063970324,0,0,0,0,0,-0.0726722425281612,0,0,-0.0986172977529668,-0.0286751624538552,0,0,0,0,0,0,0,0.216656423666401,0,0,0,-0.0486942891329116,-0.0429277706648951,0,0,0,-0.0891602174323836,-0.0183463891339381,0,0,0.312406804710733,0,0,0,0,0,-0.0734660821564654,0,0,0,-0.00349647070620227,-0.0198928794860204,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371112785736865,0,0,0.037139010577872,-0.0287659654331165,0.0302045875002897,0.080370278457058,0,0,0,0,0,0,0,0,0.0347543823601928,0,0,0,0.0920348309137623,0,0,0,0,0.118072768225085,0.00346449131366519,0,0,0,0,0.109814565507143,0,0,0,0,0,0.118863226768269,-0.0257120005532492,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,-0.273320489010011,0,0,0,0,0.323901733750061,0,0,-0.121322055402056,0,0,0,-0.00846663077539011,0,0,0,0.201981992221394,-0.0553862051147172,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.489514239250301,0,0,0,0,0.00744700601200512,0.168493873320468,-0.51337429863418,0,0,0,0,0,0,0,0,0.580780782282661,-1.73472347597681e-18,0,-0.0823501491731053,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0.126039827348446,0,0,-2.16840434497101e-19,0,0,0,0.0891361718899711,0.0469691339629858,0,0.200610211540829,0.0427445387287157,0.0587918697427121,0,0,0,0,0,1.73472347597681e-18,0,0,0.290787011123112,0,0,0,0,0,0,0,0.0576069135589445,0.0145275441448774,0,0,0,0,0,0,0.133990423123101,0,0,0,-0.0259973441134793,0.0651737657360635,0,0,0,0,0,0
X600089.SH,0,0,0,0,-0.025339402238479,-0.014045839519358,0,0,0,0,-0.0647594405269476,0,0,0,0,0,0.19476040462872,0,0,0,0.280446862683002,0,0,0,0,0,0,0.0939478612291613,0,0.0674843755690703,0,-0.0266681214293766,0,0.0338111056047809,0,-0.161161981482875,0,0,-0.0510784701523149,0,0,-0.0347274551726909,0,0,0,0,0.0623172018069014,0,0,0,0,0,-0.0524603382322903,0.0539067262272895,0,0,0,0,0
X002236.SZ,0,-0.15991212766886,0.608440263652434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.210223585278135,0,0.33757603229327,0,0,0,0,0,0.257967879629638,0,0,0,0,0,0,0,0,0,0,0.21243392103099,0.242222772229678,0,0,0,0,0,-0.112814237969307,0,0,0,-0.0544427606819014,0,0,0.040464446945328,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229246284766293,0,0.111851560737474,0,0,0,0.0135723680969386,0,0.0235633924799821,0.00388619287952104,0,0,0,0.0283397833855499,0,0.0209140976689328,0,0.118460033097236,0,0,0,0,0,0,0.00533152237122098,0,0,0,0,0,0,0,0,0.0131407860828316,0,0,0,0,0.0137354741955813,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0.0342802915587469,0,0,0,0,0,0,0.207032872907282,0,0.331920791261804,-0.0358390275166977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021263508641642,0,0,0,0,0,0,0
X600741.SH,0,0,0,0.00522086082335343,0,0.0551468009991171,0,0,0,0.0985462876815701,0,0,0,0,0,0,0.22229608167231,0,0.10608991010551,0,0,0,0,0,0,-0.0108847100944188,0,0,0,0,0,0,0.167890258782199,0,0,0,0,0,0.017330874784593,0,0,0,0,0,0,0,-0.0325991142332677,0,0,0,0,-0.0144268984706787,0.0278810911081306,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159060641951651,0.0269061751240644,0,0,0,0.201268540405306,0,0,0,-1.38777878078145e-17,0,0.0528661992227795,0,0,0,0,0,0.0716858521443721,0,0,0,0,0.00993406344311672,-0.0858417261417432,0.0637685560142277,0,0,0,0.208390758100824,0,0,0.214316663302573,0,0,0,-0.0155249209378775,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0.166082282774937,-0.112624512691998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213063917979262,-0.270368151585664,0,0,0,0,0,0,0,0,0,0,-0.0779993536813463,0.085212308933267,0,0,0,-1.38777878078145e-17,0.171722447921436,0,0,0,0,0.232800969147363,-0.0910621749158279,-0.0295336347856028,0,0.0482419563394698,0,0,-0.0285336408398485,0,0,0,0,0,0,0
X000977.SZ,0,0,0,0,-0.00230435028209627,0,0,0,0,0,0,0,0,0.422713152307947,0,0,-0.0844629105795197,0,0,0,0,0,0,0,0.0741446036455238,0,0,0,0,0,0,0,0,0,0.106528392866819,0.417726170890347,0,0.0504542606748766,0.377710486007799,0,0,-0.164311801831143,0,0,0,-0.160261020896145,0.661996051102725,0,0,0,0,0.0270394550842837,0,0.119544900764932,0,0,0,0,0
X600584.SH,0,0,0,0,0,0.0357458511432212,0.0415017553639111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202800036736092,1.73472347597681e-18,0,0,0,0,0,0.042564531384509,0,0,0,0.0747559287018301,0,0.0118795831035115,0,0.294312983700609,0,0,0.152123125678561,-0.00147717673070176,0,0,0,0,0.0924497356187374,0,0,0,0,0,0,0.0536478319951899,0,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136547844681467,0,0,0,0,0,0,0,0,0,0,0.10920276053,0,0,0,0,0,0.0175704157924267,0,0,0,0,0.0575325087707087,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712487548753838,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0.0456500643249746,0,0,-0.0992306675784021,0,0,0,0,0,0,-0.0537811460494486,0.332613767605906,0,-0.141235469178618,0,0.0789511880891262,0,0,0.0048344958324094,0,0.0404169388697523,0.0575672117441234,-0.0260809056927634,0,0,0,0,0,0.0131407740001761,0,0,0,0,0.118059611831101,0,0,0,0,0,0.0941618119159298,0,0,0.0395365266667654,0,0,0,0,0,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471818536433957,0,0.122607190377501,0,0,0,0,0,0,0,-0.0685070994005295,0,0,0,0,0,0,-0.215096227101889,0,0.365236062060033,0,0,0,-0.12097544559184,0,-0.471861451966104,0,0,-0.391940397638801,0,0.587282053839615,0,0,0,0,0.0319395030863711,-0.0472607288618518,-0.211575940996719,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0.00520763132672311,0,0,0,0,0,0,0.338051354782462,0,0,-0.00745353400550777,0,0,0,0,0,0,0,0.0626007840574282,0,0,0.287060566067467,0,0,0,0,0,0.196403965050294,0.305310534378676,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.212429408308597,0,0,0,8.67361737988404e-19,-0.0309285747244561,-1.73472347597681e-18,0,0,0,0,0,0
X600702.SH,0,0.157339709037898,0,0.110293121167872,0.553230555235578,0.160794628591611,0,0.0428380151320239,0,0,0,0,0,0.122736427400149,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0187650620409269,0,0.163107428722862,0,0,0,0,0,0,0.00918275795041526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,-0.0287847075275692,0,0,0,0,0,0,0.107123342119791,0,0,0,0,0,0,0,0.153131361456432,0,0.092016397849725,0,-0.116594176470203,0,0,0.0122589443725206,0,0,0.28556009642712,0,0,0,0,0,0,-0.0665330731850104,0,0,0,0,0,0.106787123018865,0.0317469964824559,0.00985089191509775,0.0836766641054965,-0.0808369298458228,0,0,0.0283652336463329,0,0,0,0,0,0,0
