,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X300014.SZ,X000651.SZ,X300124.SZ,X600104.SH,X000596.SZ,X600031.SH,X003816.SZ,X000725.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X601877.SH,X600741.SH,X002074.SZ,X600702.SH,X600522.SH,X000157.SZ,X600460.SH,X000799.SZ,X600779.SH,X600584.SH,X300003.SZ,X600884.SH,X300146.SZ,X601799.SH,X002007.SZ,X600487.SH,X000800.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.152284071919946,0.143167746227879,0.110351954035109,0,0,0.0727385646311006,0,0,0.10533385890758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103463579328857,0,0,0,0,0,0,-0.108434747515381,0,0,0,0.100333929662988,0,0,0,0.013589329979601,0.091927120387312,0,0,0,0,0,0,0,0,0,0,-0.0279690081584417,0,0,0,0,0,0,0
X000858.SZ,0,0,0.202104199278879,0.410974439087289,0,0,0,0,0,-0.0249928164055155,0,0,0,0,0.131716289899263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192908767163013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574261500665576,0,0,-0.00981610495490091,-0.0122427485509816,0,0,0,0,0,0
X600809.SH,0.284510765267303,0,0,0.367517182545755,0,0,0,0,0,0.0163727807548284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162106974017489,0,0,0,0.0490983991297544,0,0,0,0.0589529275707664,0.146531205882658,0,0,0,0,0,0,0,-0.032246951445814,0,0,0,0.00777232903051973,0,0,0,0,0,0
X000568.SZ,0.619126249016563,0.029952186088436,0.379138096969289,0,0,0,0,0,0,0,0,0,0,0.300584747467595,0,0,0,0,0,0,0,0,0,0,0,0,0.0235560529208443,0,0,0,-0.00901263177591603,0,0.0632911256306436,0,0,0,0.0469242675705777,0,0,0,0,-0.0177393278540137,0,0,0,0,0,0,0,0,0,-0.00558840420747973,0.0453847863569993,0,0,0,0,0,0
X002415.SZ,0,0,0,0.00500410708822189,0,0,0,0.143801077718802,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0750682390486691,0,0,0,0,0,0,0.125812483608725,0,0,0,0,0.0119533430523694,0.0708735980421544,0,0,0,0,0,0,0,0.148800720438949,0.0326449020192381,0,0,0,0,0,0.0637263764896536,0.141099350532553,0,0,0.0208607649827633,0,-0.00966582424508797,-0.0284461703129601,0,0,0,0,0,0
X002304.SZ,0,0,0,0.498772105603293,0,0,0,0,0.189074590015064,0,0,0,0,0.0103483367333421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0298038265561541,-0.0195791713477529,0,0,0,0,0.00379507326691601,-0.0869317823265245,0,0,0,0,0,0,0,0.0945215887555409,0,0,0,0,0,0,-0.00701915128134688,-0.00138314292365327,0,0,0,0,0,0
X600690.SH,0,0,0,0.273996964789535,0,0,0,0,0,-0.026330038533839,0.620584309215015,0,0,0,0.0842579322642496,0,0,0.0221867714392041,0,0,0,0,0,0.0482763087036654,0,0,-0.0459804697713142,0,0,0,0,0,0,0,0,-0.126040600800527,0,0,0,0,0,0,0,0,0,0.0590899300313078,0,0,0,0,0,-0.00676955630838377,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073154141289437,0,0,0,0,0,0.232377020654462,0,0,0,0.0728808269524545,-0.214053086132889,0.123204590228372,0,0,-0.147783710577632,0,0,0,0.170797017243526,0,0.0142158906603657,0,0,0,0.00417122600229077,0,0,0,0,0.0115083585707127,0.00447081293926503,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0889215476161379,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0936456897430349,0,0.202778290882482,0.0146607457545562,0,0,0.0164741021131913,0,0,0,0.0659395934639407,0.016807883783857,0.139158335948898,0,0,0,0.024724896223671,0,0,0,0,0,0.00463033362848246,0,0,0,0,0.0476219284872543,0,0,0,0,0,-0.0066741884972886,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0483605450727222,0,0,0,0,0,0.0867057980593603,0,0,0,-0.101984528966722,0,0,0,0,0.0212043863328771,0,0,0,0,0,0,0,0.0607482762812673,0,0,0,0,0,0,0,0,0.805128118921445,-0.0575245940537121,0,0,0,0,0,0,0.0108623087125085,0.0474891237135758,-0.280495655479338,0,0,0,0,0
