,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X300014.SZ,X000725.SZ,X002241.SZ,X600031.SH,X300124.SZ,X600703.SH,X002371.SZ,X003816.SZ,X000063.SZ,X000338.SZ,X002049.SZ,X002129.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X601877.SH,X600741.SH,X300142.SZ,X000100.SZ,X002074.SZ,X600089.SH,X600702.SH,X600460.SH,X002236.SZ,X000799.SZ,X600884.SH,X002180.SZ,X000157.SZ,X000733.SZ,X600779.SH,X601799.SH,X002414.SZ,X600522.SH,X002008.SZ,X600584.SH,X002007.SZ,X600183.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.559770652674819,0,0,0.041395808387815,0,-0.0568378544364143,0,0,0,0,0,-0.0496241985011261,0,0,0,0,0,0,0,0,0,0,0.113288395035058,0,0,0,0,0,0,0,0,0.0334934992068051,0,0,0,0,0,0,0,0,0,0,0,-0.0105684120118059,0,0,0,0,0,0,0,-0.00218699990609387,0,0,0,0,0,0
X000858.SZ,0.377911571008782,0,0.0238975237700822,0.252492954760309,0,0,0,0,0.219268334346432,0,0,0,0,0,0,-0.0547084010509819,0,0,0,0,0,0,0.0848953403606611,0,0,0.270193759821703,0,-0.00164165433881733,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573540753932306,0,0.0395785331010532,0,-0.0514090821157159,0,0,0,0,0,0,-0.00643413569060865,0.00834108908646022,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.258751565774508,0,0,0.278195299408178,0,0,0,0,0,0,0,0,0,0,0,0.0443691105317794,0,0,0,0,-0.030492102994501,0,0,0,0,0,0,-0.0224832363225485,-0.11556030079429,0,0.18163611976042,0,0,0,0,0,0,0,0.0795512435248427,-0.0543063371162482,0,0,0,0,0,0,0,0.0233448091549786,0,0,0,0,0,0
X600809.SH,0,0.410973280556222,0,0,0.0865998975644772,0,0,0,0,0,0,-0.0495643649407468,0,-0.161095389965582,0,0,0,0,0,0,-0.311084327337819,0,0,0,0,0.0199541477559653,-0.220962212319682,0,0,0,0,0,0,0.115664169019825,0.102731221180495,0,0.224921054844831,0,0,0,0,0.0213373160278632,0,0.172514872939693,0,0,0,0,0,0,0,0,-0.00623600259174465,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0,0,0.128839463992358,0,0,0.0872752427140165,0,0,0,0,0,0,0,-0.0432231764161163,0,0.46252714078496,-0.00825027388719482,0.0616605023989379,0,0,0,0,0,-0.0167698485384165,0,0,0,0,0,0,0,0,-0.0126839511075106,0.180481230516233,0,-0.215503928547666,-0.0392503331140615,0,0,0,0,0,0,0.0216839440551654,0.0140635084276251,0,0,0,0,0,0
X002475.SZ,0,0.12883116977599,0.0616615864176091,0,0,0,0,0,0,0,0,-0.0344009962199577,0,0,0,0.123222794366231,0,0.0628187995792164,0,0,0,0,0,0,0,0,0,0,0.015757688689993,0,0,-0.133427712800816,0,0,0,0,0,-0.112825072437258,0,0,0,0,0,0,0.168431360639031,0,0,0.107216875506188,0,0,0,0.00608744870121778,0,0,0,0,0,0,0
X600276.SH,0,0,0.142824309676692,0,0,0.034967106257414,0,-4.33680868994202e-19,0,0,0,-0.0737209229135983,0,0,0,0,0,0,0,0,0,0,0.0241895372360413,0,0,0,-0.208316771141166,0.1153032058097,0,0,0,0,0,0,0,0,0,-0.0930931377871182,0,0,0,0,0,0,0.0329777506347782,-0.0607326482358069,0,0.223420083172765,0,0,0,-0.0164297193155389,0.0136778597002474,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.00301626595360875,0,0,0,0.0975046963825614,0,0.215845445192466,0,0,0,0.288848381053163,0,0,0,0,0,0,-0.0528753096342952,0.0309231965797872,0.0591762918646299,0,0,0,0,0,0,0.19078974138515,0,0,0,0,0,0,-0.00251242876657706,0,0,0,0,0,0,0,0,0,0,0.0282637013296053,0,0,-1.0842021724855e-19,-0.0117156167944776,0,0,0,0.00430133899010487,0,0
X002304.SZ,0,0.332020505573048,0.0757325446706215,0.208480717406413,0.050587828043084,0,0,0.18257927269263,0,0,0,-0.06614711534783,0,0,-0.188456251205535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241242145035587,0.03994425197988,0,0,-0.0600937102693594,0,0,0,0,0,0,0.00700266531393901,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.018083339945494,0.033302685922719,-6.93889390390723e-18,0,0,0,0,0,0,0,0.308291218224842,0.0200096408440233,0,-0.0796676277909949,0,0,0,-0.103189869157036,0,0,-8.67361737988404e-19,0,0,0,0,-0.0504826094782915,0,0,0,0,0.0790454605058791,0,0,0,0,0,0,0,0,-0.0915941982635076,0,0.0467936684434865,0,0,0,0,0,0,0.0275793030018671,0,0,0,-0.056298435457408,0,0
X000651.SZ,0,0,0,0,0.16391076303477,0,0,0.129837677395293,0,0,0,0,0,0.0636550370349897,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213368496497475,0,-0.097520438147055,0,0,-0.0703599270060981,0.0465434132263768,0,0.10648252798517,0,0,0,0.0262450317576314,-0.0343698997895128,0,0,0,0,0,0,0,0,0,0,-0.0288837769812315,0.0405244673975085,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919664565491317,0,0,0,-0.0550827922049626,0,0,0.0798169066866601,0.167441750336647,0,0.0595688433524008,0,0,0,0.20421910144477,0.0644784688506138,0,0.079024102005872,0,0,0.159499190717853,0,0,0,0,0.0809180892004481,0,0.00801025849908834,0,0,0,0,0,0.0132692430704361,0.039446891892757,-0.0234289741647051,0,0,0,0,0,0
