,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600690.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X000625.SZ,X002304.SZ,X600031.SH,X000596.SZ,X000063.SZ,X000100.SZ,X300014.SZ,X002179.SZ,X000157.SZ,X600089.SH,X600066.SH,X600703.SH,X002463.SZ,X600372.SH,X000977.SZ,X002241.SZ,X000921.SZ,X002236.SZ,X002028.SZ,X600741.SH,X600522.SH,X002049.SZ,X600183.SH,X000661.SZ,X600584.SH,X601877.SH,X002129.SZ,X000800.SZ,X002223.SZ,X002180.SZ,X600566.SH,X601799.SH,X600487.SH,X600177.SH,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.133952920467681,0,0,0.0151519234151518,0.17800255240681,-0.0249224168265517,0,-0.0209055639050574,0,0,0,0,-0.01728212216308,0.00259904891902036,0.107337661569227,0,0.0330916974455464,0,0,0,0,0,0,0.032949552874473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672178547527562,0,0,0,0,-0.034229721443449,0,0.0254554462403332,0,0,0,0,0,-0.00331317421286987,-2.82953571887866e-05,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.411856708225109,0,0,0,0,0,0,0,0,0,0.237680142107468,0,0.0627349538396541,0,0,0,0,-0.044093876515894,0,0,0,0.0502118105506835,0,0.00903450187226994,0,-0.0125822778795006,0,-0.0123379906768527,0,0,0,0,0,0.0266515298864356,0,0.0554500488120347,0,0,0,0,0,0,0,0,0,-0.013286000080688,-0.0132729355106558,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.31238111095536,0,0,0,0,0,0.0262133974892947,0.137693785538334,-0.0371201813147039,0,0,0,0.0448225515632721,0,0,0,0,-0.105270320707854,0,0.0665758057257535,0,-0.0358641949886024,0,0,0,0,0,0,0,0,0,-0.0495020806101722,0,0,0,0,0,0,0.11803239476589,0,0,0,0,0,0,-0.106297240904683,0.0302093124330571,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0728071525623626,0,0.0755884058980842,0,0,0,0,0,0,0,0.0986176227065401,0,0,0,0,0,0,0,-0.0213718213952124,0,0,0,0,0,0,0,0.149525081099262,0,0,0,0.0772086428336413,0,0,0.0372298974415047,0,0,0.111760571380593,0,0,0,0,0,0,0,0,-0.00510136670670286,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.115014470278972,0,0,0,0,0,0,0,0,0.0312683469518677,0,0,0,0,0.0253922750748882,0.0648343740695178,0,0,0,0,-0.0999482062221726,0,0,0,0.23193218301487,0,0,0,0.0448074427809343,0,0,0,0.0357506553609154,0,0,-0.0806234894296883,0,0,0,0,0,0,0,0,-0.00387962141677088,8.67361737988404e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.432766842051909,0.0981102923538322,0,0,0,0,-0.0696076029682737,0.0296191107631453,4.33680868994202e-19,0,0,0,0,0.130730206095944,0,0,0,0,0,0,0,0,0.00368649899640217,0.203487282967569,0.343996974962398,0,0,0,-0.173447988822114,0.0132342970502157,0,0,0,0,0,0,0
X000568.SZ,0,0.795132139957376,0.188342300628545,0,0,0,0,0,0,0,0,0,0,0,0,0.029888898669604,0,0,0,0,0.0849917021339662,0.144460225093507,0,0,0.0588143180705081,0,0,-0.138714060547717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449636346902924,0,0,0,0,0,-0.00882114284303862,0,0,0,0,0.0403867555631811,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.282848705588399,-0.11493511897685,0.0583273128752914,0,0,0,0,0,0.118697666231521,0,0,-0.0887791531709814,0,0,0,0,0.0976242726983676,0,0,0.0227008614651665,0.275504099058378,0,0,0,0,0,-0.048438424835555,0.0839174282344718,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.13155277916609,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.026951655867215,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577238724231064,0.298532114968962,-0.047191188096343,0,0,0,-0.0122605100119962,0,0,0.360669773205961,0,0,0,0,0,1.73472347597681e-18,0,0,0.0616121788111128,0,0,0,0,0,0,0.194666457935458,0,0,0,0,0,0.031390012699745,-0.30086724300745,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.075300527142839,-0.0639173314483655,0,-0.0352351060302811,0,0,0,0,0,0,0,-0.240034210600389,0,0,0.314564410219092,0,0.152094479419886,0,0.101405832453999,0,0,0,0,0,0,0,0.069967518655575,-0.0902689389576332,0,0,0.105622369062488,0,0,-0.105541124394225,0,0,-0.314063964818152,0,0,0,0.275254862848761,0,0,0,0,0.104878911122062,-0.0623350573282388,-0.0605173353319647,0,0,0,0,0,0
