,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600690.SH,X002475.SZ,X600276.SH,X002304.SZ,X000651.SZ,X600104.SH,X002371.SZ,X300014.SZ,X300124.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X000725.SZ,X600031.SH,X000063.SZ,X002241.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X600522.SH,X000733.SZ,X000661.SZ,X002180.SZ,X300142.SZ,X601877.SH,X002074.SZ,X600741.SH,X000100.SZ,X600460.SH,X600884.SH,X000157.SZ,X601799.SH,X600702.SH,X002236.SZ,X600487.SH,X600584.SH,X000799.SZ,X002414.SZ,X600563.SH,X300003.SZ,X600372.SH,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.168297409549981,0,0,8.67361737988404e-19,0,0.0348949156914309,0,0,0,0,0,0,0,0,-0.0318424404564251,0,0,0,0,0,0,0,0,0,0,0,0.0660796240899555,-0.0394021549843822,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0354723662405438,0,-0.0198280566512143,0,0.10279976748917,0,-1.73472347597681e-18,-0.0297893484741391,0,0,0,0,0.0153015939763022,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.096871376775602,0,0,0.0674516626251713,0,0,0,0,0.00379703750571389,0,0.01093415088276,0,0,0,0,0,0,0,0,-0.0349031978331374,0.0482407660790416,0,0,0,0,0.00988584590364573,0,0,0,0,0,0,0.3246018875434,0,0.0222492644369931,0,0,-0.0705591994840465,0,0,0,-0.0292289480555513,-0.0180738597031996,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.0585018133954792,0,0,0.0445646108012655,0,0,0,0,0,0,0,0,0,0.185083685591827,0,0,0,0,0,0,0,0,0,0,0,0,0.100709985081329,0,0,0,0.0474139193667746,0,0,0,0,0,-0.114785802876567,0,0,0.0539084733001418,0,0,0.0223764229887507,0,0,0.110577086996125,-0.0925642443202514,0.318274841451631,-0.0201814283441032,-0.00851812439431516,-0.163006224358976,0,0,0,0,0
X000568.SZ,0,0,0.172093952203846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427493794859272,0,0,0,0.0304717280157277,0,0,0,-3.46944695195361e-18,0.0344962229519563,0,0,0,0.0175682151727028,-0.0168492440304882,0,0,0,0,0,0,0,0,0,0.320955830478491,0,0,0,0.0620354791051369,0,0,0,0,0,0,-0.0313844946515461,0.00305633787533259,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0250756675663412,0,0,0,0,-0.136011954269991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106599033966194,0,0,0,0,0.208928257004262,0,-0.00767159664902133,-1.73472347597681e-18,0.533030861852276,0,0.144619576479571,0,0,-0.113903086446934,0,0,-0.100629127425004,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.154765263719082,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.00742081652240623,-0.0151144891097162,0,0,0,0.0250179801628384,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.292941908384991,0,0,0,-1.73472347597681e-18,0,-0.234232290969191,0,0,0,0,0,0,0.0241779691277581,0,0,0,-1.73472347597681e-18,0,-0.0260537704351603,0,0.205220478081334,0,-0.0677609999841671,0,0,-0.00786771518837667,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0158818860650767,0,0.374126850031179,0,0,0,0.0210349602297058,0,0,0,0,0.150133231772908,0,0,0,-0.0913908834343728,0,-0.12951358397352,0,0,0,0,0,0,0,0.198050040093455,0,0,0,0,0,0,0,0,0.0744218631023579,0,0,0,0,0,-0.113822074572056,0.0084701175126873,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,-0.126592285227013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.00458723273283149,0,0.0214430586556342,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0851915408385783,-0.203867911875898,0,0,0,0,0,0,0.192013449318344,0,-0.245929330745399,0,0.0310105325248662,-0.0508704512013157,0,0,0,0,0,0
X002304.SZ,0,0.324396964910228,0,0,0,0,0.0354906294128759,0.0298181568635179,0,0,0,0,0,0.06718386682516,0,0,0,0.059602965854362,0,0,0,0,0,0,0,0,0,0,0,0,0.104477804320503,0,0,0.0125942799800218,0,0,0,0.00916649534339681,0,0,0.143487168384144,0,-0.0234738772431073,0,0,-0.134340521349971,0,0,0,0,0,0,0.0310186887403014,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0740286389175411,0,0,0,0.0558212428404368,0,0,0,0,0,0,0,0,0,0.0581405648851798,0,0,0.016152637976274,0,0.0473769698046381,0,0,0.00750653865022315,0.0799761961383509,0,0.130973445575144,0,0,0.0980008484665957,0,0,-0.0860217071629146,0,0,0,0,0,0.0315361103690659,0,0,0,0.0762994912300297,0,-0.0369059692203795,0,0,-0.0654218613940486,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0327124517328662,0,0,0,0.112101847971852,0,0,0,0.132799918403881,0.00738703946972501,0.0536038719662386,0,0,0,0.0246283579469312,0,0,0,0,0,0,0,0,0,0.121157854409557,0.0252366561353934,0.0676027250105721,0,0,0,0.293071287551488,0.0376774814969895,0,0,0,-0.0441024515044792,0.125587942334383,0,0,0.0324790087319915,0,0,-0.122724489828366,0,0,0.102956582350158,0.0568876158170232,0,0,0,0,0,-0.118910888656543,0,0
