,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000063.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600276.SH,X600031.SH,X600690.SH,X000100.SZ,X600271.SH,X002129.SZ,X600118.SH,X600372.SH,X000338.SZ,X000157.SZ,X600703.SH,X002241.SZ,X600089.SH,X600741.SH,X002236.SZ,X600177.SH,X600582.SH,X600066.SH,X002292.SZ,X300124.SZ,X600060.SH,X000977.SZ,X000559.SZ,X002475.SZ,X002456.SZ,X600435.SH,X601877.SH,X002465.SZ,X000800.SZ,X002294.SZ,X300003.SZ,X600839.SH,X000581.SZ,X002007.SZ,X600867.SH,X300146.SZ,X000623.SZ,X002491.SZ,X000568.SZ,X000869.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0479475773946184,0,0,0,0,0,0,0.0803720810650624,0,0,0,0,0,0.0498696812685225,0.11948844345387,0,0,0,0,0,-0.030704019910161,0,0,0,-0.0130666200808795,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0376367365656137,0,0,0,-3.46944695195361e-18,0,0.266912063445324,0,0,0,0.00801586648803209,0.019275646756763,0,0,0,0,0,0
X600104.SH,0,0,-3.46944695195361e-18,0.148469908987489,0.0770403484974817,0.0332021617509916,0,0,0,0,0,0,0,0.0196546522675504,-0.0121001508806781,0,0.0753503723731058,0,0,0.02632643175598,0,0,0,0.045527766295923,0,0,0.0532609397900404,0.0123329710468081,0,0,0,0,-2.16840434497101e-19,-0.00738519075644956,-0.00181803324771006,0,0,0,0,0,0,0,0,0,0,0.0735925348326567,0,0.132813524398212,0,0,0,-7.81636526831031e-05,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.148317100629416,0,0.0443487546952609,0.0534059858946831,0,0,0,0.0899011423297692,0,0,0,0,0,0,0.0101752891360463,0,0,0,0,0.147675083912018,0.116441578970727,-0.0647274736659902,0,0,0.0520442248823317,0,0,0,0,0,0,0,0.0731227205485275,0.0976546644387288,0,0,0,0,0,0,0,0,0.394131671987428,0,0,0,0,0,0.0199120768414213,0,0,0,0,0,0,0
X000651.SZ,0.0330676614366138,0.263417813035811,0.0489641981808561,0,0,0,0.0538718843792861,0,0,0,0,0.151536516803953,0,0,0,0,0.0719859612008584,0,0.0580722636481288,0,0,0.0319827236875425,0,0,0,0,0,0,0,0,0.0785789452240718,0,0,0,0,0,0,0,0,0,0.00467663896421063,0,0,0,0,0,0,0,0,0,0,0.00453982302762497,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110170799055071,0.00648164452330125,0,0,0,0,0.124483441501549,0,0,0,0.0956994438607007,0,0.0148975200986294,0,0,0,0,0.039107962487125,0,0,0,0,0,0,0.204952141761422,0.0569360454314048,0,0.129234238659141,0,0.0857636608833144,0.109417220833385,0,0,0.0100445494994751,0.19581975815098,0,-0.0208174931656016,-0.0066930306825678,0,0,0,0,0,0
X000063.SZ,0.0471503675014322,0,0.0170503388211876,0.0458726343955204,0,0,0.0532669844945307,0,0,0,0,0,0.114067977707706,0,0,0,0,0,0,0,0,0.117601970032193,0,0.0244550054965342,0,0,0,0,0,0,0,0.0877539300261256,0,0,0,0,0,0,0,0,0.0747587359290332,0,0,0.00539192754216699,0,0,0,0.147825004570529,0,0.226811094052884,0,-0.00769585477277614,0,0,0,0,0,0,0
X000625.SZ,0,0,0.220412835173716,0.150636714268397,0,0,0,0,0,0,0,0,0,0,0,-0.148975263826458,0,0.00304116708961458,0.0236903674088534,0,0,0.0887762442961765,0.0741540511221541,0,-0.0119756745695605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518549765023579,-0.100390249125138,-0.0799409687850503,0,0,0,-0.118845816879516,0,0,0,0,0,0.0098560196832302,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.01166224567788,0,0,0.588020051816414,0,0.0320657354631539,0,0.0277450765487247,0,0,-0.0271283144432783,0,0,0,0,0,0,0,0,0,0,0,-0.0258466390372013,0,-4.33680868994202e-19,0,0.107118179395524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221611807235639,0.162980614874957,0,0.00470527903599698,-0.0224783934427902,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.110122222275784,0,0.0891737190298889,0,0,0,0,0,0.0193898794807483,0,0,0,0.118644822134501,0,0,0,0,0,0,0.0511649873048334,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873024753002875,0.053436909302398,0,0.139849005426067,0.0509053473557812,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.028998137403663,0,8.67361737988404e-19,-0.00964403786402791,0,0,0,0,0.00763855095829008,0,0,0,0,0,0,0,0,0,0.0954413493057513,0,0,0,-0.0360587045540777,0,0,0,0,0,0.125693608598927,0,0,0,0,0,0,0,0,0.00722340647220379,0,0.00563767844333673,0.00971260547951936,0,0,0,0,0,0
