,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X002304.SZ,X000651.SZ,X600690.SH,X300124.SZ,X000063.SZ,X000725.SZ,X600104.SH,X002371.SZ,X002129.SZ,X003816.SZ,X600031.SH,X000596.SZ,X300014.SZ,X000625.SZ,X600703.SH,X000338.SZ,X002049.SZ,X002179.SZ,X600089.SH,X002241.SZ,X002236.SZ,X000100.SZ,X000661.SZ,X600584.SH,X000977.SZ,X002180.SZ,X600702.SH,X600522.SH,X601877.SH,X600460.SH,X300142.SZ,X000157.SZ,X600741.SH,X002074.SZ,X000733.SZ,X600183.SH,X002463.SZ,X300003.SZ,X002007.SZ,X000066.SZ,X002294.SZ,X002414.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.158131573860631,0,0,0.259640280938157,0,0,0,0,0,0,0,0,0,0.00494499891657069,0.0155500651446231,0,0,0.0219421325576063,0.0391840360547452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176458669520916,0,0,0,0,0,0,0.148393885712228,0,0,0,0,0,-0.0704175007319322,0.0108640198111302,0,0,0,0,0.0102820561655958,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0601702165492417,0.531030412043106,0.00146534263622994,0,0,0.0367784441583454,0,0,0,0,0,0,0,0,0.0921330099228195,0,0,0,0,0,-0.082965654498938,0.0395347521757209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305784140587016,0,0,0,0,0,0,-0.0276620771868899,-0.013728861553702,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0662163516283915,0,0,0,0,0,0,0,0.0128618547859883,0,0,0,0,0.067236647843459,0,-0.0429310197152181,0,2.16840434497101e-19,0.0624610073915845,0.249424301865654,0,0.296843301513371,0,0,-0.00844029660005876,0.0526997374977992,0.155486467630585,0,-0.21276343484801,0,0,0,0,0,0.0644387098459228,0,0,0,0,0,0,0,0,0,0.10429716821668,0,-0.0133196917637914,0,0,0,0,0,0
X000568.SZ,0,0.437096905170847,0.192715602672357,0,0,0,0,0.378230647293232,0,0,0,0,0,0,0.123499310575917,0,0,0,0,0,0,0,0,-0.0681576429953991,0,0,0,0.0499434631881749,0,0,-0.120538561152441,0,0,0,-0.0369274782017315,0,0,0,0,0,0,0,0.0629730645398306,0,0,0.0678713026321861,0,0,0,0,0,-0.01616677425107,0,0,0,0,0,0,0
X600809.SH,0,0.156474944049431,0,0,0,0,0,0.182017596902928,0,0,0,0,0,0,-0.0318854330988465,0,0,0,0.112048981291656,0,0,0.0767790202795564,0,0,-0.161447098512856,0,0,0.0332923106755743,0,0.0427471284131276,0.0345764247054627,-0.0283748905186432,0.147502538685831,0,0,0,0,0,0,0,0,-0.0492127034189133,0,0,0,0,0,0,0,0,0,0,-0.0347327189832333,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801652267065066,0.0695383784001695,0,0,0,0,0.0455515306274123,0,0,0.0493742018673254,-0.00143239649771932,0,0.12667956538979,0.0255323207366018,0,0,0,0,0,0,0,0,0,0.239529266025836,0,0,0.11759056321657,0,0,0,-0.0148460508248541,-0.0118791622328964,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0605798240453883,0.116965004859979,0.0266421351444728,0,0.194233014133563,0,0,0.0238206586795121,0,0,0,0,0,0,0,0,0,0.085310438120097,0.0963606057280496,0,0,0.0684091399727726,0,0,0.063442140412253,0,0,0,0,0.199038278850089,0,0,-0.0221948827094483,0.0703707014317796,0,0,0,0,0,0
X002304.SZ,0,0.387387273220698,0,0.380373058794117,0,0,0,0,0,0,0,-0.060435918408889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0602499338192439,-0.0409317357601491,0,0.106250605954665,0.129030184380614,0.0238643977373828,-0.0357443433866389,0,-0.0122977004509099,0,0,0,0,0,0,0,0.0702236375864582,0,0,0,0,-0.125882727024162,0,0,0,-0.0110654697504446,0.0142038887441759,0,0,0,0,0,0
X000651.SZ,0,0.163601224845649,0,0,0,0,0,0,0,0.314121203814407,0,0,0,0,0,0,0,0,0,0,0.123620092057825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00418186958176614,0,0,0,0,0.000540261230123322,0,0,0.0719440562894169,0,0,0,0,0,0,0,-0.0142701750487746,-0.00459297007317565,-8.67361737988404e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0.0591682779606128,0,0.163115936121888,0,0.166625252749137,0.0537894572520054,0,0.0613219364818872,0,0,0,0,0,0,0,-0.198683264390609,0,0,0,0,0,0,0,0,-0.303215259063695,0,0,0.132748846859018,-0.00870150048317973,-0.0157140399441601,0,0,0,0,0,0,0,0,0,0.0995766243538237,0,0,0,0,0,0,-4.33680868994202e-19,0,0.00791949246373302,0.0467329268736611,0,0,0,0,0,0
