,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000568.SZ,X000725.SZ,X003816.SZ,X600809.SH,X000338.SZ,X600690.SH,X600703.SH,X002241.SZ,X300014.SZ,X300142.SZ,X002007.SZ,X000596.SZ,X002371.SZ,X300124.SZ,X000100.SZ,X300003.SZ,X002049.SZ,X002129.SZ,X000157.SZ,X600741.SH,X000800.SZ,X600584.SH,X002414.SZ,X600183.SH,X002236.SZ,X601877.SH,X000625.SZ,X000977.SZ,X002179.SZ,X002456.SZ,X300136.SZ,X000066.SZ,X002185.SZ,X002008.SZ,X002463.SZ,X600118.SH,X002180.SZ,X601799.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.13202754839191,0,0,0,0,0,0.168366382204507,0.0269013769634529,0,0,0,0,0,0,0,0,0,0,0,0.174691627398809,0,0.0908820673335878,0,0,0,0,0.0112976785173109,0,0,0,0,0.031948658584583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609843607680894,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.222602033080624,0,0,0,0.21430837826515,0,0,0.347911042945977,0,0,0.0430258285182358,0.0743242989948456,0,0.0312455240491751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00701924906610824,0.00261964776126516,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0744610036118831,0.264919794387217,0,0,0,0,0,0.0222045017889932,0,0,0,0,0,0,0.038037604673708,0,0.149764428573967,0,0,0.12102599709984,0.0156271435769283,0,0,0,-0.0584840251723705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00414410677268571,0,-0.0171532896899715,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288026328014272,0,0,0.0842424384335925,0.10536225347154,0,0,0,0,0.0253029721389537,0,0,0,0,0.00591900056839295,0,0.176973562878194,0,0,0,0,0,0.0374227251834582,0,0,0.0501660163214974,0,0,0,0,0,0,-0.0518797434165483,0.00182826477515068,-0.0328722565935341,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.066329651053542,0,0,-0.04408676863102,0.130567656714524,0,0.119642925468064,0,0,0,0.0327048292482976,0.253208252581314,0,-1.73472347597681e-18,0,0,0,0,-0.0177747305672244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804769051066746,0,0,0,0,0,0,0.00793930332714886,-5.35857940471215e-06,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0387466961459155,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509997863745753,0,0,0.195843652191252,0,0,0,0,0,0.225518735272461,0,8.67361737988404e-19,0,0,0,0,-0.0232747743443497,0.00422574187610925,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.113684425821591,0.153637401333247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170399591755746,0,0,0,0,0.0623935442083414,0,0,0,0.172910973528136,0,0.133212261750664,0,0,0,0,0.00500902685781081,0.0885414723212323,0.0356188842696877,0,0,0,-0.0518770368983342,0,-0.135717776559918,-0.00127377940195962,0.00159939665302374,0,0,0,0,0,0
X002304.SZ,0,0.181104103586805,0,0,0,0,0,0,0,0,0,0.382675828808775,0,0,0.0137604023466929,0,0.122421995263538,0,0,0,0.0241197927993342,0,0.149283505430802,0.0480972714632316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0159481579899505,0,0,0,0,0,0,0
X000661.SZ,0,0,0.0454062060093235,0.0607178606044251,0,0,0,-0.115730863183409,0,0,0,0,-0.103773986778281,0,0.158548235077288,0,0,0,0,0,0,0.142736599878785,0,0.0385311574961079,0,0,0.107593923359503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113104436518661,0,0,0,0,0,0.0624113160182176,0,0,0.0209047471421206,-0.0405224613577278,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0527538476313399,-0.049349473417678,0,0,0,0,0,0,0.383919326989679,0,0,0,0,0,0,0.0459230769964212,0,0,0,0.0398444081813119,0.0584461030143989,0,0.145333910530417,0,0,-0.117416776749944,0,0,0,0,0,0.0333169835449196,0,0,0.0973662193571721,-0.0274055003725217,0,0,0.211322701603435,0,0,0,0,0,-0.00597737369629935,-0.0187514230244059,0,0,0,0,0,0
