,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002475.SZ,X002304.SZ,X600690.SH,X300124.SZ,X300014.SZ,X000651.SZ,X600104.SH,X002129.SZ,X002371.SZ,X002049.SZ,X000725.SZ,X003816.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002241.SZ,X002180.SZ,X600522.SH,X000661.SZ,X300142.SZ,X000733.SZ,X002074.SZ,X601877.SH,X000100.SZ,X600741.SH,X600460.SH,X000157.SZ,X300003.SZ,X600702.SH,X600884.SH,X600487.SH,X600584.SH,X600563.SH,X601799.SH,X000799.SZ,X002414.SZ,X002176.SZ,X002223.SZ,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0723055961046065,0.268826741035003,0,0.0714668430849665,0,0,0,0.0905232261433605,0,0.0272189994693785,0,0,0.0735289988532632,0.0412416495294751,0,0,0,0,0,0,0,0,0,0.00634367573138898,0,0,-4.33680868994202e-19,0,0,0,-0.243150903260053,0,0,0,0,0,0,-0.0167170899851932,0,0,0,0,0,0,0.103320391534096,0,0.0396371177245529,-0.0216257655436765,0,0,0.0407265703618386,0,0,0,0,0,0,0
X000858.SZ,0.125258957014122,0,0,0,0.295513492147785,0.14192088349335,0,0.0760293594889886,0,0,0,0.0817564938164574,0,0,0.0866091980701093,0,0,0,0,0,0.0170691566934117,0,0,0,0,0,0,0.00512652656466349,0,0,0,0,0,0,0,0,0,0,0,0.0648057373800167,0,0,0,0,0.0154263978494048,0,-0.0998121255898611,0,0,0,0,0,0.0136152922963214,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.930441613192055,0,0,0,0,-0.0137255258574817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00229724443312613,0,0,-0.0262726034957519,0.166207627434767,0.0599781375579586,0,0,0,0,0,0,0,0.0435249610333573,0,-0.123274087688397,0,0,0,0,0,0,0,0,0,0,-0.0183066816752075,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123251203355563,0,-0.0231465772994418,0,0.223092812886125,0,0,0,0,0,0,0,0,0,0.252428634320277,0,0.144719339804661,-0.296994416311052,0.0245149765591784,0,0,0,0,0.165318814364165,0.228550476731795,0,0,0,0,0,0,0,0
X000568.SZ,0.195698876188399,0.0680242630733334,0.830686075980586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00704912035400693,0,0,0,0,0,0,0,0.0674335018417602,0.0777078513057663,0,0,0,0.0627559058923502,0,0,0,0,0,0,0,0,-0.0428266352016328,0,0,0,0,0,0,0,0,0.0114529626916462,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0860361984672842,0,0,0,0,0,0,-0.118690895557764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123905065766121,0.0184968845823073,0.0745764436742638,0.0850442122176776,0,0,0,0,0,0,0,0,0,-0.0274998398111333,0.017398153196748,-0.00068095921711402,0,0.157122891985388,0,0,0.168586179272949,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.006801313070746,0,0,0,0,0.298850002575643,0.138340972880367,0,0,0,0.0378991905385202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.0291926542333624,0,0,0,0,0,0.0189444959250355,0,0.15511215491068,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0.275349911767314,0,0,0,0,0.0879013207080791,0,0,0,-0.151210215723887,0,0,0,0,0,0,0,0,0,0.134986030952812,0,0,0,0,0,0,0.0467161179649536,0,0,0,0,0.118844528976011,0,0.0950743945155329,0,0,0,0,0.192638803879453,0,0,0,0,0.0974199946760368,0,-0.0992874822597829,0.00694553933179126,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.0298808840966846,0,0,0,0.233264551780835,0,0,0,0,0,0,0.31668811817187,0,0.0781693221226097,0,0,0,0,0,-0.000787885776189412,0,0,0,0,0.0445649941028071,0.0938242209500294,0.0987195906593011,-0.069428193431365,0.0970253604301324,0,0,0,0,-0.000207727560042035,0,0,0,0,0,0,0,0,0,0,0,0,-0.0960947057670617,-0.00597370261548457,0,0,-0.0857136600443356,-0.0385721580470009,0.0159901197737837,0,0,0,0,0,0
X300124.SZ,0,0,-0.152640554337462,0,0,0,0.0537565519629486,0,-0.130100598999388,0,0,0,0,0,0,0.0221824249345691,0,0,0,0,0,0,0,0,-0.0561481951273988,0,0.112520329942152,-0.188677571082122,0,0,0,0,0.27217397365109,0,0,0,0,0,0,0,0,-0.0877318128448971,0,0,0,0,-0.0479792120886812,0.13742358755833,0,0,-0.0716124743800115,0,-0.0480028734977766,0,0,0,0,0,0
