,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X600690.SH,X600104.SH,X002475.SZ,X000651.SZ,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X002241.SZ,X003816.SZ,X002129.SZ,X600703.SH,X000625.SZ,X002049.SZ,X601877.SH,X000596.SZ,X300142.SZ,X000100.SZ,X600089.SH,X000661.SZ,X002179.SZ,X600460.SH,X000799.SZ,X000157.SZ,X600741.SH,X002074.SZ,X002236.SZ,X600884.SH,X600702.SH,X002414.SZ,X600584.SH,X600779.SH,X601799.SH,X000800.SZ,X600183.SH,X002176.SZ,X002007.SZ,X000733.SZ,X300003.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.312406116253084,0,-1.73472347597681e-18,0.0535717721594289,0,0,0.0177353255248836,0,0,0,0,0,0,0,0.0945421587854017,0,0.0197192549649536,0,0,0,0,0,0,0.0192066874570878,0,0,0,0,0.0713925568679444,0,-0.0418142011427379,0,0,0,0,0,0,0.07533902084125,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0610064522459447,0,0.132480852367389,0.326749003421642,0,0,0,0,0,0.0511042264709407,0,0,0,0,0,0,0,0,0.0373488617317327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503047060940505,-0.0732912709546799,0,0.170883198286141,0,0,0,0,0,0,0,0,0,-0.011319224546346,-0.00331563406716003,0,0,0,0,0,0
X002415.SZ,0,0.0869672300091467,0,0,0,0,0,0.0390833886012425,0,0,0,0.0508744397583075,0,0,0.047077316153192,0,0,0,0,0,0.00845412796184459,0.225493552646424,0,0,0,0.037279927306518,0,0,0,0.0243678680763876,0,0,0,0,0,0,0.0494872517747384,0.0730070452049233,0,0.058018219468043,0,0,0.131439604028157,0,0,0,0.0291394316753131,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0584040864014049,0,-0.0258711821298268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0928752268469985,0,0,0,0,0,0,0,0,-0.0785894390852063,0.438730550104797,0,0,0,0,0,0.30978829412755,0,-0.0297271971613862,0,0,0,0,0.0591814667380747,0,0.0074787641331397,0,0,0,-0.0182396280636665,0.0200565731028825,0,0,0,0,0,0
X600276.SH,0,0.243460504027386,0,0,0,0,0,0,0,-0.10991901294773,0,0,0,0,0.243177462612972,0.3247139252236,0,0,0,0,0,0,0,-0.298732931790122,0,0,0,0,0,0.138814391644624,-0.156777341936422,0,0.0331378533510792,0,0,0,0,0,0,0,0,0,0,-0.0377798513416274,0,0,0,0,0.0543039240626329,0,0,-0.00794277741947516,0,0,0,0,0,0,0
X000568.SZ,0,0.498085480299809,0,0.20744694555532,0,0,0,0,0,0,0,0,0,-0.0259486986890108,0,0.0873238567996931,0,0,0,0,0,0,0,0,-0.00416714253913683,0,0,0,0,0,0,0,0,-0.112885131100006,0,-0.00723233070269888,-0.0322074568571651,-0.0475461482714061,0,0,0,0.017390779052044,0,0,0,0,0,0,0,0,0,-0.0197158462583897,0,0,0,0,-0.0227298228967491,0,0
X002304.SZ,0,0,0,0.0513966779162697,0,0.148257420936123,0,0,0,0,0,0.0478523845483668,0,0,0,0,0,0,0,0,0,0,0,-0.0642939182440873,0.184765910113185,0,0.0419803203048384,0,0,0.0837971164620096,0,0,0.108755953276017,0,0.000443740867098222,0,0,-0.0482797423093263,0.0839416531265299,0,0,0.10410473357246,0,0,0,0.00689774435804529,0.109156781993769,0,0,0,0,-0.0419895852855742,0,0,0,0,0,0,0
X600690.SH,0,0,0.0333624688991271,0,0.128847582300532,0.0644956663260553,0,0,0,0,0,0.0594444887620572,0,0,0.0621245880366814,0,0,0,0,0,0,0,0,0,0,0.0127635072662897,0,0,0,0,0,-0.0385790127010934,0,0.13998828472175,0,0,0,0,0.0241051043716853,0,0,0.0985002862174283,0,0,0,-0.0546441085352789,0,0,0,0,0,-0.0123393619635355,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0119878007745554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138067947934572,0,0.0306083294312127,0,0.0951943982101699,0,0,-0.0313275998690398,0.0235450785589847,0,0.0787252841833952,0.138067237292773,0.0926209839253803,0,0,0.0147792826150113,0,0,0,0,0,-0.0110594345622597,0,0,0,-0.0712824559374989,0,0,0,0,-0.0357123115449122,0,0,0,0,0,0
X002475.SZ,0,0,0.0662314884639334,0,0,0,0,0,0,0,0,0,0,0.191080878667644,0,0,0,0,0.220548156044881,0,0,0,0,0.038807281299565,-0.1747314320591,0,0,0,-0.17917742558072,0,0,0.0590332489191037,0,0,0,0,0,0.00230274612124601,0,0,0,0,0.0491646379303379,0,0,0,0,0,0,0,0,0,-0.0153361234611227,0,0,0,0,0,0
