,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X000625.SZ,X002456.SZ,X000338.SZ,X600031.SH,X600066.SH,X000100.SZ,X601877.SH,X600809.SH,X002008.SZ,X300124.SZ,X300136.SZ,X600487.SH,X002508.SZ,X300003.SZ,X600522.SH,X600867.SH,X002085.SZ,X600089.SH,X600699.SH,X000596.SZ,X002294.SZ,X600498.SH,X000157.SZ,X000050.SZ,X600177.SH,X600271.SH,X600566.SH,X002180.SZ,X600118.SH,X000559.SZ,X300115.SZ,X002179.SZ,X600707.SH,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.310865911456632,0,0.184155575281756,0.165572960312201,0,0.0197637825853438,0,0,0,0,-0.0984711522277117,0,0,0,0,0,-0.0931949077992039,0,0,0.00987089271945978,0,0,0,0,0,0,0.0856738025848945,0,0,0,0.0192412333368083,0,0,0,0,0,0,0,0,0,0,0.0963874923920219,0,0,0.0182968417556188,0,0,0,0.0207136441035616,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0791054771899011,0,0,0,0.0453788567342373,0.0304870483609242,0,0.342342311432457,0.0854667752720654,0.0539315832245928,0,0,-0.0219478990457863,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0380645476742575,0,0,0.0452010446913419,-0.0546891715220675,-0.00154381595445624,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0100038042815692,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185148950166005,0.00240819067768495,0,0,0,0,0,0.00722350555157883,0,0,0.0456381730517525,0.180679611223788,0.142851493227676,0,0,0.0933569523677146,-0.00833428424686476,0.0248241283224951,0,0,0,0,0,0,0,0,0,0,0,0.0589244341183351,0,0,0,0,0.0529713195045959,0,0,0,0.011350398863059,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.180013533729814,0,0,0,0,0,0,0,0,0,0.0933668123116556,-0.00296565506820415,0,0,0,0.20291686403308,0,0,0,1.73472347597681e-18,0,0,0,0,0.171754498652716,0,0,0,0,0,0,0,0,0,0,0,0,-0.0359444883652368,0,0,0,0,0,0,0,-0.067049200476733,0,0.00719508164905327,0,0,0,0,0,0,0
X000858.SZ,0,0,-0.149431613640596,0.0176053724898915,0,0,0,0.132608146723717,0,0,0,0.309541913893973,0,0,0,0,0,0,0,0.00464166433283186,0,0,0.0452864600247645,0.0186951023877086,0,0,0,0.110669890069915,0,0,0,0,0,0,0,0.0827616890506815,0,0,0,1.73472347597681e-18,0,0,0.0898903545054099,0,0,0,0,0,0,0,0,-0.00494710061628311,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.268679196374513,0,0,0,0,0.14070363204958,0,-0.0396801794739965,0,0,0,0,0,0.205271204777265,0,0,-0.0277132568583115,0,0.101081419324462,0,0,0,0,0,0.0374374729034243,0,0,0,0,0,0,0,0,0,0,0,0,0.147699141963958,0,0,0.134105755394378,0,0,-0.0213372879982553,0.0194065987711232,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.159598710289992,0,0,0,0,0,0,0,-0.12875835777942,0,0,0,0,0,0,0,0,0,0,0,0,0.0220711620125119,0,0,0,-0.10977233265458,0,0,0.139213114085457,0,0.0387230585212818,0,0,0,0,0,0,0.0263829168988977,0,0,0.0513197258400936,-0.029625674400804,-0.0161712072971944,0.0117234189771267,0,0,0,0,0,0
X002304.SZ,0.000601610171211034,0,-0.0130322500080399,0,0.379088404309645,0,0,0,0,0,0,0.0235332412504387,0,-0.19346941046291,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257211987637346,0,0,0,0,0,0.0490374117269828,0,0,0.0269655802111284,0,0,0,0,0,0,0,-0.0567877688145049,0,-1.0842021724855e-19,0.16223937562577,0,0,0,0,-0.0398661348679017,0.0505487923895543,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.39556255568487,-0.245451096648245,-0.18364542151431,0,0,0,0,0,0,0.153231093379555,-0.0194817531330172,0,0,0,0.0643841261138017,0,0,0.0563859911750406,0,0,0,0,0,0,0,0,-0.0115148097718011,0,0,0,0,0,0,0,0.073694031226998,0,0,0,0.0785593712880532,0,0,0,0,0,0,0,-0.0857879176450331,0.106222470021295,0,0,0,0,0,0
X600703.SH,0,0.0678281490750106,0,0,0,0.04884672282605,0.0586890972405562,-0.0816251292164744,0,0,0.1124727823243,0,0,0,0,0,0,0,0,0,0,0,-0.353971934223243,0,0,0,0,-0.0234516378989352,0,0,0,0,0,0,0,0,0,0.102421010847713,0,0,0,0,0,0,0,0,0,0,0,0.0212877264895389,0,0.0206489145727553,0,0,0,0,0,0,0
