,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000625.SZ,X002008.SZ,X600809.SH,X600487.SH,X601877.SH,X000100.SZ,X600066.SH,X002241.SZ,X002508.SZ,X002456.SZ,X300003.SZ,X300124.SZ,X002294.SZ,X600867.SH,X600271.SH,X300136.SZ,X600522.SH,X000596.SZ,X600089.SH,X000157.SZ,X600177.SH,X002085.SZ,X600566.SH,X000981.SZ,X000661.SZ,X600498.SH,X600699.SH,X300142.SZ,X002179.SZ,X600118.SH,X002180.SZ,X600707.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.12063472409899,0,0,0.520305485288641,-0.0137832993088764,0.137775451529088,0.0921524661149077,-0.0365667692519996,0,0,0,0,-0.0428910163389605,0,0,0,0,0,0,0,0,0,0,-0.00328833229215959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544852526281245,0,0.167939490303069,0,0,-0.00786893514252033,0.0180479768906638,0,0,0,0,0,0
X600104.SH,0,0,0,0.0868485560437686,0,0,0,0,-0.0169926766052127,0,0,0,0.224473677969463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100512337971261,0.0805864155821571,0,0,0,0,0.0707371427945777,0,0,0,0,0,0,0,0,0,0,0,0.137296462893438,0,0,0.190384887195251,0,0,0,-0.0253255497409164,0.0473943127472976,0.0585744166342936,0,0,0,0,0
X002415.SZ,0,0.0584166433404992,0,0,0,0,0,0,0.0316832451206136,0,0,0.124282802059241,0.0684414113694103,0.0505655136579834,0.0276768113977331,0.0271837238225203,0,0,0.224949489135444,0,0.305246145526167,0.0386318779155072,0,0,0,0,0,0,0.0416530645780716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00758749733631733,-0.00119687041226666,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.436664413582103,0,0,0.0060918491491661,0.0420351594330987,0,0,0,0,0,0.0182773588145276,0,0,0,0,0.0282984015591741,0,0,0,0,0,0,0,0,0,0,0.110684915512919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061326703486633,0,0,0,-0.000452086928154477,0,0,0,0,0,0,0
X000858.SZ,0.350038161573824,0,0,0.323101013004158,0,0.0165086209167913,0,0.0371255755034855,0,-1.73472347597681e-18,0.178606359744237,0,0,0,0,0,0,0,0.0280321330850322,0.13565784387416,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208268319973142,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.00149647285210986,0,0,0,0,0,0,0
X000725.SZ,0.0611875415348909,0,0,0,0,0,0,0,0.400633246716159,0.191211132882444,-0.247566998006502,-0.0618128266693621,0,0,0.0476573603585491,0.127494105979738,0.0695986475446158,0,0,0.190848347939892,0,0,0,0,-0.00839803125897377,0,0,0.229841671323385,0,0,0,-0.0553837173176624,0.0919191619541625,0.258227185621925,0.209371056321202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160492716121652,0,-0.0543005524477376,0.0688749161121623,0,0,0,0,0,0
X600276.SH,0.215240520496742,0,0.154989322551594,0,0,0,0,0.024775278445357,0,0,0,0.110314873958759,0,0.15759735917411,0,0.00382536832288822,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.241254882975048,0,0.101991546569883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286808367246753,0.0558761002298587,0,0,0,0,0,0
X002304.SZ,0.271507189659087,0,0,0,0.194384074655789,0,0,0,0,0,0.1327820345017,0,0.000172627000863607,0,0,0,0,0,0,0,0,0.0149973433655575,0,0,-0.0233571776141136,0.107835436559822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954343398802919,0,0,0,0,0.0169866568146789,0,0,0,0,0,0,-0.0167384951550168,0.0261389378203686,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.270960311263775,0,0,0,0,0,0,0,0,0,-0.0628389185669631,0.06280780237022,0,0.133440796557072,0,0,0,0,0,0.132036907355013,0,0,0,0,0,0.0842987648860169,0.242247938269339,0,0.184703965398888,0,0,0,0,0,0,0,0,0.384354387334147,0,-0.0316837929686688,0,0,0,0,0,0,-0.0112925857828637,0.0123092438922237,0,0,0,0,0,0
X600690.SH,0,0.408939442481763,0,0.0692437967958837,0.0837611587216461,0,0.107712538092464,0,0,0,0,0,0.115027513165081,0,-0.0653323639692514,0,0,0,0.102064139425709,0,0,0,0,-0.107313977771548,0,0,0,0,0,0,0,0,0,0,0.159611427293014,0,0,0,0,0,0,0,0,0,0,0.0087003380538016,0,0,0,-4.33680868994202e-19,0,-0.0136511382813892,0.0029557484624753,0,0,0,0,0,0
X000568.SZ,0,0,0,0.0888283690585177,0.423308889617132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534258855345311,0,0,-0.0201545410137594,0,0,0,0,0,0,0,0,0,0,0.0740893764459025,0,0.164164245202735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210516336059615,0.00250631479065622,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.339555565797907,0,0,0,0,0,0.466386104589483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304967137585604,0,0,0,0,0,0,0,0.187294604955027,0.478836629997229,0,0.0113709868561466,0,0,0,0,0.0345657595713773,0,-0.0280844479827223,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0.0134108956302954,0,0,0.0221636402592168,0,0.195069716047227,0.0955268048430131,0.0666646600030863,0,0,-0.114689867966644,-0.0950205943876058,0,0,-0.072170013421333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126338379250257,0,0,0,0,0,0.314609299958149,0,0,0,0,0,-0.00353096108190782,0,-0.122504554059085,0,0,-0.184751699717236,0,0,-0.0193245162844092,0,0,0,0,0,0
X002236.SZ,-0.0776429819237161,0,0.52303460316226,0,0,0,0,0.0788304404656591,0,0,0,0.207423107523274,0,0,0,0,0,0,0,0,0.137314511182111,0.0652967775341316,0,0,0,0,0.0806450365887024,0,0,0,0,0,0,-0.141855237290958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312797732456955,0,0.00113783047698864,0.0104262900013947,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114072405327805,0,0,0.133678626586523,0,0,0,0,0,0,0.0623090590407423,0,0,0,0.0707568629614792,0,0,0,0,0,0,0,0,-0.267667204930841,0,0,0.103484156847347,0,0,0,0.224784420715477,0,0,0.00355206914479763,-0.00368813474100705,0,0,0,0,0,0
