,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002304.SZ,X000568.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000725.SZ,X600031.SH,X300014.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X002129.SZ,X600703.SH,X002241.SZ,X000625.SZ,X000063.SZ,X002049.SZ,X601877.SH,X003816.SZ,X300142.SZ,X000596.SZ,X002179.SZ,X000661.SZ,X000100.SZ,X600089.SH,X600741.SH,X600460.SH,X002236.SZ,X002074.SZ,X000157.SZ,X000799.SZ,X002414.SZ,X600702.SH,X600584.SH,X000733.SZ,X600884.SH,X600779.SH,X601799.SH,X600183.SH,X002007.SZ,X000800.SZ,X002008.SZ,X300003.SZ,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.212203375396845,0,0.0746923929595662,0,0.0432913080775803,0,0.168870658148229,0,0,0,0,0,0,0.0411085104486618,0,0,0.0588010358749298,0,0,0,0,0,0.0163503198159789,0,0,0,0,0,0,0,0,-0.0162376357690419,0,0,0,0,0,0.0485085101957896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.106315201315136,0,0,0.20973450329125,0,0,0,0,0.0178285491540449,0.00485478199781086,0,0,0,0.147102636016013,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,-0.028370693378593,0,0,0,0.0893513102978343,-0.0804822177235753,0.0608996016788679,-0.014305140380615,0,-0.0117719486698091,0.174751591797638,0,0,0,0,0,2.16840434497101e-19,0,0,0,-0.0155369245101715,0,0,0,0,0,0
X002415.SZ,0,0.0412396610638312,0,0,0,0.0494776318465625,0,0,0,0,0,0,0.0477178005039419,0.0997548382511348,0.0134252181759408,0,0,0,0.1369771324752,0,0,0,0.00577924017580292,0,0,0.0161283417467025,0.0373200086737122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055936958130134,0.113757919033342,0,0.104182687591668,0,0.0628149770236627,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.226881003347333,0.0920308773307836,0,0,0,0,0,-0.026805847908785,0,0,0,-0.0865581990046113,0,0,-0.0628087794343889,0,0,0,0,0,0.0212550876888007,0,0,0,0,0,0,0,0,0,0.377697265014098,0,0.17499647106666,-0.0772994445034708,0,0,0.0572207582790465,0,0,0,0,0,0,0,0,-0.05533667221362,0.0700187156336203,0,0,0,0,0,0
X600276.SH,0,0.303913922426415,0,-0.0203029762914421,0,0,0,0,0,-0.129525207960523,0,0,0,0.200811089894297,0.317802112673492,0,0,0,0,-0.0170988963309079,0,0,-0.356678039625481,0,0,0,0,0,0.0951097240002,0,-0.0400443244019679,0,0,0,0,0,0,0,0,0,0,0.0182736740063732,0,0,-0.0414041057747748,0,0,0,0,0,0,0.0185249325012794,0,0,0,0,0,0,0
X600690.SH,0,0.00572875451934,0,0,0.106634212951417,0,0.19077227065516,0.155700956407295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295546696903967,0,0,0.111818160832157,0,0,0,0,0,0,0.275492562821174,0,0,0.0171663073503146,0,0,0,0,0,0,0,0,0,0,-0.0225830735523445,0,-0.0231675365843517,0.00671933081957423,0,0,0,0,0,0
X002304.SZ,0,0,0,0.415616462029352,0,0,0,0.40546227050383,0,0.0479570134933526,0,0,0,-0.205664502518688,0.0664986004695804,0.0298771970442052,0,0,0.163926295618424,0,0,0,0,0,0,0,0,0.0575791071156333,0,0,0,0,0,0,0.0785103319717761,0,0,0,-0.0630720302837556,0.150307034697606,0,0,0,0,0,0.0330333617193719,0,0,0,0.0507837112443902,0,-0.0801409042512214,0.0117689093944077,0,0,0,0,0,0
X000568.SZ,0,0.471810827902198,0,0.0782562866807031,0,-4.33680868994202e-19,0.102370743450983,0,0,0,-0.149839637402488,0,-0.0465057701466525,0.0162130466767831,0,-0.0697892580566114,0,0,0,0.0203977755073577,0,0,0,0,0,0,0.157777623044301,0,0,0,0,0,0,-0.0368462285459594,0,0,0,0,0,0,0,0,0.0669504178594351,0,0,0,0,0,0,0,0,-0.00914606371606424,0.0231728095662903,0,0,0,0,0,0
X000651.SZ,0.211463992810174,0,0,0,0,0.10999187834008,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0395728809243515,0,0,0,0.183858657296551,0,0,0,0,-0.028573235640505,0,0.00124769983383673,0,0,0,-0.0453322992708175,0,0,0.0382149956153812,0,0,0,0,0,0,0.0133366618996951,-0.106674778318852,0,0,0,0,0,0,0,-0.0512626678997042,0.0880751636281114,0,0,0,-0.0843762968000326,0,0
X002475.SZ,0,0,0,0.106150730734729,0,0,0,0,0,0,0,0,0,0,0,0.0467174999760323,0,-0.103937417671302,0,0.245243591079837,0.0543095553970237,0,0.205490340953577,-0.0464513260909419,0,0,0,0,0,0,-0.106635451255756,0,0.208970963358236,0,0,0,0,0,0,0,0,0,0,0.08756575168629,0,0.0957699691014862,0,-0.134320451840498,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.000770647432937957,0,0,0,0,0,0.028833426631386,0,0.113524855559489,0,0,0.0196037212039316,0,0.105587148326125,0,0.0751939942432071,0,0,0,0.0654782822911286,0,0,0,0,0.0551399222943105,0,0,0,-0.1481194150925,0,0,0,0,0,-0.00517506042457,0,0,0,0,-0.00514669626519451,-0.0392815755788146,0,0,0,0,0,0
