,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000063.SZ,X002241.SZ,X300124.SZ,X000661.SZ,X003816.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X600703.SH,X600741.SH,X000100.SZ,X002371.SZ,X000625.SZ,X002007.SZ,X300142.SZ,X002129.SZ,X600584.SH,X002236.SZ,X601877.SH,X002049.SZ,X002179.SZ,X600183.SH,X000157.SZ,X000800.SZ,X002414.SZ,X601799.SH,X300003.SZ,X300136.SZ,X000066.SZ,X002008.SZ,X002456.SZ,X000977.SZ,X002185.SZ,X300146.SZ,X002508.SZ,X600066.SH,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.281844353623714,0,-0.100270242896074,0.0804411877169279,0,0,0,0,0,0.321578900185347,0,0,0,0,0,0,0,0,0,0,0,0,0.00402215852409431,0,0,0,0.0370730633883604,-0.0283503602311528,0,0,0,0.0482508450263267,0,0,0,0,0,0,0,0.0117985130677571,0,0,0,0,0,0,0,0,-0.00654033040400673,0,4.33680868994202e-19,0.0762533429147054,0,0,0,0,0,0
X000858.SZ,0.168076678538475,0,0,0,0,0,0,0.098532896378667,0.189185358113508,0.122183422863147,0.096656106670977,0,0,0,0,0,0,0,0,0,0,-0.104396648282326,0,0,0,0,0,-0.0157786625074674,0,0,0,0.0343221237599128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00603792078520835,0,0,0,0,0.0312390606944212,0,0
X600276.SH,0.0179518852012952,0,0,0,0,0,0,0.0236082905916111,0,0,0.204905053619711,0,0,0,0,0,0,0,-0.104333573357108,0,0,0,0,0,0,0,0,0,0,0,0.11154859906827,0,0,0,0,0,0,0.0522380503691664,0.00325706535889151,0,0.0885621515059651,0,0,0,0,0,0.0429670972698076,0,0,0,0,0,0.00440092761137046,0,0,0,-0.033500155838498,0,0
X002415.SZ,0,0,0,0,0.146883364668917,0,0,0,0,0,0,0,0.0325133342814956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201765514989508,0,0,0.250985062556454,0,0,0,0,0,0,0,0,0,0,0,-0.195244182708977,0,0,0.0222691772850636,0,0,-0.00998935921255865,-0.0234353881194183,0,0,0,0.0435316540028281,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.045819642858761,0,0,0,0,-0.0533644838141687,0,0.514381485706352,0,0,0,0,0,0,0,0,0.128059992121333,0,0,0,0,0,0,4.33680868994202e-19,0.0966607299189884,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0112399958467444,0,0.0285379492805047,0,-0.0435411731386006,0,0.0687242937011484,0,0.0221410414058721,-0.00966918674818221,0,0,0,0.0337724388738051,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716806782039217,0,0,0,0,0,0,0,0.0198496249012252,0.123445492784581,0,0.0575967878046636,0,0,0.0950265391073823,0,0,0.0698351153488682,0,0,0,0.0147512730675185,0,0.0156287198596351,0,0,0,0,0,0,0,0,0,0.00377987522429206,0,-0.0185481036004729,0,0,0,0,-0.0123416137971884,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.142484448140805,-0.123573870530678,0,0,0,0,0.00604032450449881,0,0,0.17622604929541,0,0,0.1400688723448,0.155147123306562,-0.0119255022560976,0.0759880581494865,0.0195115788312733,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00950512136963833,0,0,0,0,-0.0715443808635975,0,0
X000568.SZ,0,0.32717913266578,0,0,0,0,0,0,0.340030292905716,0,0,0,0,0,0.211994111384051,0,-0.0278146775612082,0,0,0,0.0472136387918261,0,-0.0502706901304131,0,0,-0.0450352117184625,0,0,0,0,-0.119995489688697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302196265808326,0,0,0,-0.0303980788855972,0,0.021631603303028,0,0,0,0.00809435796360584,0,0
X002304.SZ,0,0.0440971433726557,0,0,0,0,0,0.225853920015938,0,0,0,0,0,0,0,0,0,0,-0.0833188824452019,0.24419865613573,0.0581167559970135,0,0,0,0,0,-0.0941091663667276,-0.00242307267211283,0,0,0,0,0,0,0,0,-0.0309360794747617,0,0.0802345324222409,0,0,0,0,0,0,0,0.156084097718222,0,0,-0.0390378999465093,0,0.0160778744677778,0,0,0,0,-0.00257289889842632,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.025410227947909,0,0,0,0,0,0.326472704221676,0,0.413430155258934,0.0128233704563861,0,0,0.0380557418719512,0,0,0,0,0.017698457635513,0.0183430527222455,0,0,0,0,0,0,0,0,0,0,0,0.0581634367440749,0,0,0,0,0,0.00575723602855432,0,0,0,0,0.0874047788773667,-0.0191840893878216,0,0,0,0,0,0
X600809.SH,0.230394857845667,0,0,0,0,0,0,0.314127838655542,0,0,0,0,0,0,0,0,0,0,0,0,0.146806636317011,0,0,0,0,0,0.089688425484952,-1.73472347597681e-18,0,0,0.116200044625316,0,-0.00968360494206644,0,-0.0140704961670314,0,0,0,0.113635153376091,0,0,-0.130740017513667,0,0,0,0,0,0,0,-0.038453054319533,0,3.46944695195361e-18,0.0171194091903971,0,0,0,0.0252961399409423,0,0
