,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X002475.SZ,X600809.SH,X600276.SH,X003816.SZ,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000338.SZ,X600031.SH,X300124.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X002463.SZ,X600089.SH,X000157.SZ,X002241.SZ,X600703.SH,X600372.SH,X600066.SH,X600584.SH,X000977.SZ,X002028.SZ,X600522.SH,X600741.SH,X002236.SZ,X000921.SZ,X600183.SH,X002049.SZ,X601877.SH,X000661.SZ,X002223.SZ,X600487.SH,X000800.SZ,X002180.SZ,X002129.SZ,X002074.SZ,X600060.SH,X600418.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.214099002661971,0,0,0,0.174136979425615,0,0,0,0.127906779711725,0,0,0,0,0,0,0,0,0,0.104371905707721,0,0,0,0,0,0,0,-0.0133468749126413,0,0,0,0,0,0,0,0,0,0,-0.0332382056342891,0,-0.0388925101547684,0,-0.00259522700607528,0,-0.0374857101042462,0,0,0,-0.042586288332111,0.0461567115298346,0,-0.0356958494685507,0.00144756969179413,0,0,0,0.012173517421146,0,0
X000858.SZ,0.0953617891527078,0,0,0,0,0.0192669976019942,0,0,0,0.445158809236916,0,0,0.0461747108752203,0,0,0,-0.0138594750972617,0,0.0606950656233467,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0668981813092311,0,0,0,0,0,0.0318364646132372,0,0,0,0,0,0.00978974878947001,0,0,0.0991749023518351,0,-0.0352755265744413,-0.0292341364371324,0,0,0,0,0,0
X002415.SZ,0,0,0,0,-0.0318173994345,0,0.0810397391107124,0,0,0,0,0,0,0,0,0,-0.17395052829911,0,0,0,0.0192193215618195,0.0750778555342611,0.00546490734010331,0,0,0,0,0,0,0,0,0,0,0,0,0.0335858870740404,0,0.113050543263992,0.0111858770562083,0,0,0,0,0,0,0.139212267102335,0,0,0.0529033672217787,0,0,0,0,-0.17902795358015,0,0,0.0188470500715473,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.185756813856784,0,0,0,0,0.0122758498350487,0,0,0,0,0,0,0,0.00884312392064131,0,0,0,0,0,0,0,0,0,0,0.00146552039549597,0,0,0,0,0,0,0,0,0,0,0,-0.158008862570769,0,0,0,0,0,0,0,0.0877802192918391,0,0,0,0.0896936214649678,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727818380128011,0,0,0.0249361532986282,0,0,0.360467497995899,0,0,0.0283565633785457,0,0.18931629730707,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.058201644451003,0,0,0.0114266420929347,0.0374026892952321,0,0.0912824442566146,0.00668997448910509,-0.156573736585034,0,0,0,0,0
X600809.SH,0.561909208649576,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050982215282775,0,0,-0.0116122166016914,0,0.0573855359166772,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0343624096538005,-0.00529815566008674,0,0,0,0,0,0,0,0,0,0,0,-0.139765249940402,0,0.202467990532037,0,0,0,-0.017910337621926,0,0,0,0,0,0,0,0.017490973097524,0,0
X600276.SH,0,0,0,-0.177732397039769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357154524483818,0,0,0.129478169811166,0.117451952517977,0.474965750977922,0,0,0,0,0,-0.399403078340244,0,0,0,0,0.134364321971635,0,0,0,0,0.0528551399039235,0,0.0262560630265506,0,0,0,0,0,0,0,0,-0.0253235349854293,0,-0.0607659584550356,0.0554080677930556,-0.0403466889839776,0,0,0,0,0
X003816.SZ,0,0,-0.108506025009287,0,0,0,0,0,0,0,0,0,0,0,0.0180478848142871,0,0,0,0,0,0,0,0,-0.228317763566063,0,0,0,0,0,0.0107993251287266,-0.0153627414894097,0,0.0942772627299581,0.0824919945147822,0,0,0,-0.110813007772499,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.00420617403825936,0,0.0261010793669409,-0.0399800460468825,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0360047814670831,0,0,0,0,0,0,0,0,0,0,0,0,-0.108811169813174,0,0,0,0,0.0328025277623879,0,0,0.241329045837124,0.0690904492157325,0,0,0,0,0,0,0,0,0,0,0.015948655473985,0,0,0,0,0,0,0,0,-0.025635065973394,-0.041096564681575,0.210621893336682,0,0,0,0.0336178744921846,-0.0465320478483826,0.0808882781952663,0,0,-0.00149154907873602,0,0
X000568.SZ,0,0.829057012379481,0,0,0,0,0,0,0,0,0.0417459299232267,0,0,0,0,0,0,0,0,0.150960575110456,0,0,0,0,0,0,0,0,0,0.0597248493807168,0,0,0,0,0,0,0,0,0,0,0,0,-0.116521162071012,0,-1.73472347597681e-18,0,0.160330638499851,0,0,0.00883945146554159,0,-0.00873699436924619,-0.0320096025798816,0,0,0,-0.00943574027124354,0,0
