,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X002236.SZ,X600031.SH,X300003.SZ,X002008.SZ,X600809.SH,X300124.SZ,X600867.SH,X002456.SZ,X601877.SH,X600066.SH,X600271.SH,X000625.SZ,X600487.SH,X000596.SZ,X002294.SZ,X000100.SZ,X600566.SH,X002241.SZ,X000981.SZ,X000661.SZ,X300136.SZ,X300142.SZ,X002508.SZ,X000050.SZ,X002180.SZ,X000157.SZ,X002007.SZ,X002038.SZ,X002179.SZ,X600522.SH,X000977.SZ,X000869.SZ,X600498.SH,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0596929305048102,0.264988248295708,0.0811431358388702,0.115454682199807,0,0,0,0.0607085720128258,0,0,0.0462392441166546,0,0,0,0,0,0,0.10447927606944,0,-0.0182670793801755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351678420574686,0,0.0031641748144427,0,-0.0106942587604095,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.111595720916635,0,0,0.352927188450418,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.0201700145463875,0,0.0363857640640039,0,0,0,0,0,0,0.0806898328781763,0.0552610807606667,0,0,0,0,0,0,-0.0908151555565093,-0.0280094459933041,0,0,0,0,0,-0.056695392029707,0,0,-0.0359593352745654,0,0,0,0,0,0
X002415.SZ,6.93889390390723e-18,0,0,0,0,0,0.108310465308352,0,0,0,0,0,0,0,0.0745234055432192,0.157364652371882,0,0.0599320618021214,0,0,0,0,0,0.0691160557941775,0,0,0,0.269257934000321,0,0.00470846981057519,0,0.147760187443339,0.195289377741639,-0.15245457174544,-0.0383195170939964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162239567907751,-0.00550580951195761,0,0,0,0,0,0
X000858.SZ,0.203183952800509,0,0,0,0.164067337584319,0,0.0157572961980283,0,0,0,0.12288520477852,0,0.128943145197253,0.0676173209431672,0,0.0877654261885999,0,0,0,0.145330261823932,0,0,0,0,0,0,0,0,0,-0.0825954802909996,0,-0.00045600473087816,0,0,0,0,0,0,0,0,0,0,-0.0143088508118834,0,0,0,0,0,0,0,0,0,-0.0109292697946994,0,0,0,0,0,0
X000651.SZ,0,0,0,0.46054581325534,0,0,0,0,0,0.25094176419001,0,0.0612907009138342,0,0,0,0,0,0,0,0.0536932918377487,0,0,0.124727973701072,0,0.0790112259086366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260154843177924,6.93889390390723e-18,0,-0.0771309178487116,0,0,0.0544386762186502,-0.079769452188066,0,0,0,0,0,0,0.062493174235155,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.149943628844431,0,0,0,0,0,0,0.31969977110263,0,0.076322669909732,0,0,0,0,0,-0.0485612494746637,0,0,-0.0346422878157344,0.0829116927297194,0,0.157076078484114,0,0,0.214916134318775,0,0,0,0,0,0,0,0,0,0,0,0.0565066567879686,0,0,0,0,-0.0523660595354937,0.00969433431941047,0,0,0,0,0,0
X002304.SZ,0,0,0.156896094803632,0.0147960337752562,1.38777878078145e-17,0,0,0,0,0.216479056966637,0.139041837774931,0,0.1571215704942,0,0,0,0,0,0,0.0351028236450653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551829411747411,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.024083368934513,0,0.048811215288767,0,0,0.0199821367903418,4.33680868994202e-19,0,0,0,0,0.0102430021060491,0,0,0,0,0,0,0,0,0.151664006456111,0,0,0.137683041526899,0,0,0,0,0.0341048138663005,0,0,0.0818566463160307,0,0,0,-0.125580814927817,0,0,0,0,0,0,0,0.0460614430939483,0,0,0,-0.00995898810458023,0.0299086806655107,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412257258987357,0,0,0,0,0,0,0,0.0089775406236925,0,0,0,0,0,0.325969041015627,0,0,0,0,0,0,0,0,0.0823308230038573,0,0.286840034299856,0.00642923599277648,0.00181879854522279,0,0,0.0932869301834157,0,0,0,0,0.0333237926699409,0,0,0,0.0189391334110963,-0.0385073553946464,0,0,0,0,0,0
X600690.SH,0,0,0,0.421852565285065,0.0335534825500237,0.017295175667739,0.0282774634973814,0,0,0,0,0,0.073619125874913,0,0,0,0,0,0,0.116716212227457,-1.0842021724855e-19,0,0,0,0.0188543134862625,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0534887283523445,0,5.42101086242752e-20,-0.0376810803139502,0,0.037858908262563,0,-0.0972498152898804,0,0,0,0,0,0,0,0,0,-0.0128924217211478,-0.0212975850309538,0,0,0,0,0,0
