,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X002304.SZ,X002475.SZ,X000651.SZ,X600276.SH,X600104.SH,X300124.SZ,X003816.SZ,X000725.SZ,X600031.SH,X300014.SZ,X002129.SZ,X002371.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000596.SZ,X000338.SZ,X002179.SZ,X000625.SZ,X600703.SH,X300142.SZ,X601877.SH,X600089.SH,X000661.SZ,X600741.SH,X002180.SZ,X600460.SH,X000733.SZ,X000100.SZ,X600522.SH,X000157.SZ,X002074.SZ,X600884.SH,X600702.SH,X002236.SZ,X000799.SZ,X600584.SH,X600183.SH,X002414.SZ,X000977.SZ,X601799.SH,X000800.SZ,X600372.SH,X002432.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.191153151220832,0,0,0.0627338085956886,0.142238894315155,0.0548157573493713,0,0,0,0,0.0305276335238048,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.195843925043674,0,0,0,0,0,0,0,-0.0183916486415792,0,0,-0.0520988994783202,0,0,0,0,0,0,0,0,0,0.0186307237960455,0,0,0,0.0256294239620322,0,0,0,0,0,-0.037518387437111,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.365902590194381,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0697132171596989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157845622321871,0,0,0.0380307618310748,0.0859188749002607,0.0143653635689028,0,0,0,0,0,0,0,0,0,-0.0419481041191867,0,-0.0195809189338262,0.0173244130823839,0,0,0,0,0,0
X002415.SZ,0,0,0,0.189473520023316,0,0,0,0,0,0,0,0,0.045414589593271,0,0,0,0,0,0.0897456312936871,0,0.121591410229221,0,0,0,-0.421150576354697,0,0,0,0,0,0,0,0,0,0,0.0620284129501037,0,0,0.161593671979496,0.253906170319083,0.218034433268216,0,0,0,0,0,-0.14577152735076,0,0,0.0308643449220562,0.176670870831991,-0.114365122834445,0.0618946807546266,0,0,0,0,0,0
X600809.SH,0,0.235133806939729,0.0116957261840549,0,0.31198095337633,0,0,0,0,0,0,0,0,0,0,0,0,0.0935684463469453,0,0,0,0,0,0,0,0.153985826980289,0,0,0,0,0,0,0,0.00808477390587405,0,0.02864288757338,0,0,0,0.133136886208052,0,0,0,0,0,0.0522401439047689,1.73472347597681e-18,0,0,-0.0385882550371859,0.0177517065733874,0.0403903639002665,-0.00427905035337152,0,0,0,0,0,0
X000568.SZ,0.0316506459457914,0.314370583371617,0,0.110144298233532,0,0.0583979081376591,0,0,0,0,0,0,0,0,0,0,0,0.0127933083288381,0,0,0.0701981015825826,0.206730219952837,0,0,0,0,2.16840434497101e-19,0,0,-0.0138993764380621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040793535764052,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.22812185562698,0,0.180329436814828,0,0,0.257849171511331,0,0,0,0,0,0.0356346745365832,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.14252805659145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945073366112434,0,0,0,-0.04673356828816,0,0.0466396833835852,-0.00753307237894978,-0.0293543090982869,0,0,0,0,0,0
X002304.SZ,0.203055949423534,0,0,0.0971860569510171,0.062435767090712,0,0,0,0,0,0,0.146689038723253,0.086601347751726,0,0,0,0,-0.133805159310041,0,0,0,0.176678277300004,0,0,0,0,0,0,0,0,0.0196871390284329,0,0,0,0,0,0,0,0,0.253793963144913,0,0,0,0,0,0,0,0.0497162744183272,0,0,0.086179389726123,0,-0.00736477875815156,0,0,0,0,0,0
X002475.SZ,0,0,0,-0.0424052131794062,0,0,0,0,0,0,0,0,-0.150999729874537,0,0,0,0,0.130500302326127,0.305667909922622,-0.0774465282585608,0,0.245636098117443,0,0,0,0,0,0,-0.0812697926350226,0,0,0,0,0,0,0.0842940670778612,-0.249269276589623,0,0.121533663411192,0,0.252769822024513,0,0,0,0,0.0985638402479265,0,0,0,-1.73472347597681e-18,0,0,-0.0596492309442231,0,0,0,0,0,0
X000651.SZ,0,0.0111765908858063,0,0,0,0,0.173872801663671,0,0,0,0,0,0.126516994330823,0,0.144516977999351,0,0,0,-0.01982067950948,0,0,0,0,0,0,0,0,0,0,0,0.0586575969172589,0,0,0,0.0762737107711789,0,0,0,0,0,0,0,0,0,0,0.0667167949885103,0,0.0674644514635683,0,0,0,-0.0097798757352272,-0.0151590335880393,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0440387196852239,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,8.67361737988404e-19,0,0.0485633794945016,0,0.0158577399953148,0,0.30681521433484,0,0,0,0,0.0547521713049623,0,0,0,0,0,0,0,0.0777552337970584,0,0.0782882664888187,0,0,0,0,0,0.0530368189366333,0,0,0.155985384880723,0.112324611104772,0,-0.0756827633868416,0.0608327499789874,0,0,0,0,0,0
