,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X003816.SZ,X300124.SZ,X600104.SH,X002304.SZ,X000625.SZ,X000725.SZ,X002371.SZ,X000338.SZ,X000063.SZ,X600031.SH,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X002241.SZ,X600703.SH,X600372.SH,X000157.SZ,X002129.SZ,X000661.SZ,X002236.SZ,X002049.SZ,X600741.SH,X600584.SH,X601877.SH,X000977.SZ,X002028.SZ,X600522.SH,X600183.SH,X002463.SZ,X002007.SZ,X000800.SZ,X002074.SZ,X300142.SZ,X600460.SH,X601799.SH,X002223.SZ,X002294.SZ,X600418.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.33024040304496,0,0,0.183932029938286,0,0,0.0799954581473559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226417068799153,0,0,0,0.2774124264586,0,0,0,0,0,0.025227440210384,0,0,0.0172795878689433,0,0,0.117233461982815,-0.088188714048021,0,-0.000696131215804253,0,0,0,0,0.102014418170629,0,0
X000858.SZ,0.125565665070432,0,0,0,0.0949366501667167,0.329787801670549,0,0.0705433103428495,0,0,0,0,0,-0.030170617485595,0,0,0,0,0.0627084724612992,0,0,0,0,0,0,0,0,0,0.119651482846161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711693406819188,0,0,0,0,0,0,0,-0.00316110697068386,0.00110485171570303,0,0,0,0,0,0
X002415.SZ,0,0,0,0.191425667112879,0,0,0,0,0,-0.25951318354071,0.120295026001942,0,0.0989392335358682,0,0,0,0,0,0,0.316163479868174,0,0,0.0814389780238149,0,0.0753283326091067,0.00742923641115523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162793432676079,0,0,0,0,1.73472347597681e-18,0.0797296452786736,0,0.0282355359057339,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0816801885844171,0,0,0,0,0,0,0.0696475645912275,0,0,0.109110002514409,0,0,0,0,0,0,0,0,0,0,0,0,0.245478180509855,0.123065816194188,0,0,0,0,-0.116860879997478,0,0.075140746686447,0,0.0476620119274168,0,0,0,0,0,0,0.0607818741432678,0.0935797556484227,0,0,0,-0.000297425550201861,-0.0301448563615948,0,0,0,-0.0584068373592929,0,0
X600809.SH,0,0,0,0,0,0.491908883617736,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.330683063971188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288447617978718,0,0.0793911560719645,0,-0.0560128923260828,0,0,0,0,0,0,0,0,0,-0.0293475169768592,0.0200830907675698,0,0,0,0,0,0
X000568.SZ,0,0.604281039848479,0,-0.0509493390453428,0.31757509892799,0,0,0,0,0,0,0,0.0418035828393477,0.00343336000290184,0,0,0.0577197380331719,0,0,0,0,0,-0.107172776016004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641678156080978,0,0,0,0,0.0782840123488624,0,0,0,0,-0.00328254478204531,0,0,0.000152225534367015,-0.00780434809653014,0,0,0,-0.0698234336103547,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228840931406168,0,0,-0.00682957585493169,0,0,0.0227958203242934,0.00714728859638698,0,0,0,0.458038335238032,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.22668110632441,0,0.28468023290667,0.172433555220534,0,0,0,0,0,0,0.000517891319168181,0,0,0.027628254324223,0,0,-0.0072944838361398,-0.0133463191169494,0,0,0,0,0,0
X600690.SH,0.0181317600173761,0.100116607648444,0,0.0629482379481364,0,0.229064592203613,0,0,0.0574400794277002,0,0,0,0,0,0,0,0.0463809212365351,0,0,0,0,0,0,0,-0.0374562607465573,0,0,0,0.0158001548886134,0.0451885989089022,-0.00861577972151773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290239123886709,-5.42101086242752e-20,0.0269511422951431,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.539072198140029,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197619155697184,0,0,0,0,0.092608304076459,0,0,0,0.0133818493380435,0,0.0885164909941229,0,0,0.131694269049798,0.225568635252195,0,0.0487600316017939,0,0,0.0395551103398902,0,0.0937319648289082,0,0.132953997201314,0,0,-0.0158288988167252,0,0,0.0834936249326203,-0.155060646891855,0,0,0,0,0,0
X003816.SZ,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0601841174070482,0,0,0.114697096003373,0,0,0,0,0,-0.0308266666322435,0,-0.115466005520843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503546983378378,0.0499740651757285,-0.0153196976249594,0.00484069686041849,0,0,0,0,0,0
