,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X000063.SZ,X600276.SH,X600690.SH,X600031.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600703.SH,X600741.SH,X002241.SZ,X600066.SH,X600271.SH,X600582.SH,X600177.SH,X002129.SZ,X002236.SZ,X601877.SH,X600118.SH,X000623.SZ,X000568.SZ,X000550.SZ,X002475.SZ,X000581.SZ,X000559.SZ,X002294.SZ,X300124.SZ,X000869.SZ,X000800.SZ,X300146.SZ,X000050.SZ,X600839.SH,X002456.SZ,X600060.SH,X300003.SZ,X000977.SZ,X000400.SZ,X002465.SZ,X600166.SH,X002007.SZ,X002292.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.140708844660045,0,0,0,0.0514935806587913,0,0.126257985077986,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0124992535081224,0.233610203540896,0,0.203817536457748,0,0,0.0190882417090462,0,0.0176055028134484,0,0,0.0419164591634509,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434459046472506,-0.00704963157452232,0,0,0,0,0,0,0,0,-0.00509119308522991,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.155829733158066,0,0.231682561986085,0,0,0,0,0.0599143706901579,0,0,0,0,0,0,0,0,0,0,0,-0.0114456234369743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0649438612980889,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0193211135732851,0,0,0,0,0,0,0,0,0.268345531894733,0,0,0.0782837897973352,0,0,0,0,0.0340639877774747,0,0,0,0.104752371475511,0.048006025910817,0.214280272321693,0.047792324794613,0,0.205044579571411,0,0,0,0,0,0,0,0.0414545777528348,0,0,0,0.186583951008129,0,0,0,0,0,0.0794503454524964,0,-0.015095300389505,0,0,0,0,0,0,0
X000651.SZ,0,0.139872258574605,0,0,0,0,0,0,0.107954539857706,0,0.0139638687017943,0,0,0.00200703017766285,0,0,0.0936948058311777,0,0,0,0,0.0497937383255405,0,0,0,0,0,0,0,0,0.284303778888797,-0.015474920913467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016058515836399,0,0,0,0,-0.0702858975748843,0,0
X002415.SZ,0,0,0,0,0,0,0,0.104890499421367,0.0869781528981318,0,0,0,0.040820279935667,0,0,0,0.128116488209687,0,0.0881616250351788,0,0,0,0,-0.159904717611449,0,0.061654589124607,0,0,0,0,0.276687922978562,0,0,0,0,0.125352338015045,0,0.108864845817234,0,0,0,0,0,0,0,0.115413639880408,0,0,0,0,0,0.0295501637216096,-0.0180799316029678,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.341548043142277,0,0.112432606746374,0,0,0,0.0812124337141242,0,0,0,0,0,0,0,0.115866934442353,-0.105549682473173,0,0.127221915995757,0,0.095074367804143,0,0,0,0,0,0,0,0,0,-0.055323517668861,0.19935896878659,-0.0254528242523871,0,0,0,-0.0456699258583769,0,0,0,0,0,0,0,0,0,0.0363888128206627,-0.0145623037280037,0,0,0,0,0,0
X000858.SZ,0,0,0.144646621544415,0,0,0,0,0,0.0375947003197096,0,0.14214306539369,0.152717133303175,0,0,0.00767994610913902,0,0,0,0,0,0,0,0,0.100582378323855,0,0,0,0,0,0.0514588282035501,0,0,0,0,0,0,0,0.0421506521133246,0,-1.35525271560688e-20,0.0496545349154408,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0469905502136368,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.19545666636281,0,0,0,0,0,0,0,0,0.0517899423954176,0,0,0,0,0.194432088614091,0,0.0436679324671905,0,0,-0.0114136399178743,0,0,0,0,0.0140956079802176,0,0,0,0,0,0,0.0594876177924423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175645033871601,-0.020946941910008,0,0,0,0,0,0
X000063.SZ,0,0.181121988754256,0,0,0,0.00934269593066703,0,0,0,0,0.00215406669501888,0.0426769864073376,0.039044064953194,0.167084078879982,0,0,0,0,0,0,0,0,0,0.11594079731617,0,0.0768337242107417,0,0,0.238271377686217,0,0,0,0.00917127577567502,0,0,0,0,0,0,0,0,0,0,0,-0.00170930784268342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0495776468455228,0,0,0,0,0.0573195810006292,0,0,0.20730729281498,0,0,0,0,0.026311936219893,-0.0928347563342988,0.0604132381435745,0,0,-0.0766225698227952,0,0,0,0,0,0.106364237872109,0,0,0,0,0,-0.0209765978962528,0,0.053603444179563,-0.0370642250563543,0,0,0,0,0,0.0174847919882352,-0.00284999004659533,0,0,0,0,0,0
