,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X600104.SH,X000568.SZ,X600031.SH,X600809.SH,X000725.SZ,X600690.SH,X000661.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X000338.SZ,X600703.SH,X000625.SZ,X002241.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X600741.SH,X002371.SZ,X000157.SZ,X002007.SZ,X002129.SZ,X002179.SZ,X600584.SH,X601877.SH,X600183.SH,X002049.SZ,X002236.SZ,X002414.SZ,X300142.SZ,X000800.SZ,X601799.SH,X300003.SZ,X000066.SZ,X300136.SZ,X002185.SZ,X002008.SZ,X000977.SZ,X002456.SZ,X300146.SZ,X600118.SH,X600066.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.36550487247917,0,-0.0713474610476719,0,0.0889732184617476,0,0,0,0,0.211319503120537,0,0,0,0,0,0,0,0,0.0206170643740623,0,0,0,0,0,0,0,0,-0.128723188455448,0,0,0,0,0.00791507927400876,0,0,0.0976354617614636,0,0,0,0,0,0,-0.0605451786462705,0,0,0,0,0,0,0,0.0296219987054043,0,0,0,0,0.0233819747184224,0,0
X000858.SZ,0.0249232084632215,0,0,0,0,0,0.157126795170362,0,0,0.00403126197036275,0.316837942007078,0,0.0562147118767626,0,0,0,0,0,-0.0475105892200328,0,0,0,0,0,0.0170474399810721,0,0,0,0,0,0,0,0,0,0,0,-0.00793730925689541,0,0,0,0,0,0,0,0,0.0378320416769043,0,0,0,0.012724753600257,0,-0.0278084747678894,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0896677449684417,0,0,0,0.112631655926586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706821697940434,0,0,0,0,0,0,0.0303651301200514,0,0.0218361579567883,0,0,0,0,0.0325083438581113,0,0,0,0,0,0,0,-0.161444525714182,0,0,-0.0391402500955042,0,0,0,0.00829798383206268,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.195128263822713,0,0,0,0,0,0,-0.00748898173905331,0,0,0.0141122709421946,0,0,0.0825044976599567,0,0.0572370297542557,0,0,0,0,0,0,0,0,0.128259856479087,0,0,0,0.0354988139072196,0,0,0,0,0,0,0,0,0,0.0323490888659825,0,0,-3.46944695195361e-18,-0.011780675319339,0,0,0,-0.00587419008486162,0,0
X000651.SZ,0,0,0,0,0,0,-0.0140158482872575,0.0846947310335219,0,0,0,0,0.213687435913046,-0.0283697869058508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244654155447379,0,0,0,0,0,0,0.103644085372663,0,0,0,0,-0.0259893322864471,0,0,0,0,0,0,0.0206759400320437,0,0,0.0153407538272675,-0.0254440026600054,0,0,0,-0.00112490159189165,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.0816124783192842,0,0,0,0,0,0,0.103770059754288,0,0,0,-0.0385815937757426,0.577125351264143,0.0392344698917107,0.0697789039718396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420829145567474,0,0.0146122473518085,0,0.0120357935591754,0,0,0,0,0,0.00758790294206524,0,0,0,0,0.00979695741466947,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.215423198716971,0,0,0,0,0,3.75248678018609e-05,0,0,0,0,-0.102008258082074,0,0.204107000581182,0.102249948820607,0,0,0,0,0,0,0.165636312510362,0,0,0,0,0,0,0,0,0.167343079425418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038681585297316,0,0,0,-0.0293783943473085,0,0
X600104.SH,0,0,0,0,0.0186189327566852,0,0,0,0,0,-0.081503529381722,0,0,0,0,0,0,0.198603725879162,0,0.149886769481658,0,0,0,-0.0241176757771562,0.151050309090076,0.114300423086382,0,0.0851854407959104,0,0,0,0,0,0.0301142046882226,0,0,0.0419343752417585,0,0,0,0,0,0,0.0653664803530115,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295118833096541,0,0
X000568.SZ,0,0.27964867002666,0,0,0,0,0.219871342104856,0,0,0,0.284718391295866,-0.0798779283975382,0,-0.0913546369802206,0,0,0,0,0,-0.0366321848961716,0.139486237475517,0,0,0,0,-0.0436739232866974,0,0,0.00792337934543101,0,0,0,0,0,-0.0986314959339505,0,0,0,0,0,0,0.0484098916943502,0,0,0,0,0.425337126732973,0,0,0,0,0.0173201377134004,0,0,0,0,0.0161308021781666,0,0
X600031.SH,0,0,0,0,0,0,0,0.00622204642480287,0,0,0.113375877309926,0,0,0.25786848249491,0,0,0,0.324636240168428,0,0,0,0.0546908365207181,0,0,0,0.039855701073326,0.288878211023033,0.011308950468501,0.0950857341223484,0,0,0,0,0,0,0,0,0.0659458747598574,0.0614807773219255,-0.101994414902511,-0.100458121133069,0,0,0,0,0,0,0,0,0,0,0.0415392902864323,-0.0365121036785485,0,0,0,0.00526356992809239,0,0
