,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300124.SZ,X002371.SZ,X300014.SZ,X600703.SH,X000338.SZ,X000625.SZ,X000063.SZ,X002129.SZ,X002241.SZ,X002049.SZ,X300142.SZ,X003816.SZ,X601877.SH,X002179.SZ,X000661.SZ,X000596.SZ,X000100.SZ,X600460.SH,X000157.SZ,X600741.SH,X002414.SZ,X002074.SZ,X600702.SH,X002236.SZ,X002007.SZ,X000799.SZ,X600089.SH,X600584.SH,X600779.SH,X600183.SH,X601799.SH,X000733.SZ,X000800.SZ,X600884.SH,X300146.SZ,X002008.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.211808502437022,0,0.0723860391934149,0,0,0,0,0.0937131381771048,0.00279225379897625,0.034129487469375,0,0,0.0361598798100423,0,0,0,0,0,0,0.0939928366142991,0,0,0,0,0,0,0,0,0,-0.0164294929328508,0,0,0,0,0.0622981574786125,0,0,0,0,0,0,0,0,0,0,0,0.0655890612336231,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.102109835118651,0,0,0,0.254547817566136,0,0.1088434355656,0,0,0,0,0,0,0,0,0,0.0929488536221785,0,0,0,0,0,0,0.00742515530234051,0,0,0,0,0,-0.119339418410224,0,0,0,0,0.0833791524266958,0,-0.0820881565600987,0.181823513208008,0,0,0,0,-1.73472347597681e-18,0.0213320885997783,0,0,0,0.00690034865573692,1.0842021724855e-19,0,0,0,0,0,0
X002415.SZ,0,0.0776822776871795,0,0,0.0874574792262894,0.049135903218574,0,0,0.0723428416202449,0,0.0183958694030637,0,0,3.46944695195361e-18,0,0.132518058306512,0.101610248666973,0,0,0,0.0268483283095944,0,0,0.0645628044652743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991803350008512,0,0,0.0436755001210792,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.177903438065666,0.140290836599352,0,0,0,0,0,0,-0.0394498490067958,0,0,-0.1130199426053,0,-0.028299349693966,0,0,0,0,0,0,0,0,0,-0.0394618038017429,0,0,0,0,0.144101714617532,0,0,0.47166250790558,0,0,0.0307084050047069,0,0,0,0,0,0,0,0,0,-0.0573906700293344,0.0816849139303104,0,0,0,0,0,0
X600276.SH,0,0.351968439354716,0,-0.227751120794238,0,-0.0355598902476298,0,0.0431449276399214,0,0,0,0,0,0.156818976361587,0,0,0.107747244561764,0,0,0,0.0385350197283866,0,-0.330570368914593,0.0875079001194563,0,0.00621537189024659,0,0.049570970163627,0,0,0,0,0,0.0409435364401144,0,0,0,0,0.274075435463562,0,0,0,0,0,0,0,0.0981974893874683,0,-0.125605787748162,0,0,0.0224376681337635,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0412355275840513,0,-0.0745826957227382,0,0,0,0,0.0367218232934824,0,-1.73472347597681e-18,0,0,0,0,0.350087127676778,0.0761630900663578,0,0,-0.0332919682926323,0,0,0,0,0.125062633093435,0,0,0,0,-0.00644137785243306,0,0,0,-0.129347081334691,0,0,0,0.22270455228004,0,0,0,0,-0.0504022557852306,0,0,-0.0159823432163086,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0745995377402477,0,0,0,0,0,0,0,0,0,-0.037034718495738,0,0,0,0,0.142965514297934,0,0,0,0,0,0,0,0.114559728252087,-0.0290206288039521,0,-0.0186345852867305,0,0,0,0,0,0,0,0,0,0,0.0712651477498542,0,-0.0539526396138389,0,0,-0.0597736211273055,0,0,0,0,-0.0852686279845071,0.151661065057402,0,0,0,-0.0843124372692477,0,0
X002304.SZ,0,0,0,0.422551442635606,0,0,0,0,0.426976468801653,0,0,0,0,0.0199343549930626,0.0764414067564719,-0.212900696083687,0.171674384699324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144036123217785,-0.073401225935429,0,0.0372429326379201,0,0,0.0996383120283281,0,0,0,0.026123299275134,0,0,0,0,0.0943191885611736,0,-0.0699640752825042,0,0,0,0,0,0,0
X000568.SZ,0,0.415935232533234,0,0.147608340179353,0,0,0,0.134375735675515,0,0,0,-0.191013713289062,0,0,-0.0127993842146846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116126763068711,0,0,0,0,0,0,0,-0.00240649348677934,0,0,0,0,0.0405425312246923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.105182139456471,0,0.118437272275645,0,0,0.110677922817165,0.112018213180516,0,0,0,0,0,-0.02192978126551,0,0,0,0,0.0401568269779299,0,0,0,-0.0152968821958814,0,0,0,0.097866916848454,0,0,0,0.0294222656048384,0,0,0,0.00582338206070501,0,0,0,0,-0.00539155976245634,0.0637657246787342,0,0,0,0,0,0,0,0,0,-0.0703683424338367,0,0,0,0,0,0,0
