,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X002475.SZ,X600703.SH,X600031.SH,X000568.SZ,X000063.SZ,X600741.SH,X000338.SZ,X300003.SZ,X600271.SH,X002236.SZ,X002008.SZ,X601877.SH,X300124.SZ,X002456.SZ,X600867.SH,X600809.SH,X600487.SH,X000596.SZ,X000100.SZ,X000661.SZ,X600566.SH,X000625.SZ,X600498.SH,X000977.SZ,X600066.SH,X002294.SZ,X300136.SZ,X000157.SZ,X002179.SZ,X300142.SZ,X002180.SZ,X002007.SZ,X000981.SZ,X300146.SZ,X002241.SZ,X000050.SZ,X002049.SZ,X600522.SH,X000869.SZ,X600779.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.385636278230479,0,0,0,0,0,0,0,0.0205243174015812,0,0,0,0.0241763248886767,0,0,0,0,0,0,0,0.00929869532342252,0,0,0,0.0703129663813745,3.46944695195361e-18,0,0,0,0,0,0.07676488759045,0,0,0,0,0,0,0,0.0522336764789241,0,0,0,0,0,0,0,0.00476770615408763,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.0683441299392992,0,0,0,0,0,0.134074827223795,0,0.0283089042105625,0.268458138197591,-4.33680868994202e-19,0,0,0,0.0665745591519016,0,0,0,0,0,-0.10116770446761,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786977107789017,-0.0743479277647866,0.106454480765653,0,0,0,0,0,-0.0213104967231593,0,0,0,0.0962549781676691,0.0182663567587805,0.0455387074603419,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.25644438091037,0,0,0,0,0,-0.102434071858268,0,0,0,0,0.192162997220072,0,0,0,0,0,0,0,0.0887542318914336,0,0,0,0,0.159970045491671,0.0401993161426126,0,0,0.0428767631835006,0,0,0,0,-0.0251227930419272,0,0,0,0,0,0,0.0377719493639367,0.0204340158375806,0,0.0782416331668376,0.0204334270603659,0.0399247110963385,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0919054170592172,0.0626118981163264,0,0,0.137612501913945,0,0,0,0,0,0,0,0,0.0116471044442584,0,0.0940809599382879,0.0913119957935858,0,0,0,0,0.408145917151263,0,0,0.0495752289741338,0,0,0.129008263290638,0,0.100373589109856,0,0,0,0,0,0.172627607309245,0,0.209163630520781,0.0178326124554774,0.00388416197741172,0,0,0,0,0,0
X000858.SZ,0.219091046096544,0.0991217010273389,0,0.000805615792105962,0,0,0.309239798062376,0,0.0313376648630241,0,0,0,0.0279000094679824,-0.0356322238175322,-6.93889390390723e-18,0,0,0,0.11518722165732,0,0.148685703151681,0,0,0,0,0,0.145441312353646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0440478110957128,0,0,0.0105266538962908,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.186453182959916,0,0,0.0283209383046205,0,0.0449204060584561,0,0,0,0,0,0.129429432905676,0,0.112016678761012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0825934416400341,0,0,0,0,0,0,0,0,0,0,0,0.0208424894380956,0,0,0,0,0,0
X002304.SZ,0,0,0,0.00830660118820696,0.107536179502472,0,0,0,0,0,0,0,0.28591141403878,-0.0764717934268282,0,0.0806147071160207,0.0654780609511061,0,0,0,0,0,0,0,0.0896141973604806,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.342538482132686,0,0,0,0,0,0,0,-0.112165018616304,0,0,-5.42101086242752e-20,0,0,0.0553064270514864,0,0,0.0213672255599013,0.0297230679597529,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284910374724469,0,0.113450226805534,0,0,0,0,0,0,0,0,0.299019830232046,0,0.0289978382355786,0,0,0.111416720859843,0,0,0,0,0,0.0100922734919115,0,0,0.148954477327128,-0.126308087844259,0,0.0120130182671452,0.0185464571837617,0.20935992637982,0,0,0,0,-0.000185174991210834,-0.0113368847802758,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.34276456198778,0.216616704920307,0,0,0,0.0706010665126659,0,0.0604223146820154,0,-0.104434792969798,0,0,0,0,0.0238069439182294,0,0,0,0.0973852509547588,0.108878707725735,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.0776393266415061,0,0,0,0,0.214423188141604,0,0,0,0,0,0,0,0,0,0.098883976758166,-0.0309638032559592,0,0,0.00446992606387797,0.0116632545773227,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0834554616360225,0,0,0,0,0,0,0,0,0,0.0102039314038167,0,0,0,0,0.00892184081063811,0,0,0.613396255538834,0,0,0,0,0,0,0,0,0,0,0.0555538827604757,0,0.0121186615289944,0,0,0,0,0.141834006898232,0,0.0617032473266815,0,0,0,0,0,0,0,0,0.0120540768259045,0.00212055809520195,0,0,0,0,0,0
