,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X000063.SZ,X000858.SZ,X002304.SZ,X600276.SH,X600690.SH,X600031.SH,X000100.SZ,X600372.SH,X600271.SH,X600118.SH,X000338.SZ,X002129.SZ,X000157.SZ,X600703.SH,X600089.SH,X002241.SZ,X600741.SH,X600177.SH,X002236.SZ,X002292.SZ,X600582.SH,X600066.SH,X000800.SZ,X601877.SH,X300124.SZ,X600060.SH,X002475.SZ,X600839.SH,X000977.SZ,X000581.SZ,X000623.SZ,X000869.SZ,X002456.SZ,X002294.SZ,X002465.SZ,X000559.SZ,X000568.SZ,X600435.SH,X000550.SZ,X002007.SZ,X600867.SH,X300003.SZ,X300146.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.146908638632567,0.0250701608956621,0,0,0,0,0,0,0,0,0,0,0.233372065606635,0,0,0,0,0,0,0,0,0,0,-0.00950929285386542,0,0,0,0,0,0,0,0,0,0,0,0.0559409941117465,0,0,0,0,0,0.00240694107971411,0,0,0,0,0,0,0,0,0,0.0383281547023527,0,0,0,0,0,0
X600104.SH,0,0,0.173431983417392,0.107058911556118,0,0,0.122132023653327,0,0,0,0,0,0,0,0,0,0,0,0,0.00893079656899723,0,0,0,0,0.0608047860518145,0,0,0,0,0,0,0,0,0,0,0,0.0141579530737206,0,-0.00393305595635519,0,0,0,0.0926133596840785,-0.00906042129870301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0.230477031206844,0,0,0,0.0297867931056886,0,0,0,0,0.0623300436566021,0,0,0,0,0,0,0,0.0303226609361034,0,0.0815520250521408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101975482752798,0,0,0,0,0,0,0,0.0269961307809547,0,0.215427532119673,0,0,0,0,0,0,0.0076777869526943,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0511532016751593,0,0,0,0.140838254721156,0,0,0.0981804871291223,0,0,0,0,0,0,0.101694751141341,0.0612002069152712,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.155676220512895,0.0444476817099213,0,0,0,0,0.030000424324667,0,0,0.0532010233295357,0,0.234061709749354,0,0.1948904012353,0,-0.0255128660401141,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0343616701979822,0.118024132677673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18233389405144,0,0,0,0,0,0,0,0.0825372207941049,0,0,0,0,0.254444964417015,0,0,0,0,0,0,0,0.385687968214108,0,0,0,0,0,0,0.00814588183449889,-0.017177519310574,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0860760160563959,0.313940069931219,0,0,0,0,0,0,0,0,0,0.0225922292258186,-0.171024599792769,0.0757946940365865,0,-4.33680868994202e-19,0,0,0,0.0934079431882524,0,0,0,0,0,-0.00898158973102571,0,0,-0.0393550861444622,0,0,0,-8.67361737988404e-19,0,0,0.0597124180223797,0,0,0,0.0893713095144451,0,0,-0.0987371745763525,0,0,-0.026126921233952,0,0,0.00517942078008768,0.0205135276786057,0,0,0,0,0,0
X000063.SZ,0,0,0.0555335715687476,0,0.0953669198437954,0.0303618737705396,0,0,0.0437167152881528,0,0,0,0.0761566595748071,0,0,0,0.00376119429524599,0,0,0,0,0,0,0,0.0330533431725821,0,0,0,0,0,0,0.0267416563344148,0,0.0540279226866966,0.0404024582927405,0,0.00658534311386708,0,0,0,0,0.0652878555945782,0.147615801649572,0,0,0,0,0,0,0.186362047149672,0,0,0.026313436353109,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,8.67361737988404e-19,0,0.130458924142795,0,0.0519456822143234,0,0.0421835789786857,0,0,0,0.0354924250615417,0,0.0204834159925035,0,0.0312323965801245,0,0,0.0241111192713459,0,0,0,0,0,0,0,0,0,0.04645997333779,0,0,0,0.101685181798967,0,0,0,0,0.2588416104089,0,0,0,0,0,0.0977085339780572,0,0,0.00885894370208412,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.137175498596121,0.570528211283449,0,0,0,0,0.0107136489844409,0,0,0,0,0,0,0,0,0,0,0.0323563459453469,0.0445307975560145,-0.0533497682388699,0.0130409797054314,0.159077093051745,-0.00668684492850482,0,0,-3.46944695195361e-18,0,0,0,0,0,0.105644916345886,0,0,0,0.00246558019173181,0,0,0,0,0,0,0,0,0,0.0107576307813309,0,0,0,0,0,0,0
X600276.SH,0,0,-0.00937513960938892,0,0,0,0,0,0.0467834377505189,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0508191023995856,0,0.0445504347336319,0,0,-0.0523795657616673,0,0,0,0.0394908182435226,0.110422624284237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182337488133901,0.0252695641204051,0,0,0,0,0,0
