,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002292.SZ,X600741.SH,X000100.SZ,X600066.SH,X600031.SH,X002236.SZ,X002506.SZ,X600118.SH,X002241.SZ,X000559.SZ,X002475.SZ,X000157.SZ,X600372.SH,X002074.SZ,X000568.SZ,X600177.SH,X300003.SZ,X000338.SZ,X002085.SZ,X300124.SZ,X002294.SZ,X600089.SH,X002426.SZ,X002456.SZ,X600867.SH,X002465.SZ,X600498.SH,X601877.SH,X600699.SH,X000050.SZ,X000869.SZ,X300001.SZ,X002049.SZ,X002180.SZ,X002007.SZ,X000981.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.228803909146942,0,0.124602693114008,0.299508124022804,0,0,0,0,0,0,-0.0335396616464672,0,0.0398340235223706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117904811440735,0,0,-0.105358562225668,3.46944695195361e-18,0,0,0,0,0,-0.0494110910293198,0,0,0,0,0,-0.00982196635741024,0.0179760563129596,0,0,0,0,0,0
X600104.SH,0.0896381591513797,0,0.13325189336253,0,0,4.33680868994202e-19,0,0,0,0,0,0,-0.00478758694721157,0.378701716196761,0,0,0,0,-0.0311805447010661,0,0,0,0,0,0,0,0,0,0,0,0.00221776772414854,0,0,0,0,0,0,0,0,0,0,0,0,0.00862246884530468,0,0.0634227934356469,0,0,0,0,-0.00771425365287807,0,0,0,0,0,0,0
X002415.SZ,0,0.0712739919626388,0,0,0,0,0,0,0,0,0,0,0,0,0.245604568416682,0,0,0,0.0402277197117853,0,0,0,0,0,0,0.158933944606185,0,0,0,0,0,0,0,0,0,0.0580147347960213,0,0,0,0,0,0.0416087804175736,0.105123613560528,0,0,0,0,0,0.0274697370064671,0,0.0507749621886164,0,0,0,0,0,0,0
X000651.SZ,0.00102247335930822,0,0,0,0,0.0129209752330879,0,0,0.033607873870081,0.107604549863713,0,0,0,0,0,0,0,0.0141511609584698,0,0,0,0,0,0,0,0,0.0127037522067273,0,0,0,0,0,0,0,0,0,0,-0.0480924949052183,0,0.0383718016067703,0,0,0,0.034468923134735,0,0.242200060878525,0,0,0,0,0.0679054069339257,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199955899688595,0,0,0.0133828994249481,0,0,0,0,0.147261797206701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425289969795118,0,0.0339774891661485,0,0.0344940238442529,0,0,0.0811109767005591,0,0.0316052557370216,0,0,0,0,0,0,0
X002304.SZ,0.207965741675035,0,0,0,0.327088679006061,0,0,0,0,0,0,0.201314250027358,0,0,0,0,0,0.013530695613804,0,0,0,0,0,0,0,0,0.143050235761895,0,0,0,0,0,0,0,0,0.0406982724359325,0,0,0,0,0,0,0.0109316611145751,0,0.0392535867457058,0,0,0,0.0239964610610575,0,-0.00491897541948994,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520296912026887,0,0.337709834529619,0,0,0,0,0,0,0,0.0159470568608371,0,0,0.0337193114430477,0,0,0,0,0,0,0,0,0,-0.0256241473585115,0,-0.00786198251147913,0,-0.0167044587214078,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0130077074830001,0,0,0,0,0.0333353255202566,0.0592294842902866,0,0,0.220872219012075,0,0,0,0.0616638416566603,0,0,0,0,0,0.00617044387309964,0,0.102963303572179,0,0,0,0,0,0,0,0.0722133445539109,0,0,0,0,0,0,0.156519282655686,0,0.0220089526434049,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.158089396440904,0.0394835502938141,0,0,0,0,0,0.0739584393750903,0,0,0,0,0,0,0,0,0,0,0.0128118274528777,0,0,-0.00103644387126247,0,0.0989689681531937,0,0,0.0270246144413856,0,0,0,0,0,0,0,0,0,0,0.0819815850987329,0,0.0337632474887754,0,0.0216314973253745,0.210627797255116,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0.0977118127319299,0,0,0,0,0,0,0,0.0761774056738906,0,0,0,0.0381787483519683,0,0,0,0.0147262704267997,0,0,0,0,6.93889390390723e-18,0.117041002873422,0,0,0,0,0.307337826669947,0,0.0681315349918214,0,0,0,0.245802683434713,0.0560984628124608,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0562296940900764,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490154944340254,0,-1.73472347597681e-18,0.172523099623807,0,-0.042809407728068,0,0.00610512701876941,0,0.0678381963264174,0,0,0.00920976484650206,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.198917757360816,0,0,0,0.0562692808762105,0,-0.102601954686926,0,0,0,0,0.0902054588451947,-0.373574095570845,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0240040741158595,0,0,0,0,0,0,0.0314021076343577,0,0,0.0573489859430472,0,0,0,0,0,0,0,0,0,0.0511252896212558,0,0,0,0,0.0818456398509464,3.46944695195361e-18,0,0,-3.46944695195361e-18,0.0759708351952221,0,0,0,0,0,0.081787564079092,0,0.111605342772444,0,0,0,0,0.295928224595498,0,0.000752873177054736,0.00971031846465758,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135812084400616,0,0,0,0.080704782803208,0,0,0,0.0736734523910485,-0.0473017530132513,0,0,0,0,0.0474914601847979,0,0.21759902841517,0,0,0,0.229462785725215,0,0.437295845578818,-0.0808312595855332,0,0,0,0,0,0.0857762977868165,-0.117299245487365,0,0,0,0,0,0
X600741.SH,0,0.231470133069372,0.151568628361005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150970146313101,0,0,0.0232838228578381,0.0344492885466053,0.00868593257678789,0,0,0,0,0,0.06123117665973,0,0,0,0.0107840180043722,0,0,0,0,0,0,0,0,0,0.0955867899303082,0,0,0,0,0,0,0,0,0.011312543202034,0,0,0,0,0,0,0
X000100.SZ,0,0,0.0681527532197543,0,0,0,0,0.261935525790645,0.121346870011387,0,0,0,0,0,0,0,0,0,0.0718965300858318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130047515076398,0,0,0.100214014372203,0.0451015631342831,0,0,0,0,0,0,0,0,0,0,0.010855189891643,-0.0444289216688546,0,-0.0270870329772368,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0,0.392887691336957,-0.0518903221966124,0,0,0,0,0,0.0296162358695622,0,0,0,0,0,0,0.0857227042488093,0,0.229597155419774,-0.0315479109867623,0,0,0,0,0,0,0,0,0,0.0765670201472354,-0.0568645316957639,0,0,0,0,0,0.032371151728784,0,0,0,0,0.00531988147310284,-0.0652040661353613,0,0,0,0,0,0
