,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X000559.SZ,X000100.SZ,X600271.SH,X600066.SH,X600372.SH,X002241.SZ,X000157.SZ,X002292.SZ,X600741.SH,X002236.SZ,X002475.SZ,X600089.SH,X000338.SZ,X300124.SZ,X002465.SZ,X002506.SZ,X600177.SH,X000568.SZ,X300003.SZ,X002074.SZ,X600839.SH,X002129.SZ,X000977.SZ,X002294.SZ,X600582.SH,X000547.SZ,X600867.SH,X002049.SZ,X002276.SZ,X000800.SZ,X000623.SZ,X002008.SZ,X600498.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0904191281545817,0,0.151317717293367,0,0,0.14362987365429,0,0,0.0104045062141232,0,0,0,0,0,0,0,0.0749529427759873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213757211914488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0864331484073081,0.125120358260906,0,0,0,0,0,0
X600104.SH,0.0915365397434979,0,0,0,0,0,0,0,0,0.294576134623537,0.302859530518742,0,0.0965167933590431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019116525174718,-0.0291244614158156,0,0,0,0,0,0,0,0,0,0,0,0,-0.00464415859089251,-1.73472347597681e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19358057608441,0,0,0,0,0,0.108552705175221,0,0.0272692581151274,0,0,0.151160786933292,0,0,0.204198482290013,0,0.0532735874967709,0,0,0,0,0,0,0.117805611331105,0,0,0,0,0,-0.0446744608980337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.026951446945651,0,0,0,0,0,0,0,0,0.0208330603009383,0.246974949272821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143230886772283,0,0.227128299621541,0,0.00422827522391543,0,0,0,0,0.170559150344337,0,0,0,0,0,0,0,0,0.0619664894477576,0,-0.0145007230145884,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015678571100361,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0318679675557301,0,0,0.0460100496342526,0,0.0416400116966094,0,0,0,0,0,0.00697849398108786,0,0.0364770726104318,0,0.401216834109088,0,0,0,0,-0.0628964930228513,0,0,0,0,0,0,0
X002304.SZ,0,0.124359834438546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608521680964286,0,0,0,0.332324939166855,0.189678928697306,0,0,0,0,0,0,0,0.0101404159864283,0.0537218025394675,0,0,0,0,0,0,0.0236275050717163,0,0.0113840704772711,0,0,0,0,0,0,0,-0.0133081635552584,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0533540992519029,0,0,0,0,0.113098535788254,0.127920642995513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0955534121254702,0,0,0,0,0,-0.0484586962178794,0,0,0,0,0,-0.0805798846921247,0,0.0967414727709606,0.0576232535258311,0,0,0,0,0,0,0,0.050085647272437,0,0,-0.0750802579555508,0.0945682618463087,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0881258220431623,0,0,0,0,0,0,0,0,0,-0.0740214380245941,0,0,0,0,0.0574968251737057,0,-0.134466627604672,0,0,0,0,0,0.04323457400321,0,0,0,0.0379252017702083,0,0,-0.0111116357008464,0,0,0.117537287272399,0,-0.0357460024416763,0.0751026728056028,0,0,0,0,-0.0748689818741174,0,0.0312587307206493,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.139637795950239,0.0676508233478808,0,0.131856484340824,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.178296426586683,0,0,0,0,0.108833789212974,0,0,0,0,0,0.08344117170266,0,0,0,0,0.0847924591772534,0,0,0.0112167177258134,0,0.0339171603393299,0,0,-0.00112836432257269,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.0430957641511276,0,0,0,0,0,0,0,0,0,0,0,0,0.0683028070508678,0,0,0,0.253894371939247,0,0.00366178540180478,0,0,0,0,0,0,0,0.00191239155630727,0.00798294759742317,0,0.138615649465239,0,0,0,0,0,0.0814324119621348,0,0.142825951071593,0,0,0,0,0,-0.0139949968997011,0,0,0,0,0,0,0
