,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000661.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000725.SZ,X600809.SH,X003816.SZ,X002241.SZ,X000338.SZ,X300142.SZ,X600703.SH,X002007.SZ,X600690.SH,X300014.SZ,X000596.SZ,X002371.SZ,X300124.SZ,X000100.SZ,X002049.SZ,X300003.SZ,X600584.SH,X601877.SH,X002129.SZ,X600741.SH,X600183.SH,X000157.SZ,X002236.SZ,X000800.SZ,X002414.SZ,X000977.SZ,X000066.SZ,X300136.SZ,X000625.SZ,X002456.SZ,X002179.SZ,X002185.SZ,X002008.SZ,X600118.SH,X002463.SZ,X601799.SH,X002180.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.364112303497999,0,0,0,0,0,0,0,0,0,0.0588722804234144,0,0,0,0,0,0.0850551476057185,0,0.00598370337757012,0.0165468486233801,0,0.0281625114975417,0,0,0,0.054970429394066,0,0.0250471918180961,0,0.0242791281992432,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.00493461105611871,-0.00491632483560192,0,0,0,0,0,0
X000858.SZ,0.162046982300898,0,0,0,0,0,0,0.17204263815883,0,0,0,0.132229420923813,0,0.308205714011889,0,0.127139757895098,0,0.00661500884221599,0.0195101475359174,0,0,0,0.0609724325566277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337894832818323,0,0,0,0,0,0,0,0.0269993320607534,0,-0.00876276238987907,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0718662023479224,0.193506278717578,0,0,0,0,0.0257739164731676,0,0,0,0,0,0.02158209395972,0,0,0,0.084916917535983,0,0,0.064813044595266,0.183857606025923,0,0,0,0,0,0,0,-0.0652084282300874,0,0.0642634139033546,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113158074944598,-0.0119571481000082,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292539021753762,0,0,0,0.0871424019730712,0,0,0.113105866098514,0,0,3.46944695195361e-18,0.0135193462200401,0,0.0431144167705182,0,0,0,0.174053011528956,0,0,0,0.00148189335924395,0,0,0,0,0.047794027639274,0,0,0,0,0,0,0,0.0125052065193834,-0.0349069725917473,-0.00284610241361984,-0.0297268474493337,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0120522047197368,0,0,0,0,0,0,0,0,0.0618617550617302,0,0,0,-0.0295440253737876,0,0,0,0.373539980596926,0,0,0.257659204002295,0,0,0,0,0,0,0.0425388457520654,0.0380788208494687,0,0,0,0,0,-0.0387517196415197,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.00645481122000792,0,0,0.106821047487134,-0.0553194210289169,0,0,0.0632972472701581,0,0,0,0.0151318212687453,0.0704760351235869,-3.46944695195361e-18,0,0,0.0014873200752387,0,0,0,0,0.0371812132344995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803022011205282,0,0,0.043653884049251,0,0,0,0,0,0,0.0121996120781131,-0.0260373364170699,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.0535211076677148,0,0,0,0,0,0,0,0.141847395263883,0,0,0,0.111372889724073,-0.0310665069435789,0,0,0,0,0,0,0,0.0267680281647429,0,0,0,0,0.158937333555435,0.0757684074037015,0,0,0.0335321877035808,0,0.109059726867967,0,0,0.110585389834929,0.00146972710865386,0,0,-0.123724092329467,0,0,-0.086809603868668,-0.0168361300288183,0.0120849368711721,0,0,0,0,0,0
X002304.SZ,0,0.228308963709353,0,0,0,0,0,0,0,0,0,0.402684913704351,0,0.00860300607982543,0,0,0,0.0310641533803011,0,0,0,0,0.15185048103068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215857258483159,0,0.00594574498402908,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109756740617179,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.15573859110276,0,0,0,-0.113180397630579,0,0,0,0,-0.0734644400812514,0.155344220043378,0,0,-0.0446772517138828,0,0,0.171825407325432,0,0,0,0,0,0,0,0.0483331461558739,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.115903569421174,0,0,0,0,0,0,0,0,0,0,0.0541527734836467,0,0.0170492957945684,-0.0358673282638078,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,-0.0673882475929692,0,0,0,0,0,0,0,0,0,0.0209911183498787,0,0,0.00950903132464113,-0.0727674823449206,0.0374418028582019,0,0,0,0,0,0,0,0,0,0.214689944870046,0.142764200261269,0.0257564514004419,0,0,0,0,0,0,0,0,0.152119436924937,0,0.0889208545596089,0,0.361258596165235,0,0,0.0171783567770863,-0.0312080346169904,0,0,0,0,0,0
