,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600690.SH,X600276.SH,X002304.SZ,X002475.SZ,X600104.SH,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X003816.SZ,X002371.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002241.SZ,X000063.SZ,X002049.SZ,X000596.SZ,X600703.SH,X300142.SZ,X000625.SZ,X002179.SZ,X600089.SH,X601877.SH,X000100.SZ,X000661.SZ,X600460.SH,X600741.SH,X002180.SZ,X000157.SZ,X600884.SH,X000733.SZ,X002236.SZ,X600702.SH,X000799.SZ,X600522.SH,X002074.SZ,X600584.SH,X600779.SH,X002414.SZ,X000800.SZ,X000977.SZ,X600183.SH,X600563.SH,X002432.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0855125449710635,0,0,0.0616934265493513,0.286467748729063,0.0102170407118881,0.130342358560058,0,0,0,0,0,0.0125411875227185,0,0,0,-0.143119160659469,0,0,0,0,0.0838916688353563,0,0,0,0,0,0,0,-0.0538129575684936,-0.00853798341477292,0,0,0,0,0.10802616003363,0,0.13541822154172,0,0,0,0,0,0,0,0.0420012371769203,0,0,0,0,0,-0.0232772935742394,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0278352282986402,0.21992471651951,0.190832626278971,0,0.100524858019227,0,0,0,0,0,0,0,0,0,0,0,0,0.0674906276675433,0,0,0,0,0.0598153132985845,0,0,0,0,0,0,0,0,0,0.0105367045902502,0,-3.46944695195361e-18,0.0520950944733506,0,0,0.0145214498574192,0,0,0,0,0,0,0,0,0,-0.00956619446231946,0.0146420205666678,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0211303698823068,0,0,0,0,0,0.091804704723094,0,0,0,0.092601802456155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104579632257129,0,0.0480015672974157,0,0,0.0842859211372767,0,0,0,0,0,0,0,0.215394459079028,0,0,0.00319726361813524,0,0,0.0114124538139373,0,0,0,0,0,0
X600809.SH,0,0.241424003086192,0,0,0.519329966024377,0,0,0,0,0,0,0,-0.0363672877720761,0,0,0.00806933812662085,0.0522593085841948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052472529693613,0,0,0.0198319552967374,0,0.159330839244072,0,0.0376031039904436,0,0,0,0,0,0,0,0,-0.0387296859358692,0,0.0582810320094284,-0.0307997004598484,0,0,0,0,0,0
X000568.SZ,0.221059501277529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103659160837113,0,0,0,0,0.00195268668615444,0,0.196514729850066,0,0.0159368280005472,0,0,0,0,0,0,0,0,0.116784182518153,0,0,0,0,0.0294338554723432,0,0,0,0,0,0,0,0,0,0,0.0240890183064017,0,0,0.0457546356512681,0,0,0,0,0,0
X600690.SH,0,0.176580341923183,0,0,0,0,0.354204084336364,0,0,0,0,0,0.155269663716392,0,0,0,0,0,0.0723290156646648,0,0,0,0.0148411454544044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140466447175826,0,0.0570942089519051,3.46944695195361e-18,0,0,0,0,-0.0759239492025825,0,-0.0196728507756795,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.261175760471812,0,0,0,0,0,0,-0.156569912383762,0,0,0,0,0,0,0.0486928561905145,0.164848099133627,0,0,0,0.0659906599395756,0,0,0,0,0,0.0411744797962906,0,0,0,0,0,0,0,0,0.0952366531932115,0.0371775274772359,0,0,0,0,0,0.0384440510714799,0,0,0.0555922200783572,0,0,-0.0223882703582937,0,0,0,-0.0611812347888109,0,0
X002304.SZ,0.156245000826399,0,0,0.0704952096213722,0.0650703962474043,0,0,0,0,0,0,0,0,0.256914714599073,0.147242790050544,-0.0743392903966722,0,0,0,0,0,0,0.207406387651102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184382999012351,0,0,0,0,0,0.00506673107456054,0,0,0,0,0.0011187452506026,0,-0.0428894558180286,0.0101063214572817,0,0,0,0,0,0
X002475.SZ,0,0,0,-0.0491660248890708,0.155722936629878,0.0543696753670934,0,0,0,0,0,0,0,0,-0.290676174498973,0.192781739230781,0,0,0,0.369465312138732,0,0,0,0,0,0,0,-0.0772401009478288,0,0,0,0,0,0,-0.0318778824730123,0,0,0,0,0,0.134070218758004,0,0,0,0,0,0,0,0,0,0,-0.0430886265419712,-0.0104241139812885,0,0,0,0,0,0
X600104.SH,0.0147421599698696,0,0,0,0,0,0,0.0873038901564134,0,0,0,0,0.115269453360693,0,0.0945336154905335,0,0,0,0,0,0.023228080347917,0,0,0,0,0.123420743952122,0,0,0,0,0,0,0,0.0393975598820147,0,0,0,0,0,0,0.00366975675500869,0,0,0,0,0.0689904024623908,0,0,0,0,0,-0.0200154664641614,0.00957050421728956,0,0,0,0,0,0
