,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X000559.SZ,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X600066.SH,X600372.SH,X000157.SZ,X002292.SZ,X600741.SH,X002241.SZ,X002236.SZ,X002475.SZ,X600089.SH,X000338.SZ,X300124.SZ,X002465.SZ,X600839.SH,X002074.SZ,X000568.SZ,X600177.SH,X002129.SZ,X002276.SZ,X300003.SZ,X002294.SZ,X000800.SZ,X002085.SZ,X600867.SH,X600498.SH,X000869.SZ,X002506.SZ,X000977.SZ,X600582.SH,X002180.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.407099459288983,0,0,0,0.00732132164492132,0.105389119751212,0,0,0,0,0,0,0,-0.052984616897001,0,0,-2.77555756156289e-17,0,0,0.0108147418855271,0,0,0,0,0,0,0,0,0,-0.022607500365553,0.268482072961304,0,0,-0.00514552727006109,0,0,0,2.77555756156289e-17,0,0,0,-0.093315394593417,0,0,0,0,0,-0.0502728204862915,0.122419308634327,0.137782553506612,0,0,0,0,0
X600104.SH,0,0,0,0.0519053090794919,0,0,0,0,0.266065196341229,0,0,0,0,0,0,0,0,0.235828989723309,0,0,0,0,0,0,0.30318226032295,0,0,0,0,0,0,0,0,0.0267905757537711,0,0,0,0,1.0842021724855e-19,0,0,0,0.045960827105378,0,0,-0.113024383834538,0,0,0,0,-0.0102368134507482,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0457758887229745,-0.0923868953299226,0,0,0,0,0,0,0.0451393360247013,0,0.0769212173269974,0,0.0790042036298795,0,0,0.0313820444912096,0.0640810495057943,0,0.0872244720801258,0,0,0,0,0,0,0,-0.126856286653617,0,0.00828730126566475,0,0.161098065452592,0,0,0,0,0,0.0430523207221569,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.043021081782511,0.236339953660436,0.047475623145862,0,0,0,0,0,0,0,0,0.115665633817398,0,0.117795758630565,0,0,0,0,0,0,0,0,0,0,0,0.135879063044862,0,0.0639083456769603,0,0,0,0,0,0,0,0,0,-0.00043838528170963,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408311429853627,0,0,0,0,0,0,0,0,0.016627837795329,0,0,0,0,0,0,0.135579290446846,0,0,0,0,0,0.00717420094953276,0.100172421309553,0,0,0,0,0,0.0212664643095269,0.0415935587558483,0,0,-0.0427613610180066,0,0,0,0,0,0,0
X000858.SZ,0,0.00610854456802608,0,0,0,0,0.198521053585462,0.181840356385951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195532410498592,0,-0.179236346495551,0,0,0,0.0719702308763247,0,0,-0.137169299889991,0,0,0,0,0,0,0.0245624502850454,0,0,0,0.0798561651050299,0,0,0,0,0,0,-0.0127579049129806,-0.0632542528904443,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0403872627521777,0,0,0,0,0,0,0,0,0,0,0,0,0.211517654974146,0,-8.67361737988404e-19,0,0,0,0,0.0639913156795457,0,-0.0508202183656456,0,0,0,0,0.05175081821279,0.180098458926073,0,0,0,0.0840688711323534,0,-0.125184349870571,0,0.112735684836506,0,0,0,0,0.0965410608699011,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0602580649850374,0,0,0.10629943569891,0,0,0,0,0,0,0,0,0,0,0,0,0.304229201794773,0,0.0370344923953831,0,0,0,0,0,0,-0.00243898004133683,0.390426208742545,0,0,0.0702557946859848,0,0,-0.0262751383831548,-0.0667451598006885,0,0,0.05793053141328,0,0,0,0,0,0,0,0.00534005618203464,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0.057868375434567,0,0,0.0874792506084385,0,0,0,0,0,0,0,0,0,0,0.182743468476051,0.117816032757993,0,0,0,0.16289585920506,0,0,0,1.0842021724855e-19,0,0,0.0698981307483733,0,0,0.0715240974819967,0,0,0,0,0,0.00317602457333084,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.165174075377861,-4.33680868994202e-19,0,0.0186504547846208,0,0.176130860640813,0,0,0,0,0.107453808408834,0.0200549046482729,0,0,0.0851953754778793,0,0,-8.67361737988404e-19,0,0,0.0222663990664283,0,0,0,0,0,0,0.00813718732331519,0,0.0874756626088539,0,0,0.0141112246362365,0,0,0.192904220076034,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.194332920236277,0,0,0,0,0,0,0.0743274626015692,0,0,0.01891508042697,0,0,0.123210526451263,0.0881904255576906,0,0,0,0,0,0,0,0,0,0,0,0.0547535688844771,0,0.135493147291641,0,0,0,0,0,0,0,0,0,0,0,-0.0359287541883595,0,0,0,0,0,0,0
X600703.SH,0,0.0272279081534282,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.224753313437462,0,0.148296699133085,0,0,0,0,0,0.15962529170396,0,0,0,0,0,0,0,0,0,0,0,0.0182344109469099,0,0,0,0.173669513845914,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
