,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X600690.SH,X600104.SH,X300014.SZ,X000725.SZ,X600031.SH,X300124.SZ,X000063.SZ,X000661.SZ,X002371.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002241.SZ,X003816.SZ,X002129.SZ,X000596.SZ,X000100.SZ,X300142.SZ,X002049.SZ,X002179.SZ,X000799.SZ,X600460.SH,X600741.SH,X600702.SH,X002074.SZ,X000157.SZ,X002007.SZ,X601877.SH,X600584.SH,X600779.SH,X002414.SZ,X601799.SH,X002236.SZ,X000800.SZ,X600183.SH,X300003.SZ,X600089.SH,X300146.SZ,X600884.SH,X002508.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.186149969830863,0,0,0,0.11048559350756,0.173857500741864,0,0.0168253983013614,0.0861115699259232,0,0,0,0,0,0,0.00537065103915477,0.0182365994070178,0,0,0,0,0,0.0477215493466613,0,0,0,0,0,0.0570257471347141,-0.0135879598428382,0,0.0183587204329056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200111563157629,0,0,0,0.0734043614269385,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.280266422101423,0.427729008728917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117010967126598,-0.0354939211430839,0,0,0.0427672922409993,0,0,0,0,0,-0.0950877760544545,0.0350453897268593,0,0,0,0,0,0.159577753853336,-0.0501200316712562,0,0,0,0,-0.0189399523333953,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.142959813180754,0,0,0,0,0.150992724724887,0,0.0522697186600092,0,0,0,0,0,0,0.0676938124770355,0,0,0.000718260853505722,0,0,0,0,0,0,0,0.0967070561323748,0,0,0.00946870493024006,0,0,0,0,0,0,0,0.071418229455893,0.0171739738764565,0,0,0,0,0,2.16840434497101e-19,0,0.112210984987104,0,-0.0201071014274259,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,-0.195145093769474,0.167490931418679,0,0,-0.00440722216853848,0,0,0.139091915750769,0,0,0,0,0,0,0,0,-0.146692382272645,0,0,0.0160484134636312,0,0,0.485497368737937,-0.0434269127070163,0,0,0,0,0,0,0,0.0626848679267155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733187247062393,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412774861410584,0.11726837707436,0.179272336260867,0,0,0,0,0,0,0,0,0,0,0.106560119438723,0,-0.163061485664886,0,-0.00522031620058149,0,0.00424743503390147,0,0,0,0,0,-0.276685657038529,0,0,0,0,0,0,0,0,0.0735066310251608,0,0,0,0.0516195006189219,0,0,0,0,-0.0118222231521763,0,0
X000568.SZ,0,0.789612055735627,0,0.052430312688593,0,0,0,0,0.0280530122221518,0,-0.227118052137983,0,0,0,0,0,0,0,-0.0198731791056118,0,0,0,0,0,0.152899516974759,0,0,0,0,0,0,0,0,0,0,0,0,0.0225330366424676,0,0.0401812482801155,0.0220854211328381,0,0,0,0,0,0,0.0626609526151598,0,0,0,0,0.0279166344052564,0,0,0,0,0,0
X002475.SZ,0.0227722236814808,0,0,0,0,0,0,0,0,0,0,0.129338973176743,0,0,0,0,0,0,0,0,0.0848724413024424,0.0704712309571441,0,0,-0.0913442552992821,0,0,0.0487196564895493,0,0,0,0,0,0,0,0,0,0,0,0.184313832930184,0.0222299714014,0,0,0,0,-0.163866819696465,0,0,0,0,0,0.0363671859631798,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,-0.0277706215862727,0,0,0.183180300033866,0,0.0272013061076927,0,0,0,0.160668630491381,0.00216224615572793,0,0,0,0,0,0,0,-0.088324488629454,0,-0.0209626596827296,0,0,0,0,0,0.095872547318318,0,0,-0.0110769310861519,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,-0.0446384230038643,0,0,-0.0358037498467873,0,0,0.0914668820308563,0,0,0,0,0,0
X002304.SZ,0,0,0,0.256890774323108,0,0.0787996108219019,0,0,0,0,0,-0.217924357585349,0,0,0,0,0,0,0,0,0.479771060397383,0,0,0,0,0,0.0459397899473135,0,0.178673560568027,0,0,0,0,0.067175287725206,0,0,0,0,0,0,0,0,0,0,0,0,0.0174267927652773,0,0,0.0553340452398493,0,-0.251793433153609,0.117228702594606,0,0,0,0,0,0
X600690.SH,0,0,0.294217528788658,0,0.217219531269798,0,0,0,0,0,-0.0165538723655358,0,0.266709617006125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100281629040147,0,0,0,0.0119112036713305,0,0,0.0338036793153869,0,0.0229444172725404,0,0,0.0180866303718969,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0538515588246191,0.00801781769153783,0,0,0,0,0,0
