,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X002475.SZ,X600690.SH,X000651.SZ,X300124.SZ,X000725.SZ,X600104.SH,X002129.SZ,X000596.SZ,X000063.SZ,X600031.SH,X003816.SZ,X300014.SZ,X002371.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X000100.SZ,X002241.SZ,X002236.SZ,X000661.SZ,X600702.SH,X002180.SZ,X601877.SH,X600522.SH,X600584.SH,X300142.SZ,X000157.SZ,X002074.SZ,X600741.SH,X600460.SH,X000977.SZ,X000733.SZ,X300003.SZ,X600183.SH,X000799.SZ,X002463.SZ,X000066.SZ,X002007.SZ,X002414.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,-1.73472347597681e-18,0.155856864981962,0,0,0,0.128983339296983,0,0,0,0,0,0,0.0234521397299922,0,0,0,0,0.0724852725884328,0,0,0,0.0213437378752197,0,0,0,0,0.0390998756939829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176791728250164,0,0,0,0,0,0,-0.0224868281453966,0.0414907362404617,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.611142061279029,0,0,0.128233781952738,0,0,0,0,0,0.0108936742900039,0,0,0,0,0.13731466633874,0,0,0,0,0,0,-0.0356085761909333,0.0858520453431009,0,0,0,0,0,0,0,0,0,0,0,0,0.0642934391382828,0,0,0,0,0,0,0,0,0,-0.0200926310872662,-0.00666472161101484,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146624577627017,0.0738144753001408,0,0,0,0.0841235723950247,0,0.0823885556751447,0,0,0.312870919084077,-0.00601247076257245,0,0.0323093399768867,0,-0.153513932929161,0,0,0,0,0,0,0.112392280566157,0,0,-0.0881369716583178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.465409268397952,0.059868298229399,0,0,0,0.245325602162459,0,0,0,0,0,0.0898011502391754,0,0,0,0,0,-0.0304937653888226,0.129670582858513,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0707962438665715,-0.150003574993472,0,0,0,0,0,0,-0.142261874632104,0,0.203790037566584,0,0,-0.0672107908146747,0,0,0,0,-0.0208552145389023,0.0362246174475244,0,0,0,0,0,0
X600809.SH,0,0.0697783688253152,0,0,0,0.0406261126119962,0.00401832539719257,0,0,0,0,0,0,0,0,0.0398294014371492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125457628289312,0,0,0,0,0,0,0,-0.0272372660923096,-0.0934262975043388,0,0,0.281090773886266,0,-0.102320518669001,0,0,0,0,0.00397259963300676,0.00978680931069021,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512073156388559,0,0,0,0,0,0,0.0073491172322881,0.00440402539600763,0.0991592924220775,0,0,0,0.0284986884775187,0,0,0,0,0,0,0,0.263547351831003,0,0,0.0564457280587412,0.0241813729041988,0,0.0208372277619704,0.155733214846254,0,-0.0128945466420403,-0.0234675078913252,0,0,0,0,0,0
X002304.SZ,0,0.380860624970633,0,0.460069483767183,0.0281021623065024,0,0,0,0.0085483892767091,0,0,0,0,0,0,-0.0163352836208157,0,0,0,-0.0199511723561153,0,0,0,0,0,0,0,0,-0.0664431696792732,0.0515418834775394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574178665405145,0,0,0,0,-0.0579709634013169,-0.0899178964133798,0,-0.00808901023245571,0.00278198023058445,0,0,0,0,0,0
X002475.SZ,0,0,0.104998857647683,0,0,0,0,0,0,0,0.23459535337328,0,0,0,0,-0.0983442733496771,0,0,0.277855036029873,0,0,0,0,0,0,0,0,0,0.0730702885869315,-0.0334612914160918,0,0,0.0274509713580232,0.180705435771206,0,0,0,0.233975071944713,0,0,-0.0182244820941255,0,0,0,0,0,0,0.323321687658269,0,0,0.517895071825129,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.224697899801527,0.0132393885688538,0,0,0.348558816947108,0.126491539256503,0,0,0,-0.0739622074699298,0,0.0255732829202712,0,0,0,0,0,0,0,0,0,0,0,-0.405021033323793,0.131003323166848,0,-0.0309485335338335,0,0.0226881163284619,0.0381009814768075,0,0,0,0,0,0.0270367285222546,0,0,0.156076450016645,0.0489023646442501,0,0,0,0,0,0,0,0.0403678221796687,0,0,0,0,0,0
X000651.SZ,0,0.146500421717279,0,0,0,0,0,0,0.325126524020624,0,0,0,0,0,0,0,0.00927087279635975,0,0,0,0.118830428890073,0,0.00533947185414057,0,0,0,0,0,0,0,0,0,0,0,0.00973526847391654,0,0.0015609921337869,0,0,0,0,0,0,0.0735941106943248,0,0,0,0,0,0,-0.033311673452416,0,-0.011950311073711,0,0,0,0,0,0
