,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X003816.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X600031.SH,X600104.SH,X000063.SZ,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X600089.SH,X600584.SH,X600839.SH,X000977.SZ,X600703.SH,X600372.SH,X000157.SZ,X002028.SZ,X002456.SZ,X002049.SZ,X600522.SH,X002236.SZ,X600066.SH,X600183.SH,X000066.SZ,X601877.SH,X600741.SH,X600460.SH,X002129.SZ,X002085.SZ,X002156.SZ,X000661.SZ,X600487.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.464001965913728,0,0,0.0193039868947437,0,0,0,0,0,0,0,0,0,0,0,0,0.118972963247812,0,0,0,0,0,0,0,0,0,0,-0.00761336021623121,0,0,0,0,0,0,0,0,0,-0.0361098720864661,0.0190286435723991,0,0,0,0,0,0,0,0,0,0,0,0.0021605630989181,-0.120551142475238,-0.0714007340398034,0,0,-0.0869573527289037,0,0
X000858.SZ,0.546943312361354,0,0,0,0,0,0.34577898623901,0,0,0,0,0,0,0,0,0,0,0,0.0187120869069081,0.10157517769322,0,0,0.0439558873769054,-0.061330832607737,0,0,0,0,0.0348999901824721,0,0,0,0,0.112490439626758,0,0,0,0,0,0,0,0,0,0,0,-0.029277856104137,0,0,0,0,0,0,0.004677245915522,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,-0.00115447699857171,0,0,0,-0.0306146310155072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660123802988077,0.148686445650728,0,0.106150262264881,-0.0211724279585832,0,0,0,0,0,0.000267647581928738,0,0,0.0617231977684762,0.0117797716628908,0,0,0,0,-0.0933591559781365,0,0,0,0,0.142832862256595,0,0,0,-0.0479816481157788,0.0340053489110897,0,0,0,0,0
X600276.SH,0,0.3336338309632,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0360362564512993,0,0,0,0.0891126698063334,0,-0.19639838148413,0,0,0,0,0,-0.269409640963926,0,0,0,0,0.0546265693931876,0,0,0,0.113325220214588,0,0,0,0,0,0,0,0,0.240363863289563,0,0.228077970066159,0,0,0,0.119564124504773,-0.165022097168046,0,0,0,-0.027299629364191,0,0
X002415.SZ,0.0237553527480286,0,0,0,0,0.137046503118085,0.0977658882279272,0,0,0,0,0,0,0.0619619184596793,0,0,0,0,0,0,0.125879858663935,0,0,0,0,0,0,0,-0.0660733294799991,0,0,0,0,0,0.151316527976393,0.0813805020146413,0,0,0.0218509487978588,0,0,0,0,0.0455396166544652,0.0895879180023776,0,0,0.0295956621745163,0,0,0,-0.057814353751998,0,8.67361737988404e-19,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.314089850634361,0,0,0,0,0,0,0,0,0.248287479856953,0,0,0,0,0,0,0.0651733067691989,0,0.0379981033345969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723270236398884,0,0,0,0,-0.00495920380873923,0,0,0,0.04660538400816,0,0,-0.00626149426327026,0,0,0,0,0,0,0
X600809.SH,0,0.0705432035127602,0,0,0,0,0,0,0,0.183814448722817,0.464894046515589,0,0,0,0,0,0,0,0,0.299939460189467,0.0293648899204077,0,-0.032517841164005,0,0,0,0,0,0,0,0,0.0066357143162056,0,0,0,0,0,0,0,0,-0.0432989473769172,0,0,0.0267928542413939,0,0.0650658376761676,0,0,-0.0781645275708169,0,0,0.0366123361497304,0.00855886886250144,0,0,0,-0.0191208160868832,0,0
X000651.SZ,0,0,0,0,0.0526087709305757,0.42644212512206,0,0,0,0.10817303207186,0,0,0.0301128927317812,0,0,0,0,0.0396801201541946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741435740269356,0,0,0.0262778070145048,0,0,0,0.0762790150451247,0,0,0,0,-0.047777390793244,0,0,-0.106690298417378,0,0,0,0,0,-0.0358836286889585,0,0,0,0.0724545579247152,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,-0.0692657887355567,0,0,0.37053517753867,0,0,0,0,0,0,0,0,0,0,0,0,0.00550050570308521,0,0.189813522146972,0,0.137396262278665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749849525449063,0,0.0319539215950208,1.73472347597681e-18,0,0,0,0,0.0758198247634626,-0.0242776911926733,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,-0.473895972206641,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.218683601065145,0,0,0,0,-0.149814432712793,0.240159251345825,0,0,0,-0.0297517240205693,0,0,0,0.298679754428465,-0.219802608925931,0,0,0,0,0,0,0,0,0,0,-0.0603383327757495,-0.0571819540917134,0,0,0,0,0,-0.0300192137759629,0,0.127464481039021,0,0,-0.0862918336896828,0,0
