,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X300136.SZ,X600089.SH,X300003.SZ,X600177.SH,X600522.SH,X600271.SH,X002294.SZ,X002008.SZ,X002007.SZ,X000157.SZ,X002085.SZ,X600118.SH,X600487.SH,X600566.SH,X600809.SH,X600867.SH,X600699.SH,X600372.SH,X000623.SZ,X000559.SZ,X000596.SZ,X300115.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0.155063801492946,0,0,0,0,0.055651805789302,0,-0.036512173732953,-0.0391730099562485,0,0,0,0,0,-0.0354030763953439,0,0.164158154244941,0,0,0,-0.0573937484584269,0,0.0277224757712661,0,0,0.123775000980341,0,0.0191950352103422,0,0.141198810766032,0,0,0,0,0,0.320790343299939,0,0,0,0.0168078184574379,-0.0137081164991971,0,0,0,0,0,0
X600104.SH,0,0,0,0.239949655166452,0,0,0,0,0.143737549696771,0,0,0.358531327114541,0,0.00438108613622723,0,0,0,0,0,0,0,0.0235561879163087,0,0,0,-0.165749113385386,0,0,0,0,-0.0492421417671081,0,-0.00144141663112146,0,0,-0.0318853252560007,0,0,0.142191194709437,0,0,0,0,0,0,0,-0.0557634862756199,-0.191651368176623,-0.0741619301987679,0.00621565826866674,-0.0212768506685232,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.103263774363787,0,0.10695638955012,0,0,0.0758076531014679,0,0,0.087759595783582,0,0.332810279742865,0.106384301098484,0,0,0,0,0,0.0828284819084354,0,0,0,0,0,0,0,0.0739832990704803,0,0,0,0,0,0,0,0,0.015390839195945,0,0,-0.280775381199102,0,0,-0.23225836576375,0,0,0,0,-0.0123832192978852,0.0078075170523468,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0714111562068405,0.0592970499587573,0,0.228380920060539,0.20194323410477,0.0382539506446894,0,0.0126126762106663,0,0,0,0,0,0.0607042067831513,0,0,0.0962547815402583,0,0,0,0.108568885692692,0,0,0,0,0,0,0,0,0,0,0,0,0.00797154718135303,0,0,0,0,0,0,0,0,-0.0143403396688077,0,-0.00400501588079365,0,0,0,0,0,0,0
X000858.SZ,0.120605915868206,0.0296668298749749,0,0,0,0,0,0,0,0,0,0,0.591124691671281,0,0.108090805354205,0,0,0,0,0,0,0,0,0.0898130835851051,0,0,0.0021124646533038,0.00507597401879153,0,0,0,0,0,0,0,0,0,0,0,0.0100039733668669,0,0,0,0,0,0.0153913886645419,0,0,0,-0.00616893481013702,1.03047449688886e-05,0,0,0,0,0,0
X600276.SH,0,0.130393236329514,0.0601561044823029,0,0,0,0,0,0,0,0,0.00535396796822649,0,0,0,0,3.46944695195361e-18,-0.0729489639728337,0,0,0,0,0,0,0,0,0,0,0,0,-0.157832452026894,0,0,0,-0.0915732180264003,0,0,0,0,0,0,0,4.33680868994202e-19,0,-0.129925804389815,0.0770987785561954,-0.0211371818267078,-0.024814742934671,0,0.0113426445677882,0.0085741729026293,0,0,0,0,0,0
X000725.SZ,0.110687184913819,0,0.126818989472714,0,0,0,0,0,0,0,0,0,0.092121436312905,0,0,-0.207724663305334,0,-0.0360317454462059,-0.014084035024975,0.151132694080315,0,0,0,0,0,0,0.245962079912846,0,0,0,0.417668040902829,0,0,0,0,0.30182092503045,0,0,0,0,0.130106041233643,0,0.227533612206226,0,0,0,0,0,0,0.00832398508097041,0.0272425081406786,0,0,0,0,0,0
X002304.SZ,0,3.46944695195361e-18,0,0,0,0,0,0,0.362260468060486,0,-0.135968892930658,0.146254584740218,0,0,0,0,0.0502710959630329,0,0,0,0,0,0,0.0691280752241485,0,0,0,0.0793168009237926,0,0,0,0,0,0,0,0,0,0,0.129716809883063,0,0,-0.0687421099515039,-0.225311370161319,0,0,0.722126057504239,-0.402694248508123,0,0,0,0.0289161357121723,0,0,0,-0.228888748191603,0,0
X600690.SH,0,0.606155774584756,0,0.0806212139786872,0,0,0,0.0456688683293001,0,0,0,0,0,0,0.0357109386885703,0,0,0,0,0,0,0,0,0,0,0.00211362199686219,0,0,0,0,0,0,0,0,0,0,0,0.0550938114987762,0,0,0,0,0,0,0,0,0.109540805120999,0,0,-0.0033864083615631,-0.00248346823516404,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,-0.167147032822047,0,0.150366361216046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112958173464887,0,0,0.12629192085083,0,0,0,0,0.0886527171256077,0,0,0,0,0.082228055312426,0,0,0,0,0.111628709793337,0,0,0,0.15612109985078,0,0,0,-0.0142348650787603,0,0,0,0,0,0
