,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X000559.SZ,X600066.SH,X600372.SH,X002292.SZ,X000157.SZ,X002241.SZ,X002475.SZ,X600089.SH,X600741.SH,X002236.SZ,X000338.SZ,X300124.SZ,X300003.SZ,X002465.SZ,X600839.SH,X002129.SZ,X000568.SZ,X600177.SH,X002294.SZ,X002506.SZ,X600867.SH,X002074.SZ,X002276.SZ,X000977.SZ,X000869.SZ,X300146.SZ,X000800.SZ,X600498.SH,X600582.SH,X002008.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,3.46944695195361e-18,0,0,0,0,0.218975576913281,0.181847536690727,0,0,0,0,0,0,0,0,0,0,0,0.0724112690578789,0,0,0,0,0,0,0,0,0,0,0,0,0.134627272257625,0,0,0,0,0,-0.00320191574428771,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.0754568179514183,0.0810537554397551,0.0124664854475108,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.293881091172632,0,0,0,0,0,0,0,0,0,0,0,0,0.307105702126935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180141936728983,0,0,0,0,0,0,0,0,0,0,-0.0340765245673002,0.00975021343352551,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,-0.0645017738652054,0,0,0,0,0,-0.189575674095659,0,0,0,0,0,0,0.121806569107561,0,0.252658103410007,0.0185496846720056,0,0,0,0,0,0,0,0,0,0,0,0,0.0653222709539695,0,0,0,0.0351832124897625,0,0.12867171568628,0,0,0,0,0.0213290604060305,0,0.0408985121288585,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153829127039384,0,0.0186793286299869,0,0,0,0,0,0.0350905929228425,0,0.133899495575974,0,0,0,0,0,0,0,0.137039258393493,0,0,0.00569758014000498,0.0109628590289547,0,0,0.109345074647883,0,0,0,0.0053534772405324,0.11443410144583,0,0.048283866342303,0,-0.0164676871724767,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.112082119718485,0,0,0.000144120672617662,0,0,0.201768261798454,0,0.163606464212818,0,0,0,0,0.0404075232300683,0.112485638700018,0,0,0,0,0,0,0.0104938606128952,0,0,0,0,0.0764548422365052,0.0475360864713193,0,0,0,0,0,0.0119273329568186,0,0,0,0,0,0,-0.0370552819178376,0,0,0,0,0,0,0
X000858.SZ,0.00315936388349751,0,0,0,0,0,0.191753925768947,0.248853119578858,0,0,0,0,0,0,0,0,0.076089718798295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467976788153973,0,-0.0115674737515757,0,-0.244841482082899,0,0.0768469960303773,0,0,0,0.00584846668203896,0,0,0,0,-0.00813659729380338,-0.042209769822554,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115493635469744,0,0,0,0,0,0,0,0,0,0.23062511398371,0,0,-0.0793755502995402,0,0,0,0.101514914289857,0,0,0.0047352513597574,0,0.099065086588518,0,-0.0499909998428072,0.100104193443399,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.196837315784564,0.541750960600483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213836833726351,0,0,0,0,-0.00517610851309468,0,0,0,0,0,0,0,0,0,0,0.106897871437297,0,-0.0216131086431437,0,0,0,0,0,-0.00238284494626826,0.0126330409169594,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.244085035823306,0,0,0,0.126860647402762,0,0,0,0,0,0,0,0.0539634933040619,0.0536088477378582,0,0,0,0.0382602814937633,0,0,0,0.0139914619739114,0,0,0,0,0,0,0.0224750798227641,0,0,3.46944695195361e-18,0.0226767946721171,0,0.260448532583887,0,0,-0.0117630822840582,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0621678895013035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267485648362289,0,0.118939517448966,0.0270409535506422,0,0,0,0.109271800264953,0.0810361191298313,0,0,0.000887375217499689,0,0,0,0,0,0.0691741859951658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
