,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000063.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X600690.SH,X000100.SZ,X600031.SH,X002129.SZ,X600372.SH,X600118.SH,X600271.SH,X000338.SZ,X600703.SH,X000157.SZ,X600089.SH,X002241.SZ,X600741.SH,X600177.SH,X002292.SZ,X002236.SZ,X600582.SH,X600066.SH,X600060.SH,X000800.SZ,X300124.SZ,X601877.SH,X000977.SZ,X600839.SH,X002475.SZ,X000581.SZ,X000623.SZ,X002294.SZ,X002456.SZ,X000559.SZ,X600435.SH,X000869.SZ,X002465.SZ,X000568.SZ,X000550.SZ,X600867.SH,X600498.SH,X300003.SZ,X300146.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0534103901829185,-3.46944695195361e-18,0,1.73472347597681e-18,0.183337009412967,0,0,0,0,0,0,0,0,0.138322032217852,0,0,0.137961368356468,0,0.0174502590141322,0,0,0,0,-0.109021507167583,0,0,0,0.00722321542663904,0,-0.0443153013252823,0,0,0,0,0,0.00695526593887456,0,0,0,0,0,0,0,0,0.0261397993431972,0,0,0,0,0,0,0.00631570870079134,0,0,0,0,0,0
X600104.SH,0,0,0.231046214857104,0.0609808534979712,0,0.0560108889606548,0,0,0,0,0,0,0,0,0.0631561030180081,0,0,0,0.0449756242801254,0,0,0,0,0,0,0.0156812075779457,0,0.0459764505099607,0,0,0,0,-0.0265177740448455,0,0.0572042771887923,0,0.000181701373139136,0,0,0,0,0,0,0.159190116218132,0,0,0,0,0,0,0,-0.00794169864976274,-0.0105711485464851,0,0,0,0,0,0
X000651.SZ,0,0.2003396851195,0,0,0.0149899738516747,0.0376707393646102,0.0238108829052385,0,0,0,0.0287194722178613,0,0.0272356426405534,0,0,0,0,0,0,0.0937605183152893,0.0154478629518792,0,0,0,0,0,0,0,0,0,0,0,0.112863418663123,0,0,0,0,0,0,-0.0224968963922602,0,0,0,0,0.212668031971066,0,0,0,0,0,0,0.00567526725123798,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995073112102599,0,0,-2.16840434497101e-19,0.0539735038014909,0,0,0,0,0.0927725309579452,0,0.0894503183816175,0,0,0,0,0.0484604647434861,0,0.0536035713880683,0.0119563623301829,0,0.110361336321642,0,0,0,0,0.0282043447632608,0,0.092159180350691,0,0,0.185370039005107,0.211741223575896,0,0.0695058393458149,0,-0.0291799468401362,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.133638277934553,0.146851338121717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367711282119004,1.73472347597681e-18,0.0202191785299723,0,0,0,0,0.0157039913520783,0,0,0,0,0,0,0.392785732193686,0,0,0,0,0,0,0,0.363471269411768,0,0,0,0,0,0,-0.00369108237179315,-0.0326058436094691,0,0,0,0,0,0
X000063.SZ,0,0,0.0318188518681549,0,0.101056216644735,0,0.0188030046617649,0,0,0,0,0.100452296159364,0,0,0,0,0,0,0,0.0272738565871177,0.0138839705908473,0,0,0,0,0.0293055712766308,0,0,0,0,0,0,0.0671406844405787,0.0752744065332296,0,0,0,0,0,0.056254180091607,0,0,0,0.167495154732607,0,0,0.203880305312632,0,0,0,0,0,0.0172389189285253,0,0,0,0,0,0
X000625.SZ,0,0,0.0757742694298042,0.0920399014940294,0.246780493552636,0,0,0,0,0,0,0,0,0,0.0389101793323358,-0.200902006677031,0.0363861490598272,0,0,0.0116377304615273,0.0800578900436956,0,0.100331455823417,0,0,0,0,0,0,0,0,0,0,0,0,-0.0751945719543438,0,0,0.0330719453378792,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.00450928234966366,0,0,0.0198023032009334,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0164527478496751,0,0,0.130226072023945,0,0,0,0,0,0,0,0,0,0,0.0725327460779852,0,0,0,0.0335005907553083,0,0,0,0,0,0,0,0,0,0.0742525952292196,0,0,0,0,0,0,0,0.175984850760782,0,0.216946714974634,0,0,0,0,0.0701587562327692,0,0,0,0.00100491211762351,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.119842264528172,0,0.540408922932162,0,0,0,0.0199262953021787,0,0,0,0,0,0,0,0,0,0,0,0.048974554304177,-0.0431153940193566,0.043227757421807,0,0.169520010009447,0,0,0,0,0,0,0,0,0,0,0,0.0154211882850258,0,0.0940266658015856,0,0,0,0,0,0,0,0,0,0.00835328825071258,-0.00404633106744654,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.00629802116845588,0,-4.33680868994202e-19,0.0600229803618278,0,0,0,0,0,0,0,0,0,0,0.0927511243300551,0.088475053425987,0,0,0,0,-0.0507337090669424,0.0624461991073906,0.0285820304442814,0,0,0,0,0,-0.0012226113829071,0,0,0,0,-0.060886354902101,0,0,0,0,0,0,0.0123170969953464,0.0228614130589908,0,0,0,0,0,0
