,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600271.SH,X600066.SH,X600741.SH,X002241.SZ,X002292.SZ,X000100.SZ,X002236.SZ,X600031.SH,X600177.SH,X600118.SH,X002506.SZ,X002475.SZ,X000559.SZ,X000568.SZ,X600372.SH,X000157.SZ,X000338.SZ,X002085.SZ,X300003.SZ,X300124.SZ,X002007.SZ,X002074.SZ,X600867.SH,X002180.SZ,X002294.SZ,X600089.SH,X000869.SZ,X002456.SZ,X000050.SZ,X002426.SZ,X002508.SZ,X600498.SH,X002465.SZ,X601877.SH,X000981.SZ,X600699.SH,X002008.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.276672070017658,0.103398360300552,0,0,0,0.0367791939253542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303634769594518,0,0,0,-0.127170822872117,-0.0367278437705102,0.0801053576103661,0.150925195870343,0,0,0,0,0,0,-0.0766219925249616,-0.0457235187255959,0,0,0,0,-0.0277483358855331,0.00442369477085516,0,0,0,-0.0390358418076759,0,0.0159349214238431,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.120930123273469,0,0.128959776350441,0,0,0,0.235614835475748,0,0,0,0,0,0.0122124850526542,0,-0.032343696943278,0,0,0,0.0135348108582439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177003299181565,0,0,0,0,-0.0581598952082064,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.159303519218186,0,0,0,0,0.110698816172194,0.023212258022738,0,0,0,0,0,0.0200747441848093,0.0212032730723779,0,0,0,0,0,0,0.0671945945217817,0,0,0.0197720839320375,0,0,0,0,0,0.165167343057931,0.017857607956678,-0.121040867713749,0.0803758561475265,0.0822606664627292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.00449383316504094,0,0,0,0.00749491239369786,0,0,0,0,0,0.0166738067545172,0,-0.00433652423178533,0,0,0,0.0184881387007663,0,0,0,0,-0.0283827613649278,0.00161381751145202,0,0.0152439169312439,0,0,0,0,0.0230269012026957,0,0,0,0.00403480383467381,0,0,0,0,0.0228283995994068,0,-0.00679840188132598,0,0,-0.0191068898404662,0,0,0,0,-0.01539006503321,0,0,0.0249136801817857,-0.0301943326122658,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.129894367512086,0,0,0,0.0147382360041546,0,0,0.0176428717035353,0,0,0,0.0805789410567969,0,0,0,0,0,-8.67361737988404e-19,0,0.0215168931007947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817132649271489,0.0225227697264057,0.103276788873258,0,0,0,0,0.000258945348455763,0,0,0,0,0,0.00983406806514548,0,0,0,0,0,0,0
X002304.SZ,0.0871243715266919,0,0,0,0.629647676848448,0,0,0,0,0,0,0.110653076344399,0,0,0,0,0.0168122126112183,0,0,0,0,0,-0.0354276682166755,0,0,0.106206147092665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395165943464713,0,0,0,0,0,0,0,0,-0.0418802497422589,0.0346293461607529,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162046261776321,0,0,0,0,0,0,0,-0.0899738187649283,0,0,0,0,0,0,0,0,0,0,0.138273742179505,0,0,0,0,0,0,0,0.0509171538639701,0,0.0739377478666517,0.046060790539858,0,0,0.0285883910184078,0,0,0,-0.00337888821288395,-0.0444394977905037,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415107337301911,0.00405582685207728,0,0,0,0,-4.33680868994202e-19,0.143950735505885,0,0.100885637475836,0,0,0,0.14308575683252,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0839514707399603,0.077426488704982,0,0,0.0739984624583904,0,0,0,0,0,0.0546210182194802,0,0,-0.00578706120816989,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.247012863591486,0,0,0,0,0,0,0,0,0,0.134402741709671,0.138830228886107,-0.0647899757007639,0,0,0,0,0,0.193118180033946,0.114523479459847,-0.0360640651668056,0,-0.0591025085951756,0,0,0,0,-0.213071715038738,0,0,0,0,0,0,0,0,0.185972484170745,0.147717079584487,0,0,0,0,0,-0.106548514759754,0,0,0,0.00934014203813125,0.0856688508479703,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.265868441577137,0,0,0,0.249809993918022,0,0.120845982598618,-0.0881384694261265,0,0,0,0,0.00291392687600325,0,0,0,0.281025034428183,0.104158333534235,0,0.104296808208844,0,0,0,0,0,0.0681659118606349,0,0,0,0,0,0,0,0,0,0,0,0.0835989336948268,0,0,0,0,0,0,0,0,0,-0.063148834864663,0,0,0,0,0,0,0
