,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600031.SH,X600104.SH,X300014.SZ,X000725.SZ,X300124.SZ,X002371.SZ,X600703.SH,X000338.SZ,X000063.SZ,X000625.SZ,X002241.SZ,X002129.SZ,X003816.SZ,X300142.SZ,X000661.SZ,X002049.SZ,X601877.SH,X000100.SZ,X000596.SZ,X002179.SZ,X600460.SH,X000157.SZ,X002074.SZ,X600702.SH,X000799.SZ,X002414.SZ,X600741.SH,X002007.SZ,X600584.SH,X600183.SH,X002236.SZ,X600089.SH,X601799.SH,X600779.SH,X000800.SZ,X600884.SH,X300146.SZ,X000066.SZ,X300003.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.293533134743567,0,0.0224799032261109,0,0,0,0.0483659784723019,0.0596715514230388,0.0692880893127232,0.0961336774844706,0,0,0,0.0157276434500675,0,0,0,0,0,0,0.0175437814152722,0,0,0,0,0,0,0,0,0,0,0,0.100486033696971,0,0,0,0,0,0,0,0,0,0.012002738547462,0,0,0.00092667286782468,0,0,0,0,0,0.0449353060343639,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.165361817647963,0,0,0.201322865161105,0,0,0.258672819142062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667617761116518,0,0,0,0,0,0,0.0840986658851448,0,0.023437013982104,0.0315473236789024,-0.0727630545472094,0,0,-0.0587989607532373,0,0,0,0.0178248189536037,0.140767894060428,0,-0.0408726094656722,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.0311213560550055,0,0.0223795675764722,0.116732468196952,0,0,0,0.0996120213225287,0,-2.16840434497101e-19,0,0.176608514191651,0,0.0403154973867757,0,0.0573634672688018,0,0,0,0,0,0,0.0159046198493078,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.100452968763738,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.10981802754034,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.0644156476015089,0.253630841191715,0,0,0,0,0,0,0,0,0,0,-0.051211616561139,0,-0.117984173501371,0,0,0,0,0,0,0.0578602298212883,0,0,0,0,0.0452324011327545,0.430815183542381,0,0,0,0,0,0,0,0,0,0,0,0,-0.165983596752926,0,0,0,0,0.00674457935450938,0,0,0,0,0,0
X600276.SH,0,0.182337214539486,0,-0.0424150656224309,0,-0.24662369754406,0,0,0.0749370005533115,0,0,0,0,0,0.107641189316766,-0.0133973981221659,0,0,0,0,0,0,0,0,0.095992511588009,0,6.93889390390723e-18,0,0,0,0,0.165266510989975,0,0,0,0.270404815987355,0,0,0,-0.147539929425542,0,0,0,0,0,0.0557997572482741,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.0590591865146136,-0.117151889996653,0,0,0,0,0,0,0,0,0,0,0.263324157071072,0,0,0,0.0470142823068931,0.188939047720561,0,0,0,0.0719228409139765,0.10382074534465,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0297546359781376,0.283739473373081,0,0,-0.108051152344225,0,0,0,0,0,-0.0113888024306701,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,-0.0188831627350627,0,0,0,0,0,0,0,0,0,0,0,0,0.0763796170563341,0,0,0,0,0,0.0318974705917714,0,0,0,-0.0593369417409231,0,-0.00296555559631753,0,0,0.0801622698891734,0,0,0.0620507258880499,0,0,0,0,0,-0.0540683698229036,0.0251889402510466,0,0,0,-0.078778212972673,0,0,0,0,0.12169403264757,0,0,0,0,0,0
X000568.SZ,0,0.322977930799079,0,0.127417070300265,0,0,0,0,0.0852117661642706,0,0,-0.143414828553694,0,0,0,-0.0668905397629875,0,0,0,0,0,0,0,0,0,0,0,0,0.150799426590846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781667209438811,0,0,0,0.0148698757918534,0,0,0,-0.00793077675279185,0.0116654908219363,0,0,0,0,0,0
X002304.SZ,0,0,0,0.341374562623048,0,0,0,0.347642371973347,0,0.0608612628100225,0,0,-0.240569073036289,0,0.0235672537374721,0.0650618363034485,0.19892165687149,0,0,0,0,0,0,0,0,0,0,0,0.0219214063359602,0,0,0,0.074232849890143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133735820040448,0,0.150981591168743,0,-0.0615414073973879,0.0480439488294518,0,0,0,0,0,0
X600690.SH,0,0.0450053569908615,0,0,0.128401400191319,0,0,0.142274181871129,0.145210007709026,0,0.003050507459046,0,0.0716956551347301,0,0,-0.0162687926472753,0,0,0,0,0,-0.0177577737942462,0,0,0,0,0,0,0,0,0,0.0848492624180384,0,0.0254734526121887,0,0,0,0,0,0,0,0,0,0.0443663140945551,0,0,0,0,0,0,0,-0.0534465426359324,0,0,0,0,0,0,0
