,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X600741.SH,X000661.SZ,X600183.SH,X002241.SZ,X000596.SZ,X600703.SH,X002007.SZ,X300003.SZ,X601877.SH,X000157.SZ,X000100.SZ,X002236.SZ,X300142.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X002008.SZ,X300124.SZ,X600271.SH,X000625.SZ,X600867.SH,X300136.SZ,X002129.SZ,X000977.SZ,X002506.SZ,X300014.SZ,X600177.SH,X002180.SZ,X600498.SH,X002049.SZ,X600066.SH,X002456.SZ,X600487.SH,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0984417649026811,0.0582849258476309,0,0,0,-8.67361737988404e-19,0,0,0,0,0.427032023957738,0,0,0,0,-0.0226156599641868,0,0,0.0758526899551413,0,0,0.0236146618776198,0,0,0,-0.0848725292516822,0,0,0,0,0,0.0304701227368374,0,0,0,0,0,0.0242803517280492,0,0,-0.0460230801672804,0,0,0,0,0,0.0188732601403403,0,0,0,0.00475623955978412,0,0,0,0,-0.00737232733491879,0,0
X000858.SZ,0.0363100411998503,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.302657686449184,0,0,0,0.355336360925519,0,0,0,0.0671949383257756,0.103508359963597,0,0,0,0,0,0,0,0,-0.0570816825480176,0,0,0,0,0,0,0,0,0.0266053781276663,0,0,-0.0201033777740957,0,0,0,0,0,0.059578878008411,0,0,0,0,-0.025727045254331,0,0,0,4.33680868994202e-19,0,0
X600276.SH,0,0,0,0,0,0,0,0.0533247921981586,0.0939620600022069,0,0,0.199324646381417,0,0,0,0,0.0582031955223551,0.0181669930964247,0,0,0.0801501662853714,0,0,0.0313586919865618,0,0,0,0,0.0655604431853201,-0.00750025198168235,0,0,0,0,0,0,0,0,0,0,0.0400966776067426,-0.0501745256373996,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.0138502778789594,0,0,0,0.00523913390507459,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229001007076908,0,0,-0.0701539396975049,0,0,0,0.254404815384006,0,0,0,0,0.0205239295503239,0,-0.0230249530794175,0,0.124147900058507,0,0.063906083426874,0,0,0,0,0.0213920668557083,0,0,-0.00729291866071597,0,-0.0361108645645442,0,0,0,0,0,0,0,-0.00114686241104987,0,0,0,0,0.0118584575044063,0,0
X002415.SZ,0,0,0,0,0,0,0,0.00199727341034694,0,0,0,0.0417489248786847,0,0,0,0,0.121902531581341,0,0.0472607084016923,0,0,0,0,0,0.165698748146861,0,0,0.492943306789195,0,0,0,0,0,0,0,0,0,-0.0648089926360401,0,0.0158263380170395,0,0,0,0,0,0,0,-0.00161232397169346,0,0,0,0.0133249753182611,0,0,0,0,-0.00854365139264695,0,0
X600104.SH,0,0,0,0,0,0,0.0526275692757886,0,0,0,0,0,0,0,0.0406070714881113,0,0.116259030953872,0,-0.0491861205544061,0,0,-4.33680868994202e-19,0,0,0.0983488703736785,0,0.00266589901534812,0,0,0,0,0,0.0544498331862965,0,0,0.176989426080361,-0.0210296205229703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0057393190922912,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065180977883643,0,0,0,0.109308009938121,0.0314538684862911,-0.156633523749316,0,0,0,-0.0788426072079045,0,-0.170853900935488,0,0,0,0,0,0,0,0,0,-0.0927650871643679,0,0,0,0.0400193181021527,0,0,0,0,0,-0.0175186506250725,0.0137280390924333,0,0,0,0.15619063994942,0,0
X002304.SZ,0,0,0.0360739368597962,0,0.0252183264647873,0,0.181617214313054,0,0,0,0,0.186454903747051,0,0,0,0,0.121325920549582,0,0,0.00523804513255622,0.0541139882795681,0,0,0,0,0,0,0,0,0,0,0,0.0782939764257158,0,0,0,0.0584692543065082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388563814024046,0,0,0,-0.0333012098240391,0,0
X002475.SZ,0,0.158523678243427,0,0,0,0,0,0,0,0.0182491510390452,0.0644218476881541,0,0,0,0,0,0.121037373396834,0,0.0569741390718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137089840930065,0,0,0,0,0.0151658605165034,0,-0.00294929120630336,0,0,0,0,0,0.0941138997402735,0,0.194733597280103,0,0,0,0.00449136012082821,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.00629381692255394,0,0,0,0,0,0,0,0,0,0,0.148642192843728,0,0,0,0,0.158283455146536,0.172491561231577,0,0,0,0.0780854417401751,0,0.563832585815081,0,0,0,0.0462928810194349,-0.180547289682038,0.0842980858788043,0,0,0,-0.0332113371664453,0,0,0,0,0,-0.0400668424495076,0.0735735484015409,0,0,0,0.183450588083057,0,0,0,0.0223314148206377,0,0,0,-0.080246540024167,0,0
