,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000063.SZ,X003816.SZ,X600031.SH,X002371.SZ,X002129.SZ,X000596.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000100.SZ,X002241.SZ,X000661.SZ,X002180.SZ,X300142.SZ,X600702.SH,X600522.SH,X601877.SH,X002236.SZ,X600584.SH,X000157.SZ,X600741.SH,X002074.SZ,X600460.SH,X000733.SZ,X000977.SZ,X000066.SZ,X300003.SZ,X600183.SH,X000799.SZ,X002414.SZ,X002294.SZ,X000800.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-1.73472347597681e-18,0.0108870415451778,0.0635475396448502,0.130756815082671,0,0.150825477848999,0,0,0.0778400584854255,0,0,0,0.0458491561394337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242513622774637,0,0,5.42101086242752e-20,0,0,-0.0641831608148867,0,0,-0.0319334630798752,0,0,0,0.0759363714046702,0.0390236472642218,0,0,0,0,0,-0.00695905128286724,0.022625534152697,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0298278144173749,0,0.536485411205688,0,0.164996299008166,0,0,0,0,0.0287931647703829,0,0.106029779422482,0,0,0,0,0.0158815408211737,0,0,0,0,0,0,-0.0252118272797662,0,0,0.0352995025217177,0,0,0,0.0602485925971314,0,0,0,0,0,0.0729984075592958,0,0,-0.0759790552655814,0,0,0,0,0,0,0,-0.0198310267442808,0,0,0,0,0,0,0
X002415.SZ,0,0.0310561157690046,0,0,0,0.0700791050307701,0,0,0,0,0,0,0,0,0,0,0.146787186345907,0,0,0.194549951257493,0,0,0,0,0.0301397771372708,0,0,0,-0.0575871320647176,0.0387485069842781,0,0,-0.0730221224944776,0,0.261540990219096,0,0,0,0,0,0,0.120715341076634,0,0,-0.103960972441193,0,0,0,0,0,0,0,-0.0161911522631612,0,0,0,0,0,0
X000568.SZ,0,0.545009477175271,0,0,0,0,0.278931280350679,0.042398435799813,0,0,0,0.0477751589682655,0,0,0,0,0,0,0,-0.0597112215632438,0,0,0,0,-0.178763356948243,0,0,0,0,0,0,0,-0.0916233420094598,0,0,-0.0160557629258208,0,0,0,0,-0.0914778501141802,-0.0495011139085186,0,0,0.271057536699978,0,0,0,0,0,0,0,-0.0173464931714327,0,0,0,0,0,0
X600809.SH,0,0.0285091251371937,0.0996454189080881,0.132839585102195,0,0,0.175166512158781,0.0955630578603532,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0579436787206139,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0852964090761335,0.0780264539263111,0,0,0,0,0,0,-0.0372229104349097,0,-0.032364703582373,0,0,0.226779970408951,0,0,0,0,0,0.000432225758913546,0,0,0,0,0,0,0
X600276.SH,0,0.200201833193506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022747945288884,0,0,0,0,0,0,0,0.107172775071755,0.0809193911986193,0.00740188546099743,0.0286385137863417,0,0.0389969025234941,0,0,0,0,0,0,0,0.314717931432258,0,0,0.068303615982049,0.067298892736779,0,0,-0.0774749169257486,-0.00487975836289443,-0.0176655448565492,0,0,0,0,0,0
X002304.SZ,0,0.337916558462161,0,0.346051920223475,0.0696665740142065,0,0,0,0,0,0,0,0,-0.0415447251822584,0,0,0,0,0.209827351486208,0,0,0,0,0,0,0,0,-0.0299092815154068,0.0175299897634499,0,0,0,0,0,0,0,0,0,0,0,0,0.00237285354279181,-0.0345910317548646,-0.0318331792257808,0,0,0,-0.0439280225970244,0,0,0,-0.00152801791588654,-0.00318204416292168,0,0,0,0,0,0
X600690.SH,0,0,0,0.134302838942563,0,0,0,0,0.0549808494426978,0,0.0624487788019404,0,0,0,0,0.119670910294084,0,-0.042360530730348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104699258869369,0,0,0,0.0056863943039666,0,0,0,0,0,0,0,0,0,0.00726099548191189,0,0,0,0,0,0,0
X000651.SZ,0,0.200526753656742,0,0,0,0,0,0.343241094972934,0,0,0,0,0,0,0,0,0,-0.00739550578191145,0,-0.0471490723048371,0.125210657581571,0.0531924097267916,0.0287699045905897,0,0,0,0,0,0,0,0.0125725328584557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014149140155734,-0.00790070266771227,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.165106779457639,0,0,-0.00880960780081127,0,0,0,3.46944695195361e-18,0,0.211931628143877,0,0,0,0,0,0,0,0,0,0,0,0,0.355870338435098,0.0280437297496792,0,0,0,0,0.258410807432285,0,0,-0.0365253907667866,0,0,0,0,0,0,0,0.181177485651007,0.545874487522435,0,-0.0108614777416546,0,0,0,0,0,0
