,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X000725.SZ,X300124.SZ,X600031.SH,X003816.SZ,X002129.SZ,X002371.SZ,X300014.SZ,X002049.SZ,X000338.SZ,X002241.SZ,X000063.SZ,X600703.SH,X000596.SZ,X601877.SH,X002179.SZ,X000625.SZ,X600460.SH,X600089.SH,X000100.SZ,X600741.SH,X000661.SZ,X300142.SZ,X002180.SZ,X000157.SZ,X002074.SZ,X600522.SH,X000733.SZ,X600702.SH,X600884.SH,X002236.SZ,X000799.SZ,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X002007.SZ,X000977.SZ,X600563.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.524510828058335,0,0,0.0063611586664105,0,0,0.103936535179872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863047015661295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776144832930789,0,0,0,0,0,0,0,0,0,-0.0400306123380259,0,0,-0.00803512354893356,-0.00910364662060833,0,0,0,0,0,0
X000858.SZ,0.0511621890631791,0,0,0,0.221439182006139,0.0436619219777999,0,0,0.0703739399568714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135229484586687,0,0,0,0,0,0,0,0,0,0,0.0150036075509262,0,0,0,0,0.107667927980028,0,0,0.0213038022791217,0,0,0,0,0,0,0,0,0,0,0.0182476291671701,0,0,0,0.0187947980349248,0,0
X002415.SZ,0,0.0619387743524743,0,0,0,0.127547594144707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303020258157874,0,0,0,0,-0.120398418248806,0,0,0,-0.0260824822323377,0.179442833423409,0,0,0,0,0,0,0,0,0,0,0,0.0376007730707671,0,0.115850145285299,0,0,0,0,0.0222819193655117,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.267498495163263,0,0,0.057161257257207,0,0,0,0,0,0,0,0,0,0,0.114997444470811,-0.3827243823628,0,0,0,0,0,-0.105942715844057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119148784674234,0.0707211269414673,0,0,0.0326920209756294,0,0,0,0,0.00586092070287923,0.00277629592663279,0,0,0,0,0,0,0
X000568.SZ,0.412388395733861,0.0160807926400141,0,0.00881464043242938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617794364678449,0,0,0,0,0,0.12903270559312,0,0,0,0,-0.0515718605857192,0,0,0,0,0.107504567719598,0,0,0,0,0,0,0,0.175628842731264,0,0,0,0.00282242207295306,0,0,0.00886186352942223,0,0,0,0.0307913937675892,0,0,0,0,0,0
X002475.SZ,0.14195180019874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178613670727441,0,0.0848127540533554,0,0.40141828073052,0,0.05300067022824,-0.0307111161682633,0,0,0,0,-0.0823650005755281,0,0,0,0,0,-0.263667781849812,0,0.0763338586746481,0,0,0,0,0,0,-0.0288612279517595,0,0,0,0,0,0,0.0792985777383388,-0.0570837962191957,0.0402043075465601,0,0,0,0.0310911254850531,0,0
X600276.SH,0.0907791791169528,0,0.016283822930743,0,0,0.0136281128540281,0,0,0.289771168928168,0,0,0,0,0,0,0,0,0,0,0,0,0.313965878179347,0.00260228711274639,0,0,0,0,0,-0.0219944082963947,0,-0.112907259773582,0,0,0.0780144687481913,0,-0.199252204727965,0.0452772774184194,0,0,0,0,0,0,0,0,0,0,0,0,0.0739746536816479,0,0,-0.0274884508940479,0,0,0,-0.0493255249466914,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027327842868498,0,0,0.00971321191560182,0.0149783329999055,0,0,0,0,0,0.247325002413389,0,0,0,0,0,0,0,0,0.0107504001090457,0,0,0,0,0,0,0,0,0,0,0,0,0.217138404420781,0,0,0,0.0991361484652666,0,-0.0220237412624691,0.0335206992122606,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017806956258907,4.33680868994202e-19,0,0.236427048843717,0,0.106123294843469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844291959231981,0,0.137131002321583,0,0,0.103814832648354,0,0,0,0.0717030893551412,0,0,0,0,0,0,0.00228338791291727,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.0158320109476273,0.0156436644336173,0,0,0,0,0,0,0,0,0,-0.0249426234625282,0,0,0,0.0138301466995717,0,0,0,0,0,0,0.171889056392486,0,0,0.203102822101166,0,0,0,0,0.100916712310735,0,0,0,0,0,0,0,0,0,0,0.00809395990856124,0,0,0,0,0,0,0.00538615642226549,0,0,0,0,0,0
