,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600690.SH,X000568.SZ,X600276.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X000725.SZ,X002371.SZ,X002304.SZ,X000338.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X002179.SZ,X300014.SZ,X600089.SH,X000157.SZ,X600703.SH,X002463.SZ,X600372.SH,X000977.SZ,X002236.SZ,X002241.SZ,X600066.SH,X000921.SZ,X002028.SZ,X600741.SH,X600522.SH,X600183.SH,X002049.SZ,X000661.SZ,X601877.SH,X600584.SH,X002129.SZ,X002180.SZ,X000800.SZ,X002085.SZ,X002223.SZ,X002074.SZ,X600487.SH,X600177.SH,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0,0,0,-0.24265568928642,0,0,0,0,0,0,0,0,0,0,0.127172859398727,0,0,0,0,0,0,0.114731951656538,0,0,0,0,0.213872774168541,-0.0405149126640466,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419253103869926,0.0902223523569692,-0.166507702651835,0.359350568302365,0,-0.284859040823146,0.188246551703739,0,0,0.104999555191983,-0.118517496453125,0,0,0,0,0
X000596.SZ,0,0.326524561672566,0.133744581697414,0,0,0.310999414372297,0,0,0,0,0,0,0,0,0,0,0,0.0221274564443151,0,-0.0502417085110028,0.0788148806420435,0,0,0,0,0,0,0,0,0,0,0,0.0645392814978896,0,0,0,0,0,0,0,0,0,-0.053040942780336,0,-0.00846595019250815,0,0.103762616630483,-0.0274926384659076,0,0,0,-0.0200925621507734,0.0119998084752639,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269988858423169,0,0,0,0.0443946325477961,0,0.015683912793092,-0.0238791768724416,0,0,0,0.242616753641916,0,0.0134645819675744,0,0.129707571403453,0,0,-0.0962853666495749,0.234620479354902,-0.000712616360464798,0,0,0,0,0.235386543951921,0,0.0425978101621114,0,0,0.0197002617218085,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.0692962950333215,0,0,0,0,0,0,0.644432862751557,0,0,0,0,0.0147314832912833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091364147117564,0,0,0,-0.0969679556914542,0,0,0,0,0,0,0,0.0104509314190298,0,0,0.209277216874015,0,0,-0.37665024833701,0,0.0330864561275355,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.0464129704888742,0,0,0,0,0,0.118398064108577,0,0,0.0338749198418078,0,0,0,0,0,0,0,0,-0.050842681082623,0,0,0,0.152668565381868,0,0,0,0,0,0,0.117869879699444,0,0,0,0.128131236516241,0.0886873211856218,0,0,0,0,0,0,0,0,8.96319343164287e-05,0,0,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666088945956258,0,0.0324984210905338,0.15235805682401,0,0,0,0,0,0.0736492540691616,0,-0.0947237240216267,0,0,0,0.170299127082177,0,0,0,0,0,0,0,0,0,-0.00925731467123867,0.377943285964088,0,0,0.0183939887234742,0,0.306800540240563,-0.0127267345242592,0,0,0,-0.0233799777180009,0.0218200241749753,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0.0729904078230762,0,0.148893812381005,0,0.0365123497470654,0,0.366647128354575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872829581251752,-0.0473975696806097,0,0,0,0.218706196444338,0,0,0,0,0,-0.00998717668284187,0,0,0,0,0.0558777969895029,-0.103711353520993,0,0,0,0,0,-0.0688535137518614,-0.0309633213848897,0.174450590191376,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,-0.0339719272416528,0,0,0,0,0,0,0.21062002234682,0.239555666673023,0,0,0,0,-0.0548470605123748,0,0,0,0,0,0,0.0534688537983896,0,0,0.0172100857117372,0.208020250707695,0,0,0,0,0,0.0830211324069352,0,0,0,0,0,0.0158275566914117,0,0,0,0,-0.0197988664631812,0,-0.0262051341071258,0.0151052347566661,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268720249274484,0,0,0,0,0,0,0.0229343070297601,0,0.0339307587102669,0,0,0,0,0,0,0,0.0818656885075002,0.0107996641330007,0,0,0,0.224762524605323,0,0,0.0947227550790318,0,0.147773798863258,0.0323725339715932,0,0,0,0,-0.0459475591967888,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,-0.363214510283645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171891411891977,0,0,0,0,0,0,0,-3.46944695195361e-18,0.108804605834146,0,0.259200263072993,0,0,0.286517477517756,0,0,0.182407338969861,0,0,0,0,0,0,0,0.149405629599501,0,0,0,0,0.118071655801038,0,0,-0.0597337404379547,0,0,0,0,0,0
