,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X600703.SH,X000338.SZ,X000568.SZ,X600741.SH,X300003.SZ,X601877.SH,X600271.SH,X300124.SZ,X002236.SZ,X002456.SZ,X002008.SZ,X600487.SH,X600566.SH,X000100.SZ,X002007.SZ,X000661.SZ,X002179.SZ,X000625.SZ,X600498.SH,X000596.SZ,X600809.SH,X600867.SH,X300146.SZ,X002294.SZ,X300136.SZ,X600177.SH,X002180.SZ,X000157.SZ,X002506.SZ,X600089.SH,X300142.SZ,X002241.SZ,X000977.SZ,X600066.SH,X600372.SH,X600522.SH,X000981.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.770587333563796,0,0,0.0757294887527677,-0.00174199055900257,0,0,0,0,0,0,0.0518427364532678,0,0,0,0,0,0,0.102405737181739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382113946679927,0,0,0,0,0,0,0.012176246634799,0,0,0,0,0,0.00977250111049111,0,0,0,0,-0.0300061792645934,0,0
X600104.SH,0,0,0.182562850605735,0,0,0,0,0,0.0128032708734297,0,0,0,0,0,0,0.432665648969349,0,0,0,0,0,0,0,0,0,0,0,0.00701007240808269,0,0,0.120452630200135,0,0.183322088240285,-0.00298120842797481,0,0,0,0,0,0,0,0,0,0,0.048266078162245,0,0,0,0,0,-0.190220181360119,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0906886136415955,0,0,0,0,0,0,0,-0.122327928273482,0,0,0.0173393366689624,0,0,0,0.597843178667436,0,0.112238596534023,0,0,0,0,0,0,0,0.0232451157950466,0,0,0,0,0,0,0,0.118706353750979,0,0,0,0,0,0,0,0,0,0,0,0.188934469534813,0.00105246663482148,0.0874867681761692,0,0,0,0,0,0
X600276.SH,0,0.0361761264763146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359634986524979,0,0,0,0.150840165526053,0,0,0,0,0,0.0233492818436496,1.38777878078145e-17,0,0,0,0,0,0.0367737910315231,0.288627225667042,0.0905610332476454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265766601714624,-0.032767204874014,0.0357810743135856,0,0,0,0,0,0,0
X000651.SZ,0.0733200590212543,0,0,0,0,0.0216738863900677,0,0,0,0,0,0,0,0.0408312344213137,0.30621750068916,0,0,0,0,0.148559396549616,0,0,0,0,0,0,0,0,0,0,0,0,0.0438743780989396,0.0588518099313327,0,0,0,0,0,0,0,0,0.121396558487713,0,0,0.0706017917333886,0,0,0,0,0,0.00361737886569146,0.0124120294986218,0,0,0,0,0,0
X000858.SZ,0.0563528504486557,0.0308747727380007,0,0,0,0,0.208383260057289,0,0,-0.00626568318941039,0,0,0,0,0.0695831973019358,0,0,0,-0.00930692174785254,0,0,0,0,0,0,0,0,0,0,0,0,0.236749095237463,0.23773164876584,-0.00620849799368927,0.00593554763748094,0,0,0,0,0,0,0,0,0,0,0.0865198464801468,0,0,0,0,0,0.0151539712980352,0.0146495139982773,0,0,0,0,0,0
X002304.SZ,0,0,0.0269466827397063,0,0.0337302864031134,0.270434984918404,0,0,0,0.0655417078317468,0,0,0,0,0.483566081011726,0,0,0,0,0,0,0.0286295881020321,0,0,0,0,0,0,0,0,0,0,0.232426154584993,0,0.016173574473342,0,0,0,-0.0921368522937919,0,0,0,0,0,0,0,0,0,0,0,0,0.0419368505917254,0,0,0.0282315429484879,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152311308308655,0,0,0,0,0,0,0.0783907615104764,0,0.226051812816177,0,0.0792119468862135,0,0,0.240732121084697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451484819036011,0.219189510191353,0,0,0,0.0246079279747672,-0.0147019659085024,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0659845836122125,6.93889390390723e-18,0,0,-0.0215886059204681,0,0,0,0,0.168603585970868,0.0901702081733995,0,0,0,0.292727155982804,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.00367859353024529,-0.0547481460214442,0,0,0.0302067482440414,0,0,-0.0830547732859235,0,0,0,0,0,0.0584778174614846,0,0.210413081445546,0.18364952691125,0,0,0,0,-0.07362551570545,0,-0.0505736444301542,0,0,0,0,0,0
X000063.SZ,0,0,0.23751979704703,0,0,0,0,0,0,0,0.170661848296844,0,0.087588138903936,0,0,0,-0.0262012792215346,0,0,0,0.0422052273835659,0.185100615190315,0,0.169789320722227,0,0,0,0,0,0,0,0,0,0,0,0,0.0824529053810394,0,0.00881921019012438,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0686759383686354,0,0,0,0,0,0
