,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X002304.SZ,X000651.SZ,X600031.SH,X002475.SZ,X600104.SH,X000725.SZ,X300124.SZ,X300014.SZ,X000338.SZ,X002371.SZ,X002241.SZ,X000063.SZ,X600703.SH,X000625.SZ,X002129.SZ,X003816.SZ,X002049.SZ,X300142.SZ,X000596.SZ,X601877.SH,X000661.SZ,X600089.SH,X000100.SZ,X002179.SZ,X600460.SH,X000157.SZ,X000799.SZ,X600741.SH,X002074.SZ,X600702.SH,X600779.SH,X002236.SZ,X002414.SZ,X600584.SH,X601799.SH,X002007.SZ,X000800.SZ,X600183.SH,X000733.SZ,X600884.SH,X300003.SZ,X002008.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.314725823523063,0,0.0506229871037861,0,0.136661508500885,0.0216544164102558,0.038966752086162,0,0,0,0,0,0.0335517584586329,0,0,0,0,0,0,0,0.0373881094266243,0,0,0,0,0,0,0,0,0,-0.0283374233574982,0,0,0,0,0.0414940024887505,0,0,0,0,0,0,0,0,0,-0.0117001632137367,0,0,0.0122476478238509,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.121215291456546,0.238511463087677,0,0,0,0.0941587315271106,0,0,0,0,0.00299290468896545,0,0,0,0,0,0,0.0692413851326522,0,0,0,0,0,0,0,0,0,0,0,0.0614357774237887,0,0,0.0363745816798517,0.198108667050928,0,-0.0954718249932917,0,0,0,0,0,0,0,0,0,0.04632090918519,0,0,-0.00818637418436886,0,0,0,0,0,0
X002415.SZ,0,0.101536299796855,0,0,0,0,0.0973344387470554,0,0,0,0,0,0,0.0377597941032469,0.0700764029135374,0,0,0,0,0.145020454491468,0,0,0,0.0387685346615331,0.0275534591409651,0.0537530412215797,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0755987966147575,0.0268148531130315,0,0,0,0.145275939294139,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.197700366808708,0,0,0,0,0,0,0,0,0,0,0,0,-0.110653248745897,0,0,0,0,0.0517219173417881,0,0,0,0,0,-0.0671386403263281,0,0.38333368657082,0,0,0.179193732358671,0.0911544176074088,0,0,0,0,0,0,0,0.0310560331924437,0,0,0,0,0,-0.040663751370743,0.0638049100669348,0,0,0,0,0,0
X600276.SH,0,0.294988935336135,0,-0.012103603790362,0,0,0,0,0,0,-0.120691782312639,0,0,0.333604921848671,0.232805826090619,0,0,0,0,0,0,0,0,-0.344109256765124,0,0,0,0.0920586018402386,-0.0190401152124201,0,-0.0588278888123732,0,0,0,0,0,0,0,-0.0537917820786623,0,0,0,0,0,-0.0301237900393393,0,0.0123247233585944,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.559568325365905,0,0.0766457815301397,0,0,0,0.0618324149122967,0,0,0,-0.056823887919007,0,0.018151801157275,0,0,-0.0526862727116569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677922474923566,-0.131123539369016,0,0,0,0,0,0,0,0,0,0.0282038938429255,0,0,-0.0111563496182689,0,0,0,0,0,0,0
X600690.SH,0,0.0888362202311278,0.00850718281982913,0,0.172972849031903,0.104016339074957,0,0.124427283502093,0,0.0605912619050369,0,0,0,0,0,0,0,0,0,0,0,-0.0117706710015546,0,0,-0.0404534466916371,0,0,0.0575928210534911,0,0,0,0,0.101233436042762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337159623839002,0.0165357903882628,0,0,0,0,0,0
X002304.SZ,0,0,0,0.502940529606471,0,0.228075799050335,0,0,0,0.00590034884483456,0,0,0,0,-0.133058357728216,0,0,0.116001434910881,0,0.206130712413369,0,0.0447477744474045,0,0,0,0,0.0322127159762402,0,0,0,0.101416172564283,0,0,0,0,0,-0.0651618196371519,0,0,0,0,0,0.100083465352242,0,0,0.100650214170075,0,0,0,0,0,-0.110667258951168,0.0598192408322574,0,0,0,0,0,0
X000651.SZ,0,0,0,-3.46944695195361e-18,0.0262550703887729,0,0.0698299379564089,0,0,0,0,0,0,0,0,0,0,0,0.187401184567363,0,0,-0.0115841821783698,0,0,0,0,0,0.0440670321185235,0,0,0,0,0.140059194741907,0,0,-0.030380104091028,0,0.028429840178584,0,0,0,-0.0466943144872682,0,0,0,0,-0.0591953337022175,0,0,0,0,-0.0606011539968143,0.0855289523953285,0,0,0,-0.075947155389256,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.126061865087208,0,0,0.0659114716279224,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0057263584577983,0.262081870962653,0,0,0.0711192765832117,0,0,0,0,0,1.73472347597681e-18,0.0136863725263972,0,0,0,0,0,0,0,0,0.0165604743836472,0,0,0,0,0.0798616823800095,0,0
